configuration	term	J	energy
1s	2S		0.0
2s	2S		126.9862987
2p	2P*		127.0464432
3s	2S		150.5324521
3p	2P*		150.5502715
3d	2D		150.5653411
4s	2S		158.769983
4p	2P*		158.7774973
4d	2D		158.7838542
4f	2F*		158.7865728
5s	2S		162.5811863
5p	2P*		162.5850322
5d	2D		162.5882865
5f	2F*		162.5896784
5g	2G		162.5904513
6s	2S		164.6507982
6p	2P*		164.6530233
6d	2D		164.6549063
6f	2F*		164.6557118
6g	2G		164.6561591
6h	2H*		164.6564437
7s	2S		165.8983974
7p	2P*		165.8997984
7d	2D		165.900984
7f	2F*		165.9014913
7g	2G		165.9017729
7h	2H*		165.9019521
7i	2I		165.9020762
8s	2S		166.7079786
8p	2P*		166.708917
8d	2D		166.7097112
8f	2F*		166.7100511
8g	2G		166.7102398
8h	2H*		166.7103598
8i	2I		166.7104429
8k	2K*		166.7105039
9s	2S		167.2629377
9p	2P*		167.2635967
9d	2D		167.2641544
9f	2F*		167.2643931
9g	2G		167.2645256
9h	2H*		167.2646099
9i	2I		167.2646683
9k	2K*		167.2647111
9l	2L		167.2647438
10s	2S		167.6598457
10p	2P*		167.660326
10d	2D		167.6607326
10f	2F*		167.6609066
10g	2G		167.6610032
10h	2H*		167.6610646
10i	2I		167.6611072
10k	2K*		167.6611384
10l	2L		167.6611623
10m	2M*		167.6611811
11s	2S		167.9534813
11p	2P*		167.9538422
11d	2D		167.9541476
11f	2F*		167.9542783
11g	2G		167.9543509
11h	2H*		167.9543971
11i	2I		167.954429
11k	2K*		167.9544525
11l	2L		167.9544704
11m	2M*		167.9544846
11n	2N		167.954496
