Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Reference
"2p6.3s"	"2S"	"1/2"	" 0.0000000"	""	"L4714"
"2p6.3p"	"2P*"	"1/2"	" 0.4891949"	""	""
"2p6.3p"	"2P*"	"3/2"	" 0.4913242"	""	""
"2p6.3d"	"2D"	"5/2"	" 1.0566707"	""	""
"2p6.3d"	"2D"	"3/2"	" 1.0566916"	""	""
"2p6.4s"	"2S"	"1/2"	" 1.1496914"	""	""
"2p6.4p"	"2P*"	"1/2"	" 1.3088837"	""	""
"2p6.4p"	"2P*"	"3/2"	" 1.3096138"	""	""
"2p6.4d"	"2D"	"5/2"	" 1.5107561"	""	""
"2p6.4d"	"2D"	"3/2"	" 1.5107670"	""	""
"2p6.4f"	"2F*"	"5/2"	" 1.5273998"	""	""
"2p6.4f"	"2F*"	"7/2"	" 1.5274054"	""	""
"2p6.5s"	"2S"	"1/2"	" 1.5549619"	""	""
"2p6.5p"	"2P*"	"1/2"	" 1.6260051"	""	""
"2p6.5p"	"2P*"	"3/2"	" 1.6263412"	""	""
"2p6.5d"	"2D"	"5/2"	" 1.7211791"	""	""
"2p6.5d"	"2D"	"3/2"	" 1.7211850"	""	""
"2p6.5f"	"2F*"	"5/2"	" 1.7302783"	""	""
"2p6.5f"	"2F*"	"7/2"	" 1.7302813"	""	""
"2p6.5g"	"2G"	"7/2"	" 1.7307557"	""	""
"2p6.5g"	"2G"	"9/2"	" 1.7307575"	""	""
"2p6.6s"	"2S"	"1/2"	" 1.7449327"	""	""
"2p6.6p"	"2P*"	"1/2"	" 1.7826363"	""	""
"2p6.6p"	"2P*"	"3/2"	" 1.7828187"	""	""
"2p6.6d"	"2D"	"5/2"	" 1.8350658"	""	""
"2p6.6d"	"2D"	"3/2"	" 1.8350691"	""	""
"2p6.6f"	"2F*"	"5/2"	" 1.8404966"	""	""
"2p6.6f"	"2F*"	"7/2"	" 1.8404966"	""	""
"2p6.6g"	"2G"	"7/2"	" 1.8407921"	""	""
"2p6.6g"	"2G"	"9/2"	" 1.8407921"	""	""
"2p6.6h"	"2H*"	"11/2"	" 1.8408479"	""	""
"2p6.6h"	"2H*"	"9/2"	" 1.8408479"	""	""
"2p6.7s"	"2S"	"1/2"	" 1.8491577"	""	""
"2p6.7p"	"2P*"	"1/2"	" 1.8715214"	""	""
"2p6.7p"	"2P*"	"3/2"	" 1.8716311"	""	""
"2p6.7d"	"2D"	"5/2"	" 1.9034713"	""	""
"2p6.7d"	"2D"	"3/2"	" 1.9034713"	""	""
"2p6.7f"	"2F*"	"5/2"	" 1.9069470"	""	""
"2p6.7f"	"2F*"	"7/2"	" 1.9069470"	""	""
"2p6.7g"	"2G"	"7/2"	" 1.9071410"	""	""
"2p6.7g"	"2G"	"9/2"	" 1.9071410"	""	""
"2p6.7h"	"2H*"	"9/2"	" 1.9071768"	""	""
"2p6.7h"	"2H*"	"11/2"	" 1.9071768"	""	""
"2p6.8s"	"2S"	"1/2"	" 1.9124752"	""	""
"2p6.8d"	"2D"	"5/2"	" 1.9477189"	""	""
"2p6.8d"	"2D"	"3/2"	" 1.9477189"	""	""
"2p6.8f"	"2F*"	"7/2"	" 1.9500703"	""	""
"2p6.8f"	"2F*"	"5/2"	" 1.9500703"	""	""
"2p6.8g"	"2G"	"9/2"	" 1.9502046"	""	""
"2p6.8g"	"2G"	"7/2"	" 1.9502046"	""	""
"2p6.8h"	"2H*"	"11/2"	" 1.9502293"	""	""
"2p6.8h"	"2H*"	"9/2"	" 1.9502293"	""	""
"2p6.9f"	"2F*"	"7/2"	" 1.9796303"	""	""
"2p6.9f"	"2F*"	"5/2"	" 1.9796303"	""	""
"2p6.9g"	"2G"	"9/2"	" 1.9797292"	""	""
"2p6.9g"	"2G"	"7/2"	" 1.9797292"	""	""
"2p6.9h"	"2H*"	"11/2"	" 1.9797473"	""	""
"2p6.9h"	"2H*"	"9/2"	" 1.9797473"	""	""
