ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"41.5431"	"0.0010"	"20g"	"5.39e+10"	"2.09e-02"	C+	"[0.04456]"	"21.9800"	"2s2.2p"	"2P*"	"3/2"	"2s2.6d"	"2D"	"5/2"		"T7192c4,LS"	"L927"	
"43.5491"	"0.0010"	"10g"	"1.05e+11"	"4.46e-02"	C+	"[0.04456]"	"20.9696"	"2s2.2p"	"2P*"	"3/2"	"2s2.5d"	"2D"	"5/2"		"T7192c4,LS"	"L3463"	
"44.7039"	"0.0010"	"60g"	"9.71e+10"	"5.82e-02"	C+	"0.00000"	"20.3845?"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).4p"	"2D"	"3/2"		"T7192c4,LS"	"L927"	
"44.7429"	"0.0010"	"80g"	"1.16e+11"	"5.24e-02"	C+	"[0.04456]"	"20.4113?"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).4p"	"2D"	"5/2"		"T7192c4,LS"	"L927"	
"44.8019"	"0.0010"	""	"1.93e+10"	"5.81e-03"	C	"[0.04456]"	"20.3845?"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).4p"	"2D"	"3/2"		"T7192c4,LS"	""	
"47.7550"	"0.0010"	"10g"	"2.02e+11"	"1.38e-01"	C+	"0.00000"	"19.0821"	"2s2.2p"	"2P*"	"1/2"	"2s2.4d"	"2D"	"3/2"		"T7192c4,LS"	"L3463"	
"47.8560"	"0.0010"	"50g"	"2.41e+11"	"1.24e-01"	C+	"[0.04456]"	"19.0864"	"2s2.2p"	"2P*"	"3/2"	"2s2.4d"	"2D"	"5/2"		"T7192c4,LS"	"L3463"	
"47.8668"	"0.0010"	""	"4.02e+10"	"1.38e-02"	C+	"[0.04456]"	"19.0821"	"2s2.2p"	"2P*"	"3/2"	"2s2.4d"	"2D"	"3/2"		"T7192c4,LS"	""	
"49.854"	"0.010"	"100"	"2.94e+11"	"1.46e-01"	B	"2.3668"	"20.6456?"	"2s.2p2"	"2D"	"5/2"	"2s.2p.(3P*).4d"	"2F*"	"7/2"		"T7192c4,LS"	"L3463"	
"49.929"	"0.010"	"100"	"2.73e+11"	"1.53e-01"	B	"2.3671"	"20.6183?"	"2s.2p2"	"2D"	"3/2"	"2s.2p.(3P*).4d"	"2F*"	"5/2"		"T7192c4,LS"	"L927"	
"49.928"	"0.010"	""	"1.95e+10"	"7.29e-03"	C+	"2.3668"	"20.6183?"	"2s.2p2"	"2D"	"5/2"	"2s.2p.(3P*).4d"	"2F*"	"5/2"		"T7192c4,LS"	""	
"56.149"	"0.010"	"50g"	"9.31e+10"	"4.40e-02"	C+	"0.00000"	"16.2293"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2S"	"1/2"		"T7192c4,LS"	"L3463"	
"56.304"	"0.010"	"70g"	"1.85e+11"	"4.39e-02"	C+	"[0.04456]"	"16.2293"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2S"	"1/2"		"T7192c4,LS"	"L3463"	
"56.899"	"0.010"	"100g"	"2.30e+11"	"2.23e-01"	B	"0.00000"	"16.0155"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2D"	"3/2"		"T7192c4,LS"	"L3463"	
"56.945"	"0.010"	"250g"	"2.74e+11"	"2.00e-01"	B	"[0.04456]"	"16.0471"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2D"	"5/2"		"T7192c4,LS"	"L3463"	
"57.058"	"0.010"	""	"4.55e+10"	"2.22e-02"	C+	"[0.04456]"	"16.0155"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2D"	"3/2"		"T7192c4,LS"	""	
"58.058"	"0.010"	"10g"	"4.19e+10"	"4.23e-02"	C+	"0.00000"	"15.6958"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"		"T7192c4,LS"	"L3463"	
"58.111"	"0.010"	"50g"	"1.67e+11"	"8.45e-02"	C+	"0.00000"	"15.6814"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"		"T7192c4,LS"	"L3463"	
"58.223"	"0.010"	"100g"	"2.07e+11"	"1.05e-01"	C+	"[0.04456]"	"15.6958"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"		"T7192c4,LS"	"L3463"	
"58.277"	"0.010"	"1g"	"8.29e+10"	"2.11e-02"	C+	"[0.04456]"	"15.6814"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"		"T7192c4,LS"	"L3463"	
"59.762"	"0.010"	"300*"	"5.11e+11"	"3.65e-01"	C+	"2.3668"	"17.6152?"	"2s.2p2"	"2D"	"5/2"	"2s.2p.(1P*).3d"	"2F*"	"7/2"		"T7192c4,LS"	"L3463"	
"59.763"	"0.010"	"300*"	"4.77e+11"	"3.83e-01"	C+	"2.3671"	"17.6152?"	"2s.2p2"	"2D"	"3/2"	"2s.2p.(1P*).3d"	"2F*"	"5/2"		"T7192c4,LS"	"L3463"	
"59.762"	"0.010"	""	"3.42e+10"	"1.83e-02"	D	"2.3668"	"17.6152?"	"2s.2p2"	"2D"	"5/2"	"2s.2p.(1P*).3d"	"2F*"	"5/2"		"T7192c4,LS"	""	
"60.135"	"0.010"	""	"9.15e+10"	"4.96e-02"	C+	"1.3238"	"16.478?"	"2s.2p2"	"4P"	"1/2"	"2s.2p.(3P*).3d"	"4P*"	"1/2"		"T7192c4,LS"	""	
"60.160"	"0.010"	"10"	"2.29e+11"	"2.48e-01"	B	"1.3238"	"16.471"	"2s.2p2"	"4P"	"1/2"	"2s.2p.(3P*).3d"	"4P*"	"3/2"		"T7192c4,LS"	"L3463"	
"60.197"	"0.010"	"50"	"4.57e+11"	"1.24e-01"	B	"1.3395"	"16.478?"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).3d"	"4P*"	"1/2"		"T7192c4,LS"	"L3463"	
"60.222"	"0.010"	"10"	"7.28e+10"	"3.96e-02"	C+	"1.3395"	"16.471"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).3d"	"4P*"	"3/2"		"T7192c4,LS"	"L3463"	
"60.260"	"0.010"	"10"	"1.64e+11"	"1.34e-01"	B	"1.3395"	"16.4618"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).3d"	"4P*"	"5/2"		"T7192c4,LS"	"L3463"	
