ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"908.3491"	"1"	"1.16e+04"	""	A+	"0.0000000"	"1.0032123"	"2p6.3s2"	"1S"	"0"	"3s.3d"	"1D"	"2"	E2	"c41"	"L6526"	
"985.9809"	"100"	"9.29e+06"	"4.06e-03"	D	"0.3407504"	"1.2649742"	"3s.3p"	"3P*"	"0"	"3s.6d"	"3D"	"1"		"T6298c4,LS"	"L3460"	
"986.5731"	"125"	"1.25e+07"	"3.05e-03"	D	"0.3413051"	"1.2649742"	"3s.3p"	"3P*"	"1"	"3s.6d"	"3D"	"2"		"T6298c4,LS"	"L3460"	
"986.5731"	""	"6.99e+06"	"1.02e-03"	D	"0.3413051"	"1.2649742"	"3s.3p"	"3P*"	"1"	"3s.6d"	"3D"	"1"		"T6298c4,LS"	""	
"987.7779"	"150"	"1.67e+07"	"3.41e-03"	C	"0.3424340"	"1.2649764"	"3s.3p"	"3P*"	"2"	"3s.6d"	"3D"	"3"		"T6298c4,LS"	"L3460"	
"987.7804"	""	"4.16e+06"	"6.08e-04"	D	"0.3424340"	"1.2649742"	"3s.3p"	"3P*"	"2"	"3s.6d"	"3D"	"2"		"T6298c4,LS"	""	
"987.7804"	""	"4.63e+05"	"4.06e-05"	E	"0.3424340"	"1.2649742"	"3s.3p"	"3P*"	"2"	"3s.6d"	"3D"	"1"		"T6298c4,LS"	""	
"1047.8894"	"150"	"2.33e+07"	"1.15e-02"	C	"0.3407504"	"1.2103718"	"3s.3p"	"3P*"	"0"	"3s.5d"	"3D"	"1"		"T6298c4,LS"	"L3460"	
"1048.5583"	""	"1.75e+07"	"2.88e-03"	D	"0.3413051"	"1.2103718"	"3s.3p"	"3P*"	"1"	"3s.5d"	"3D"	"1"		"T6298c4,LS"	""	
"1048.5600"	"170"	"3.14e+07"	"8.63e-03"	C	"0.3413051"	"1.2103704"	"3s.3p"	"3P*"	"1"	"3s.5d"	"3D"	"2"		"T6298c4,LS"	"L3460"	
"1049.9221"	""	"1.16e+06"	"1.15e-04"	E	"0.3424340"	"1.2103718"	"3s.3p"	"3P*"	"2"	"3s.5d"	"3D"	"1"		"T6298c4,LS"	""	
"1049.9228"	"190"	"4.17e+07"	"9.65e-03"	C+	"0.3424340"	"1.2103712"	"3s.3p"	"3P*"	"2"	"3s.5d"	"3D"	"3"		"T6298c4,LS"	"L3460"	
"1049.9238"	""	"1.04e+07"	"1.72e-03"	D	"0.3424340"	"1.2103704"	"3s.3p"	"3P*"	"2"	"3s.5d"	"3D"	"2"		"T6298c4,LS"	""	
"1054.6022"	"100"	"1.18e+07"	"5.90e-03"	D	"0.3407504"	"1.20483644"	"3s.3p"	"3P*"	"0"	"3s.6s"	"3S"	"1"		"T6298c4,LS"	"L3460"	
"1055.2797"	"125"	"3.53e+07"	"5.89e-03"	C	"0.3413051"	"1.20483644"	"3s.3p"	"3P*"	"1"	"3s.6s"	"3S"	"1"		"T6298c4,LS"	"L3460"	
"1056.6611"	"150"	"5.85e+07"	"5.88e-03"	C	"0.3424340"	"1.20483644"	"3s.3p"	"3P*"	"2"	"3s.6s"	"3S"	"1"		"T6298c4,LS"	"L3460"	
