ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2118.9862"	"g,a"	"1.03e+07"	"1.39e-02"	C	"0.00000000"	"0.4300486"	"3s2.3p"	"2P*"	"1/2"	"3s2.10d"	"2D"	"3/2"		"T6527c4,LS"	"L99"	
"2124.0298"	""	"2.0e+06"	"1.4e-03"	D	"0.00102117"	"0.4300486"	"3s2.3p"	"2P*"	"3/2"	"3s2.10d"	"2D"	"3/2"		"T6527c4,LS"	""	
"2124.0298"	"1g"	"1.22e+07"	"1.24e-02"	C	"0.00102117"	"0.4300486"	"3s2.3p"	"2P*"	"3/2"	"3s2.10d"	"2D"	"5/2"		"T6527c4,LS"	"L4737"	
"2130.3352"	"1g"	"1.52e+07"	"2.07e-02"	C	"0.00000000"	"0.4277576"	"3s2.3p"	"2P*"	"1/2"	"3s2.9d"	"2D"	"3/2"		"T6527c4,LS"	"L4737"	
"2135.4066"	"2g"	"1.81e+07"	"1.86e-02"	C	"0.00102117"	"0.4277629"	"3s2.3p"	"2P*"	"3/2"	"3s2.9d"	"2D"	"5/2"		"T6527c4,LS"	"L4737"	
"2135.4331"	""	"3.0e+06"	"2.1e-03"	D	"0.00102117"	"0.4277576"	"3s2.3p"	"2P*"	"3/2"	"3s2.9d"	"2D"	"3/2"		"T6527c4,LS"	""	
"2146.2304"	"3g"	"2.06e+07"	"2.85e-02"	C	"0.00000000"	"0.4245896"	"3s2.3p"	"2P*"	"1/2"	"3s2.8d"	"2D"	"3/2"		"u36,LS"	"L4737"	
"2151.3756"	"5g"	"2.46e+07"	"2.56e-02"	C	"0.00102117"	"0.4245953"	"3s2.3p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"5/2"		"u36,LS"	"L4737"	
"2151.4047"	""	"4.09e+06"	"2.84e-03"	E	"0.00102117"	"0.4245896"	"3s2.3p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"3/2"		"u36,LS"	""	
"2169.5069"	"1g"	"2.96e+07"	"4.18e-02"	C	"0.00000000"	"0.42003419"	"3s2.3p"	"2P*"	"1/2"	"3s2.7d"	"2D"	"3/2"		"u36,LS"	"L3514"	
"2174.7522"	"1g"	"3.53e+07"	"3.75e-02"	C	"0.00102117"	"0.42004228"	"3s2.3p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"5/2"		"u36,LS"	"L3514"	
"2174.7942"	""	"5.88e+06"	"4.17e-03"	E	"0.00102117"	"0.42003419"	"3s2.3p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"3/2"		"u36,LS"	""	
"2199.8694"	"1g"	"1.75e+06"	"1.27e-03"	C	"0.00000000"	"0.41423689"	"3s2.3p"	"2P*"	"1/2"	"3s2.8s"	"2S"	"1/2"		"T6527c4,LS"	"L3514"	
"2205.3059"	"2g"	"3.49e+06"	"1.27e-03"	C	"0.00102117"	"0.41423689"	"3s2.3p"	"2P*"	"3/2"	"3s2.8s"	"2S"	"1/2"		"T6527c4,LS"	"L3514"	
"2205.3554"	"2g"	"4.37e+07"	"6.37e-02"	C+	"0.00000000"	"0.41320644"	"3s2.3p"	"2P*"	"1/2"	"3s2.6d"	"2D"	"3/2"		"u36,LS"	"L3514"	
"2210.7493"	"2g"	"5.20e+07"	"5.72e-02"	C+	"0.00102117"	"0.41321946"	"3s2.3p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"5/2"		"u36,LS"	"L3514"	
"2210.8191"	""	"8.67e+06"	"6.35e-03"	C+	"0.00102117"	"0.41320644"	"3s2.3p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"3/2"		"u36,LS"	""	
"2258.7062"	"2g"	"3.77e+06"	"2.88e-03"	C	"0.00000000"	"0.40344647"	"3s2.3p"	"2P*"	"1/2"	"3s2.7s"	"2S"	"1/2"		"T6527c4,LS"	"L3514"	
"2264.1647"	"4g"	"6.83e+07"	"1.05e-01"	B	"0.00000000"	"0.40247383"	"3s2.3p"	"2P*"	"1/2"	"3s2.5d"	"2D"	"3/2"		"T5653"	"L3514"	
"2264.4378"	"2g"	"7.5e+06"	"2.9e-03"	C	"0.00102117"	"0.40344647"	"3s2.3p"	"2P*"	"3/2"	"3s2.7s"	"2S"	"1/2"		"T6527c4,LS"	"L3514"	
"2269.7979"	"4g"	"7.58e+07"	"8.78e-02"	B	"0.00102117"	"0.40249615"	"3s2.3p"	"2P*"	"3/2"	"3s2.5d"	"2D"	"5/2"		"u36,T5653,LS"	"L3514"	
"2269.9241"	"2g"	"1.26e+07"	"9.75e-03"	C+	"0.00102117"	"0.40247383"	"3s2.3p"	"2P*"	"3/2"	"3s2.5d"	"2D"	"3/2"		"T5653LS"	"L3514"	
"2367.7750"	"8g"	"7.61e+07"	"1.28e-01"	C+	"0.00000000"	"0.38486218"	"3s2.3p"	"2P*"	"1/2"	"3s2.4d"	"2D"	"3/2"		"u36,LS"	"L3514"	
"2372.7939"	"3g"	"5.76e+06"	"4.86e-03"	C	"0.00000000"	"0.38404813"	"3s2.3p"	"2P*"	"1/2"	"3s2.6s"	"2S"	"1/2"		"u36,LS"	"L4737"	
"2373.8466"	"8g"	"9.07e+07"	"1.15e-01"	B	"0.00102117"	"0.38489900"	"3s2.3p"	"2P*"	"3/2"	"3s2.4d"	"2D"	"5/2"		"u36,LS"	"L3514"	
"2374.0743"	"2g"	"1.51e+07"	"1.28e-02"	C+	"0.00102117"	"0.38486218"	"3s2.3p"	"2P*"	"3/2"	"3s2.4d"	"2D"	"3/2"		"u36,LS"	"L3514"	
"2379.1199"	"3g"	"1.14e+07"	"4.84e-03"	C+	"0.00102117"	"0.38404813"	"3s2.3p"	"2P*"	"3/2"	"3s2.6s"	"2S"	"1/2"		"u36,LS"	"L3514"	
"2568.7518"	"10g"	"1.92e+07"	"3.80e-02"	B	"0.00000000"	"0.35475091"	"3s2.3p"	"2P*"	"1/2"	"3s2.nd"	"y 2D"	"3/2"		"T5653"	"L3514"	
"2575.8652"	"10g"	"3.60e+07"	"5.37e-02"	C+	"0.00102117"	"0.35479242"	"3s2.3p"	"2P*"	"3/2"	"3s2.nd"	"y 2D"	"5/2"		"u36,T5653,LS"	"L3514"	
"2576.1675"	"3g"	"5.99e+06"	"5.96e-03"	C+	"0.00102117"	"0.35475091"	"3s2.3p"	"2P*"	"3/2"	"3s2.nd"	"y 2D"	"3/2"		"T5653LS"	"L3514"	
"2653.2654"	"10g"	"1.42e+07"	"1.50e-02"	B	"0.00000000"	"0.34345115"	"3s2.3p"	"2P*"	"1/2"	"3s2.5s"	"2S"	"1/2"		"T7365"	"L3514"	
"2661.1778"	"10g"	"2.84e+07"	"1.51e-02"	B	"0.00102117"	"0.34345115"	"3s2.3p"	"2P*"	"3/2"	"3s2.5s"	"2S"	"1/2"		"T7365"	"L3514"	
"3083.0462"	"24g"	"5.87e+07"	"1.67e-01"	B+	"0.00000000"	"0.29557360"	"3s2.3p"	"2P*"	"1/2"	"3s2.3d"	"2D"	"3/2"		"c40,T5653"	"L4737"	
"3093.6062"	"26g"	"7.29e+07"	"1.57e-01"	B+	"0.00102117"	"0.29558583"	"3s2.3p"	"2P*"	"3/2"	"3s2.3d"	"2D"	"5/2"		"c40,T7070"	"L4737"	
"3093.7347"	"20g"	"1.16e+07"	"1.67e-02"	B	"0.00102117"	"0.29557360"	"3s2.3p"	"2P*"	"3/2"	"3s2.3d"	"2D"	"3/2"		"c40"	"L4737"	
"3945.1224"	"24g"	"4.99e+07"	"1.16e-01"	B+	"0.00000000"	"0.23098575"	"3s2.3p"	"2P*"	"1/2"	"3s2.4s"	"2S"	"1/2"		"c40,T7070"	"L4737"	
"3962.6410"	"26g"	"9.85e+07"	"1.16e-01"	B+	"0.00102117"	"0.23098575"	"3s2.3p"	"2P*"	"3/2"	"3s2.4s"	"2S"	"1/2"		"c40"	"L4737"	
"5558.603"	"10"	"2.30e+05"	"2.13e-03"	C	"0.23098575"	"0.39492390"	"3s2.4s"	"2S"	"1/2"	"3s2.6p"	"2P*"	"3/2"		"u36,LS"	"L4737"	
"5559.488"	"8"	"2.29e+05"	"1.06e-03"	C	"0.23098575"	"0.39489780"	"3s2.4s"	"2S"	"1/2"	"3s2.6p"	"2P*"	"1/2"		"u36,LS"	"L4737"	
"6697.867"	"13"	"1.00e+06"	"1.35e-02"	C+	"0.23098575"	"0.36703908"	"3s2.4s"	"2S"	"1/2"	"3s2.5p"	"2P*"	"3/2"		"u36,LS"	"L4737"	
"6700.517"	"11"	"1.00e+06"	"6.75e-03"	C+	"0.23098575"	"0.36698527"	"3s2.4s"	"2S"	"1/2"	"3s2.5p"	"2P*"	"1/2"		"u36,LS"	"L4737"	
"6907.543"	""	"1.08e+06"	"1.16e-02"	D	"0.29557360"	"[0.4274971]"	"3s2.3d"	"2D"	"3/2"	"3s2.9f"	"2F*"	"5/2"		"u36,LS"	""	
"6908.184"	""	"7.69e+04"	"5.50e-04"	E	"0.29558583"	"[0.4274971]"	"3s2.3d"	"2D"	"5/2"	"3s2.9f"	"2F*"	"5/2"		"u36,LS"	""	
"6908.184"	"3"	"1.15e+06"	"1.10e-02"	C	"0.29558583"	"[0.4274971]"	"3s2.3d"	"2D"	"5/2"	"3s2.9f"	"2F*"	"7/2"		"u36,LS"	"L7415"	
"7085.922"	"5"	"1.54e+06"	"1.74e-02"	C+	"0.29557360"	"0.42417606"	"3s2.3d"	"2D"	"3/2"	"3s2.8f"	"2F*"	"5/2"		"u36,LS"	"L4737"	
"7086.597"	""	"1.10e+05"	"8.31e-04"	E	"0.29558583"	"0.42417606"	"3s2.3d"	"2D"	"5/2"	"3s2.8f"	"2F*"	"5/2"		"u36,LS"	""	
"7086.597"	"6"	"1.65e+06"	"1.66e-02"	C+	"0.29558583"	"0.42417606"	"3s2.3d"	"2D"	"5/2"	"3s2.8f"	"2F*"	"7/2"		"u36,LS"	"L4737"	
"7329.491"	""	"3.66e+05"	"5.89e-03"	D	"0.30026073"	"0.4245896"	"3s2.4p"	"2P*"	"1/2"	"3s2.8d"	"2D"	"3/2"		"u36,LS"	""	
"7337.666"	""	"4.37e+05"	"5.29e-03"	C	"0.30040501"	"0.4245953"	"3s2.4p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"5/2"		"u36,LS"	""	
"7338.006"	""	"7.28e+04"	"5.88e-04"	E	"0.30040501"	"0.4245896"	"3s2.4p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"3/2"		"u36,LS"	""	
"7363.596"	"8"	"2.32e+06"	"2.83e-02"	C+	"0.29557360"	"0.41932659"	"3s2.3d"	"2D"	"3/2"	"3s2.7f"	"2F*"	"5/2"		"u36,LS"	"L4737"	
"7364.324"	""	"1.66e+05"	"1.35e-03"	D	"0.29558583"	"0.41932659"	"3s2.3d"	"2D"	"5/2"	"3s2.7f"	"2F*"	"5/2"		"u36,LS"	""	
"7364.324"	"9"	"2.49e+06"	"2.70e-02"	C+	"0.29558583"	"0.41932659"	"3s2.3d"	"2D"	"5/2"	"3s2.7f"	"2F*"	"7/2"		"u36,LS"	"L4737"	
"7608.256"	"5"	"4.36e+05"	"7.56e-03"	D	"0.30026073"	"0.42003419"	"3s2.4p"	"2P*"	"1/2"	"3s2.7d"	"2D"	"3/2"		"u36,LS"	"L4737"	
"7616.916"	"7"	"5.20e+05"	"6.79e-03"	C	"0.30040501"	"0.42004228"	"3s2.4p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"5/2"		"u36,LS"	"L4737"	
"7617.431"	"1"	"8.68e+04"	"7.55e-04"	E	"0.30040501"	"0.42003419"	"3s2.4p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"3/2"		"u36,LS"	"L4737"	
"7837.465"	"11"	"3.71e+06"	"5.12e-02"	B	"0.29557360"	"0.41184424"	"3s2.3d"	"2D"	"3/2"	"3s2.6f"	"2F*"	"5/2"		"u36,LS"	"L4737"	
"7838.290"	"12*"	"2.65e+05"	"2.44e-03"	C+	"0.29558583"	"0.41184424"	"3s2.3d"	"2D"	"5/2"	"3s2.6f"	"2F*"	"5/2"		"u36,LS"	"L4737"	
"7838.290"	"12*"	"3.97e+06"	"4.87e-02"	B+	"0.29558583"	"0.41184424"	"3s2.3d"	"2D"	"5/2"	"3s2.6f"	"2F*"	"7/2"		"u36,LS"	"L4737"	
"8068.187"	"6"	"4.42e+05"	"8.63e-03"	C+	"0.30026073"	"0.41320644"	"3s2.4p"	"2P*"	"1/2"	"3s2.6d"	"2D"	"3/2"		"u36,LS"	"L4737"	
"8077.574"	"8"	"5.28e+05"	"7.75e-03"	C+	"0.30040501"	"0.41321946"	"3s2.4p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"5/2"		"u36,LS"	"L4737"	
"8078.506"	"2"	"8.81e+04"	"8.62e-04"	C	"0.30040501"	"0.41320644"	"3s2.4p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"3/2"		"u36,LS"	"L4737"	
"8775.280"	"13"	"6.47e+06"	"1.12e-01"	B+	"0.29557360"	"0.39941838"	"3s2.3d"	"2D"	"3/2"	"3s2.5f"	"2F*"	"5/2"		"u36,LS"	"L4737"	
"8776.311"	"14*"	"6.95e+06"	"1.07e-01"	B+	"0.29558583"	"0.39941842"	"3s2.3d"	"2D"	"5/2"	"3s2.5f"	"2F*"	"7/2"		"u36,LS"	"L4737"	
