Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3s2.3p4"	"3P"	"2"	" 0.00000000"	"0.00000014"	""	" 100                                        "	"L15349"
"3s2.3p4"	"3P"	"1"	" 0.01013484"	"0.00000018"	""	" 100                                        "	"L15349"
"3s2.3p4"	"3P"	"0"	" 0.01430899"	"0.00000018"	""	" 100                                        "	"L15349"
"3s2.3p4"	"1D"	"2"	" 0.1276685"	"0.0000007"	""	" 100                                        "	"L15349"
"3s2.3p4"	"1S"	"0"	" 0.303139"	"0.000004"	""	"  96         :     4  3p6              1S   "	"L15349"
"3s.3p5"	"3P*"	"2"	" 1.0370266"	"0.0000010"	""	"  76         :    17  3s2.3p3.(2D*).3d 3P*  "	"L15349"
"3s.3p5"	"3P*"	"1"	" 1.0461107"	"0.0000008"	""	"  76         :    17  3s2.3p3.(2D*).3d 3P*  "	"L15349"
"3s.3p5"	"3P*"	"0"	" 1.0509461"	"0.0000012"	""	"  76         :    18  3s2.3p3.(2D*).3d 3P*  "	"L15349"
"3s.3p5"	"1P*"	"1"	" 1.3124285"	"0.0000007"	""	"  43         :    50  3s2.3p3.(2D*).3d 1P*  "	"L15349"
"3s2.3p3.(4S*).3d"	"5D*"	"1"	" 1.3202935"	"0.0000003"	""	" 100                                        "	"L15349"
"3s2.3p3.(4S*).3d"	"5D*"	"2"	" 1.32034103"	"0.00000018"	""	" 100                                        "	"L15349"
"3s2.3p3.(4S*).3d"	"5D*"	"3"	" 1.3204034"	"0.0000006"	""	" 100                                        "	"L15349"
"3s2.3p3.(4S*).3d"	"5D*"	"4"	" 1.3205287"	"0.0000004"	""	" 100                                        "	"L15349"
"3s2.3p3.(4S*).3d"	"3D*"	"3"	" 1.42991941"	"0.00000003"	""	"  48         :    48  3s2.3p3.(2D*).3d 3D*  "	"L15349"
"3s2.3p3.(4S*).3d"	"3D*"	"2"	" 1.42998356"	"0.00000005"	""	"  48         :    47  3s2.3p3.(2D*).3d 3D*  "	"L15349"
"3s2.3p3.(4S*).3d"	"3D*"	"1"	" 1.43096094"	"0.00000011"	""	"  48         :    47  3s2.3p3.(2D*).3d 3D*  "	"L15349"
"3s2.3p3.(2D*).3d"	"1S*"	"0"	" 1.4748851"	"0.0000004"	""	" 100                                        "	"L15349"
