configuration	term	J	energy
3s2.3p	2P*	1/2	0.0
3s2.3p	2P*	3/2	0.0201197
3s.3p2	4P	1/2	0.912702
3s.3p2	4P	3/2	0.919993
3s.3p2	4P	5/2	0.931238
3s.3p2	2D	3/2	1.207089
3s.3p2	2D	5/2	1.20811
3s.3p2	2S	1/2	1.547367
3s.3p2	2P	1/2	1.660165
3s.3p2	2P	3/2	1.672879
3s2.3d	2D	3/2	1.991992
3s2.3d	2D	5/2	1.992538
3p3	2D*	3/2	2.36992
3p3	2D*	5/2	2.371781
3p3	4S*	3/2	2.465085
3p3	2P*	3/2	2.679909
3p3	2P*	1/2	2.680048
3s.3p.(3P*).3d	4P*	5/2	2.8828
3s.3p.(3P*).3d	4P*	3/2	2.88848
3s.3p.(3P*).3d	4P*	1/2	2.8929
3s.3p.(3P*).3d	4D*	1/2	2.90943
3s.3p.(3P*).3d	4D*	3/2	2.91185
3s.3p.(3P*).3d	4D*	5/2	2.91397
3s.3p.(3P*).3d	4D*	7/2	2.91519
3s.3p.(3P*).3d	2D*	5/2	2.997708
3s.3p.(3P*).3d	2D*	3/2	2.998
3s2.4s	2S	1/2	3.11929
3s.3p.(3P*).3d	2F*	5/2	3.137582
3s.3p.(3P*).3d	2F*	7/2	3.153677
3s.3p.(3P*).3d	2P*	3/2	3.423246
3s.3p.(1P*).3d	2F*	7/2	3.4302
3s.3p.(1P*).3d	2F*	5/2	3.434611
3s.3p.(1P*).3d	2D*	3/2	3.60401
3s.3p.(1P*).3d	2D*	5/2	3.606859
3s.3p.(3P*).4s	4P*	1/2	4.13803
3s2.4d	2D	3/2	4.144
3s2.4d	2D	5/2	4.144506
3s.3p.(3P*).4s	4P*	3/2	4.14512
3s.3p.(3P*).4s	4P*	5/2	4.15793
3s.3p.(1P*).4s	2P*	1/2	4.78461
3s.3p.(1P*).4s	2P*	3/2	4.785975
3s2.5d	2D	3/2	5.06005
3s2.5d	2D	5/2	5.0623
