ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"120.0842"	"0.0009"	""	"6.1e+09"	"2.6e-02"	D	"0.000000"	"7.58857"	"2p6.3s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"3/2"		"T1619interp,LS"	"L4421"	
"120.1546"	"0.0009"	""	"5.8e+09"	"1.3e-02"	D	"0.000000"	"7.58412"	"2p6.3s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"1/2"		"T1619interp,LS"	"L4421"	
"158.9211"	"0.0011"	""	"1.1e+10"	"8.3e-02"	C	"0.000000"	"5.73408"	"2p6.3s"	"2S"	"1/2"	"2p6.4p"	"2P*"	"3/2"		"T1619interp,LS"	"L4421"	
"159.1746"	"0.0011"	""	"1.11e+10"	"4.22e-02"	C	"0.000000"	"5.72495"	"2p6.3s"	"2S"	"1/2"	"2p6.4p"	"2P*"	"1/2"		"T8043"	"L4421"	
"184.257"	"0.003"	""	"2.2e+10"	"1.7e-01"	C'	"3.030956"	"7.97658"	"2p6.3d"	"2D"	"3/2"	"2p6.5f"	"2F*"	"5/2"		"T1619interp"	"L4421"	
"184.300"	"0.003"	""	"2.4e+10"	"1.6e-01"	C'	"3.032278"	"7.97677"	"2p6.3d"	"2D"	"5/2"	"2p6.5f"	"2F*"	"7/2"		"T1619interp"	"L4421"	
"184.306"	"0.010"	""	"1.6e+09"	"8.1e-03"	C'	"3.032278"	"7.97658"	"2p6.3d"	"2D"	"5/2"	"2p6.5f"	"2F*"	"5/2"		"T1619interp"	""	
"229.430"	"0.003"	""	"1.12e+10"	"8.84e-02"	C	"1.276640"	"5.24852"	"2p6.3p"	"2P*"	"1/2"	"2p6.4s"	"2S"	"1/2"		"T8043"	"L4421"	
"230.867"	"0.003"	""	"2.21e+10"	"8.83e-02"	C	"1.301364"	"5.24852"	"2p6.3p"	"2P*"	"3/2"	"2p6.4s"	"2S"	"1/2"		"T8043"	"L4421"	
"260.252"	"0.010"	""	"6.10e+10"	"9.29e-01"	C+'	"3.030956"	"6.53244"	"2p6.3d"	"2D"	"3/2"	"2p6.4f"	"2F*"	"5/2"		"T1619interp"	"L6973"	
