configuration	term	J	energy
3s2.3p5	2P*	3/2	0.0
3s2.3p5	2P*	1/2	0.013045545
3s.3p6	2S	1/2	0.99074354
3s2.3p4.(3P).3d	4D	7/2	1.205855645
3s2.3p4.(3P).3d	4D	5/2	1.2072575859999999
3s2.3p4.(3P).3d	4D	3/2	1.20862012
3s2.3p4.(3P).3d	4D	1/2	1.2095949590000001
3s2.3p4.(3P).4s	4P	5/2	1.223300735
3s2.3p4.(3P).4s	4P	3/2	1.23099417
3s2.3p4.(3P).4s	4P	1/2	1.235693918
3s2.3p4.(3P).4s	2P	3/2	1.2597687809
3s2.3p4.(3P).4s	2P	1/2	1.2690153576
3s2.3p4.(3P).3d	4F	9/2	1.295697042
3s2.3p4.(3P).3d	4F	7/2	1.300533876
3s2.3p4.(3P).3d	4F	5/2	1.3040931359999999
3s2.3p4.(3P).3d	4F	3/2	1.30649666
3s2.3p4.(3P).3d	2P	1/2	1.318694383
3s2.3p4.(3P).3d	2P	3/2	1.3274325470000001
3s2.3p4.(3P).3d	4P	1/2	1.341640728
3s2.3p4.(3P).3d	4P	3/2	1.344147271
3s2.3p4.(3P).3d	4P	5/2	1.347544787
3s2.3p4.(1D).4s	2D	3/2	1.3543263791
3s2.3p4.(1D).4s	2D	5/2	1.3563523627
3s2.3p4.(3P).3d	2F	7/2	1.3594213005000002
3s2.3p4.(3P).3d	2F	5/2	1.3682465363999998
3s2.3p4.(3P).3d	2D	3/2	1.3712290059999999
3s2.3p4.(3P).3d	2D	5/2	1.3768088991999998
3s2.3p4.(1D).3d	2G	9/2	1.405005155
3s2.3p4.(1D).3d	2G	7/2	1.405210461
3s2.3p4.(3P).4p	4P*	5/2	1.4128572486000002
3s2.3p4.(3P).4p	4P*	3/2	1.4156635747
3s2.3p4.(3P).4p	4P*	1/2	1.418916679
3s2.3p4.(3P).4p	4D*	7/2	1.432821813
3s2.3p4.(3P).4p	4D*	5/2	1.4368258638
3s2.3p4.(3P).4p	4D*	3/2	1.441331045
3s2.3p4.(3P).4p	4D*	1/2	1.4437031530000002
3s2.3p4.(3P).4p	2D*	5/2	1.4464569186000003
3s2.3p4.(3P).4p	2D*	3/2	1.4524993983
3s2.3p4.(3P).4p	2P*	1/2	1.4553530192
3s2.3p4.(3P).4p	2P*	3/2	1.4602091094
3s2.3p4.(3P).4p	4S*	3/2	1.467584113
3s2.3p4.(3P).4p	2S*	1/2	1.4679544838
3s2.3p4.(1D).3d	2F	5/2	1.4880950990000001
3s2.3p4.(1D).3d	2F	7/2	1.4899811954
3s2.3p4.(1S).4s	2S	1/2	1.524622515
3s2.3p4.(1D).4p	2F*	5/2	1.5528083218000002
3s2.3p4.(1D).4p	2F*	7/2	1.5539873829
3s2.3p4.(1D).4p	2P*	3/2	1.5693283431
3s2.3p4.(1D).3d	2D	5/2	1.5704375259999999
3s2.3p4.(1D).4p	2P*	1/2	1.574817933
3s2.3p4.(1D).3d	2D	3/2	1.57493969
3s2.3p4.(1D).4p	2D*	3/2	1.5796624396
3s2.3p4.(1D).4p	2D*	5/2	1.5800775216999998
3s2.3p4.(1D).3d	2P	3/2	1.589339875
3s2.3p4.(1D).3d	2P	1/2	1.59308626
3s2.3p4.(1S).3d	2D	5/2	1.63656477
3s2.3p4.(1S).3d	2D	3/2	1.639659565
3s2.3p4.(3P).5s	4P	5/2	1.6548075672999998
3s2.3p4.(3P).5s	4P	3/2	1.6605301466
3s2.3p4.(3P).5s	4P	1/2	1.6671745591999998
3s2.3p4.(3P).5s	2P	3/2	1.6684469778
3s2.3p4.(3P).4d	4D	7/2	1.6737757819999999
3s2.3p4.(3P).4d	4D	5/2	1.674885577
3s2.3p4.(3P).5s	2P	1/2	1.675953552
3s2.3p4.(3P).4d	4D	3/2	1.6766039209999999
3s2.3p4.(1D).3d	2S	1/2	1.67758007
3s2.3p4.(3P).4d	4D	1/2	1.678479108
3s2.3p4.(3P).4d	4F	9/2	1.6866945269999998
3s2.3p4.(3P).4d	4F	7/2	1.691537897
3s2.3p4.(3P).4d	4F	5/2	1.6956350384999999
3s2.3p4.(3P).4d	4P	1/2	1.696518015
3s2.3p4.(3P).4d	4F	3/2	1.6980601397
3s2.3p4.(3P).4d	4P	3/2	1.6992429530000002
3s2.3p4.(3P).4d	2F	7/2	1.7023931052
3s2.3p4.(3P).4d	4P	5/2	1.7030764619999998
3s2.3p4.(3P).4d	2F	5/2	1.7094398303
3s2.3p4.(3P).5p	4P*	5/2	1.7201643008
3s2.3p4.(3P).5p	4P*	3/2	1.7226677537000001
3s2.3p4.(3P).5p	4D*	7/2	1.726076739
3s2.3p4.(3P).5p	4P*	1/2	1.726283702
3s2.3p4.(3P).5p	4D*	5/2	1.7282621459999998
3s2.3p4.(3P).4d	2P	1/2	1.730811721
3s2.3p4.(3P).5p	4D*	3/2	1.7323760730000002
3s2.3p4.(3P).5p	2P*	1/2	1.7331953619999998
3s2.3p4.(3P).5p	2P*	3/2	1.7360312818
3s2.3p4.(3P).5p	2D*	5/2	1.7360664075
3s2.3p4.(3P).4d	2P	3/2	1.7368041980000002
3s2.3p4.(3P).5p	4D*	1/2	1.738087126
3s2.3p4.(3P).5p	2S*	1/2	1.739998111
3s2.3p4.(3P).5p	2D*	3/2	1.7406332879
3s2.3p4.(3P).5p	4S*	3/2	1.7420655263
3s2.3p4.(1S).4p	2P*	3/2	1.7494010930000001
3s2.3p4.(1S).4p	2P*	1/2	1.7526718
3s2.3p4.(3P).4d	2D	5/2	1.754707746
3s2.3p4.(3P).4d	2D	3/2	1.756121487
