configuration	term	J	energy
3s2.3p6	1S	0	0.0
3s2.3p5.(2P*<3/2>).4s	2[3/2]*	2	0.848788395
3s2.3p5.(2P*<3/2>).4s	2[3/2]*	1	0.854318307
3s2.3p5.(2P*<1/2>).4s	2[1/2]*	0	0.861636396
3s2.3p5.(2P*<1/2>).4s	2[1/2]*	1	0.869347195
3s2.3p5.(2P*<3/2>).4p	2[1/2]	1	0.948648127
3s2.3p5.(2P*<3/2>).4p	2[5/2]	3	0.961047379
3s2.3p5.(2P*<3/2>).4p	2[5/2]	2	0.9624553809999999
3s2.3p5.(2P*<3/2>).4p	2[3/2]	1	0.966738243
3s2.3p5.(2P*<3/2>).4p	2[3/2]	2	0.968107805
3s2.3p5.(2P*<3/2>).4p	2[1/2]	0	0.975550307
3s2.3p5.(2P*<1/2>).4p	2[3/2]	1	0.9762559609999999
3s2.3p5.(2P*<1/2>).4p	2[3/2]	2	0.9776956859999999
3s2.3p5.(2P*<1/2>).4p	2[1/2]	1	0.979579425
3s2.3p5.(2P*<1/2>).4p	2[1/2]	0	0.990753407
3s2.3p5.(2P*<3/2>).3d	2[1/2]*	0	1.01759156
3s2.3p5.(2P*<3/2>).3d	2[1/2]*	1	1.01896085
3s2.3p5.(2P*<3/2>).3d	2[3/2]*	2	1.02188507
3s2.3p5.(2P*<3/2>).3d	2[7/2]*	4	1.02745499
3s2.3p5.(2P*<3/2>).3d	2[7/2]*	3	1.02991726
3s2.3p5.(2P*<3/2>).3d	2[5/2]*	2	1.03361344
3s2.3p5.(2P*<3/2>).5s	2[3/2]*	2	1.03400081
3s2.3p5.(2P*<3/2>).5s	2[3/2]*	1	1.03559358
3s2.3p5.(2P*<3/2>).3d	2[5/2]*	3	1.0362615
3s2.3p5.(2P*<3/2>).3d	2[3/2]*	1	1.04019067
3s2.3p5.(2P*<1/2>).3d	2[5/2]*	2	1.04468559
3s2.3p5.(2P*<1/2>).3d	2[3/2]*	2	1.04618137
3s2.3p5.(2P*<1/2>).3d	2[5/2]*	3	1.0463345
3s2.3p5.(2P*<1/2>).5s	2[1/2]*	0	1.04669623
3s2.3p5.(2P*<1/2>).5s	2[1/2]*	1	1.04772946
3s2.3p5.(2P*<1/2>).3d	2[3/2]*	1	1.05130024
3s2.3p5.(2P*<3/2>).5p	2[1/2]	1	1.063084081
3s2.3p5.(2P*<3/2>).5p	2[5/2]	3	1.065660787
3s2.3p5.(2P*<3/2>).5p	2[5/2]	2	1.066176306
3s2.3p5.(2P*<3/2>).5p	2[3/2]	1	1.067561437
3s2.3p5.(2P*<3/2>).5p	2[3/2]	2	1.067855445
3s2.3p5.(2P*<3/2>).5p	2[1/2]	0	1.071312475
3s2.3p5.(2P*<1/2>).5p	2[3/2]	1	1.079007898
3s2.3p5.(2P*<1/2>).5p	2[1/2]	1	1.07948328
3s2.3p5.(2P*<1/2>).5p	2[3/2]	2	1.079569425
3s2.3p5.(2P*<3/2>).4d	2[1/2]*	0	1.0799626
3s2.3p5.(2P*<3/2>).4d	2[1/2]*	1	1.081231068
3s2.3p5.(2P*<1/2>).5p	2[1/2]	0	1.083231499
3s2.3p5.(2P*<3/2>).4d	2[3/2]*	2	1.083556767
3s2.3p5.(2P*<3/2>).4d	2[7/2]*	4	1.08462329
3s2.3p5.(2P*<3/2>).4d	2[7/2]*	3	1.0863476
3s2.3p5.(2P*<3/2>).4d	2[5/2]*	2	1.0884614
3s2.3p5.(2P*<3/2>).4d	2[5/2]*	3	1.0895658000000001
3s2.3p5.(2P*<3/2>).6s	2[3/2]*	2	1.0906324920000001
3s2.3p5.(2P*<3/2>).6s	2[3/2]*	1	1.091334992
3s2.3p5.(2P*<3/2>).4d	2[3/2]*	1	1.0921332000000001
3s2.3p5.(2P*<3/2>).4f	2[3/2]	1	1.09523576
3s2.3p5.(2P*<3/2>).4f	2[3/2]	2	1.09523939
3s2.3p5.(2P*<3/2>).4f	2[9/2]	5	1.095408
3s2.3p5.(2P*<3/2>).4f	2[9/2]	4	1.09540838
3s2.3p5.(2P*<3/2>).4f	2[5/2]	3	1.0956141
3s2.3p5.(2P*<3/2>).4f	2[5/2]	2	1.09561695
3s2.3p5.(2P*<3/2>).4f	2[7/2]	3	1.0957975
3s2.3p5.(2P*<3/2>).4f	2[7/2]	4	1.09579784
3s2.3p5.(2P*<1/2>).4d	2[3/2]*	2	1.098996178
3s2.3p5.(2P*<1/2>).4d	2[5/2]*	2	1.099161351
3s2.3p5.(2P*<1/2>).4d	2[5/2]*	3	1.100386597
