ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"866.800"	"180"	"3.13e+08"	"1.06e-01"	C+	"0.000000000"	"1.05130024"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).3d"	"2[3/2]*"	"1"		"T1355,T1618n"	"L2131"	
"869.754"	"150"	"3.50e+07"	"1.19e-02"	C	"0.000000000"	"1.04772946"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T1355,T1618n,T1372"	"L2131"	
"876.058"	"180r"	"2.70e+08"	"9.32e-02"	C+	"0.000000000"	"1.04019067"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).3d"	"2[3/2]*"	"1"		"T1355,T1618n"	"L2131"	
"879.947"	"180r"	"7.7e+07"	"2.7e-02"	C	"0.000000000"	"1.03559358"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"T1355,T1618n,T1372"	"L2131"	
"1048.220"	"1000r"	"5.32e+08"	"2.629e-01"	AA	"0.000000000"	"0.869347195"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"		"T7574"	"L2131"	
"1066.660"	"500r"	"1.320e+08"	"6.75e-02"	A+	"0.000000000"	"0.854318307"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"		"T7574"	"L2131"	
"3407.158"	""	"3.9e+05"	"2.3e-04"	D	"0.869347195"	"1.13680387"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	"3s2.3p5.(2P*<1/2>).7p"	"2[1/2]"	"0"		"T1086n"	""	
"3462.070"	"7"	"6.7e+04"	"2.0e-04"	D	"0.854318307"	"1.11753284"	"3s2.3p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	"3s2.3p5.(2P*<1/2>).6p"	"2[3/2]"	"2"		"T1086n"	"L3512"	
"3555.321"	"7"	"2.7e+05"	"5.1e-04"	D	"0.848788395"	"1.10509917"	"3s2.3p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"	"3s2.3p5.(2P*<3/2>).6p"	"2[3/2]"	"2"		"T1086n"	"L2634"	
"3564.304"	""	"1.2e+05"	"6.9e-04"	D	"0.861636396"	"1.11730122"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"0"	"3s2.3p5.(2P*<1/2>).6p"	"2[3/2]"	"1"		"T1086n"	""	
