Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"1s2.2s"	"2S"	"1/2"	" 0.00000000"	"0.00000011"	" 100                                            "	"L12547"
"1s2.2p"	"2P*"	"1/2"	" 0.44067357"	"0.00000011"	" 100                                            "	"L12547"
"1s2.2p"	"2P*"	"3/2"	" 0.44098432"	"0.00000011"	" 100                                            "	"L12547"
"1s2.3s"	"2S"	"1/2"	" 1.6421207"	"0.000005"	" 100                                            "	"L12547"
"1s2.3p"	"2P*"	"1/2"	" 1.7583010"	"0.0000005"	" 100                                            "	"L12547"
"1s2.3p"	"2P*"	"3/2"	" 1.7583922"	"0.0000005"	" 100                                            "	"L12547"
"1s2.3d"	"2D"	"3/2"	" 1.7867099"	"0.000003"	" 100                                            "	"L12547"
"1s2.3d"	"2D"	"5/2"	" 1.7867365"	"0.000003"	" 100                                            "	"L12547"
"1s2.4s"	"2S"	"1/2"	" 2.1660660"	"0.0000012"	" 100                                            "	"L12547"
"1s2.4p"	"2P*"	"1/2"	" 2.2128274"	"0.000003"	" 100                                            "	"L12547"
"1s2.4p"	"2P*"	"3/2"	" 2.2128630"	"0.000003"	" 100                                            "	"L12547"
"1s2.4d"	"2D"	"3/2"	" 2.2247822"	"0.0000013"	" 100                                            "	"L12547"
"1s2.4d"	"2D"	"5/2"	" 2.2247934"	"0.0000013"	" 100                                            "	"L12547"
"1s2.4f"	"2F*"	"5/2"	" 2.2253061"	"0.0000022"	" 100                                            "	"L12547"
"1s2.4f"	"2F*"	"7/2"	" 2.2253118"	"0.0000022"	" 100                                            "	"L12547"
"1s2.5s"	"2S"	"1/2"	" 2.3980884"	"0.000004"	" 100                                            "	"L12547"
"1s2.5p"	"2P*"	"1/2"	" 2.4214336"	"0.0000019"	" 100                                            "	"L12547"
"1s2.5p"	"2P*"	"3/2"	" 2.4214530"	"0.0000019"	" 100                                            "	"L12547"
"1s2.5d"	"2D"	"3/2"	" 2.4275367"	"0.000003"	" 100                                            "	"L12547"
"1s2.5d"	"2D"	"5/2"	" 2.4275424"	"0.000003"	" 100                                            "	"L12547"
"1s2.5f"	"2F*"	"5/2"	" 2.4278194"	"0.0000021"	" 100                                            "	"L12547"
"1s2.5f"	"2F*"	"7/2"	" 2.4278223"	"0.0000021"	" 100                                            "	"L12547"
"1s2.5g"	"2G"	"7/2,9/2"	" 2.4278609"	"0.000003"	" 100                                            "	"L12547"
"1s2.6s"	"2S"	"1/2"	"[2.5208410]"	"0.000004"	" 100                                            "	"L12547"
"1s2.6p"	"2P*"	"1/2"	"[2.5341439]"	"0.000004"	" 100                                            "	"L12547"
"1s2.6p"	"2P*"	"3/2"	"[2.5341439]"	"0.000004"	" 100                                            "	"L12547"
"1s2.6d"	"2D"	"3/2"	"[2.5376643]"	"0.000004"	" 100                                            "	"L12547"
"1s2.6d"	"2D"	"5/2"	"[2.5376643]"	"0.000004"	" 100                                            "	"L12547"
"1s2.6f"	"2F*"	"5/2"	"[2.5378345]"	"0.000004"	" 100                                            "	"L12547"
"1s2.6f"	"2F*"	"7/2"	"[2.5378345]"	"0.000004"	" 100                                            "	"L12547"
"1s2.6g"	"2G"	"7/2,9/2"	"[2.5378521]"	"0.000004"	" 100                                            "	"L12547"
"1s2.6h"	"2H*"	"9/2,11/2"	"[2.5378565]"	"0.000004"	" 100                                            "	"L12547"
"1s2.7s"	"2S"	"1/2"	"[2.5935559]"	"0.000004"	" 100                                            "	"L12547"
"1s2.7p"	"2P*"	"1/2"	"[2.6018432]"	"0.000004"	" 100                                            "	"L12547"
"1s2.7p"	"2P*"	"3/2"	"[2.6018432]"	"0.000004"	" 100                                            "	"L12547"
"1s2.7d"	"2D"	"3/2,5/2"	"[2.6040568]"	"0.000004"	" 100                                            "	"L12547"
"1s2.7f"	"2F*"	"5/2"	"[2.6041662]"	"0.000004"	" 100                                            "	"L12547"
"1s2.7f"	"2F*"	"7/2"	"[2.6041662]"	"0.000004"	" 100                                            "	"L12547"
"1s2.7g"	"2G"	"7/2,9/2"	"[2.6041775]"	"0.000004"	" 100                                            "	"L12547"
"1s2.7h"	"2H*"	"9/2,11/2"	"[2.6041803]"	"0.000004"	" 100                                            "	"L12547"
"1s2.8s"	"2S"	"1/2"	"[2.6401537]"	"0.000004"	" 100                                            "	"L12547"
"1s2.8p"	"2P*"	"1/2"	"[2.6456621]"	"0.000004"	" 100                                            "	"L12547"
"1s2.8p"	"2P*"	"3/2"	"[2.6456621]"	"0.000004"	" 100                                            "	"L12547"
"1s2.8d"	"2D"	"3/2,5/2"	"[2.6471433]"	"0.000004"	" 100                                            "	"L12547"
"1s2.8f"	"2F*"	"5/2"	"[2.6472175]"	"0.000004"	" 100                                            "	"L12547"
