ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"340.5789"	"0.0008"	""	"6.18e+07"	"2.15e-03"	A	"0.00000000"	"[2.6756413]"	"1s2.2s"	"2S"	"1/2"	"1s2.9p"	"2P*"	"3/2"		"T6989LS"	""	
"340.5789"	"0.0008"	""	"6.18e+07"	"1.07e-03"	A	"0.00000000"	"[2.6756413]"	"1s2.2s"	"2S"	"1/2"	"1s2.9p"	"2P*"	"1/2"		"T6989LS"	""	
"344.4382"	"0.0008"	""	"9.00e+07"	"3.20e-03"	A	"0.00000000"	"[2.6456621]"	"1s2.2s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"3/2"		"T6989LS"	""	
"344.4382"	"0.0008"	""	"9.00e+07"	"1.60e-03"	A	"0.00000000"	"[2.6456621]"	"1s2.2s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"1/2"		"T6989LS"	""	
"350.2390"	"0.0011"	"55*"	"1.33e+08"	"4.90e-03"	A	"0.00000000"	"[2.6018432]"	"1s2.2s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"3/2"		"T6989LS"	"L6901"	
"350.2390"	"0.0011"	"55*"	"1.33e+08"	"2.45e-03"	A	"0.00000000"	"[2.6018432]"	"1s2.2s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"1/2"		"T6989LS"	"L6901"	
"359.5956"	"0.0013"	"85*"	"2.10e+08"	"8.15e-03"	A	"0.00000000"	"[2.5341439]"	"1s2.2s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"3/2"		"T6989LS"	"L6901"	
"359.5956"	"0.0013"	"85*"	"2.10e+08"	"4.07e-03"	A	"0.00000000"	"[2.5341439]"	"1s2.2s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"1/2"		"T6989LS"	"L6901"	
"376.3307"	"0.0010"	"90*"	"3.54e+08"	"1.51e-02"	A	"0.00000000"	"2.4214530"	"1s2.2s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"3/2"		"T6989LS"	"L7581"	
"376.3337"	"0.0010"	"90*"	"3.53e+08"	"7.51e-03"	A	"0.00000000"	"2.4214336"	"1s2.2s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"1/2"		"T6989LS"	"L7581"	
