configuration	term	J	energy
1s2	1S		0.0
1s.2s	3S		14.59423
1s.2s	1S		14.90569
1s.2p	3P*	0	14.9167649
1s.2p	3P*	1	14.91661725
1s.2p	3P*	2	14.91709712
1s.2p	1P*		15.10855
1s.3s	3S		17.15679
1s.3s	1S		17.23909
1s.3p	3P*		17.2432
1s.3d	3D		17.28384
1s.3d	1D		17.28517
1s.3p	1P*		17.29784
1s.4s	3S		18.01059
1s.4s	1S		18.04385
1s.4p	3P*		18.04571
1s.4d	3D		18.06256
1s.4d	1D		18.06327
1s.4f	3F*		18.0634
1s.4f	1F*		18.06343
1s.4p	1P*		18.06838
1s.5s	3S		18.39677
1s.5s	1S		18.41341
1s.5p	3P*		18.41442
1s.5d	3D		18.42296
1s.5d	1D		18.42333
1s.5f	3F*		18.42344
1s.5f	1F*		18.42345
1s.5g	3G		18.42348
1s.5g	1G		18.42348
1s.5p	1P*		18.4259
1s.6s	3S		18.60371
1s.6s	1S		18.61322
1s.6p	3P*		18.6138
1s.6d	3D		18.6187
1s.6d	1D		18.61893
1s.6f	3F*		18.61901
1s.6f	1F*		18.61901
1s.6g	1,3G		18.61903
1s.6h	1,3H*		18.61905
1s.6p	1P*		18.62043
1s.7s	3S		18.72735
1s.7s	1S		18.73328
1s.7p	3P*		18.73361
1s.7d	3D		18.73671
1s.7d	1D		18.73688
1s.7f	1,3F*		18.73691
1s.7g	1,3G		18.73692
1s.7h	1,3H*		18.73696
1s.7p	1P*		18.73781
1s.8s	3S		18.80706
1s.8s	1S		18.81101
1s.8p	3P*		18.81126
1s.8d	3D		18.81332
1s.8d	1D		18.81339
1s.8f	1,3F*		18.81343
1s.8g	1,3G		18.81346
1s.8h	1,3H*		18.81349
1s.8i	3I		18.81351
1s.8p	1P*		18.81405
1s.9s	3S		18.86145
1s.9s	1S		18.86421
1s.9p	3P*		18.86438
1s.9d	3D		18.86583
1s.9f	1,3F*		18.86587
1s.9g	1,3G		18.86589
1s.9d	1D		18.8659
1s.9h	1,3H*		18.86593
1s.9p	1P*		18.86634
