Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"1s2.2s2"	"1S"	"0"	" 0.0000000"	"0"	"  93                      :     7  1s2.2p2    1S   "	"L12120"
"1s2.2s.2p"	"3P*"	"0"	" 0.3402265"	"0.0000004"	" 100                                               "	"L12120"
"1s2.2s.2p"	"3P*"	"1"	" 0.3402822"	"0.0000003"	" 100                                               "	"L12120"
"1s2.2s.2p"	"3P*"	"2"	" 0.3404293"	"0.0000003"	" 100                                               "	"L12120"
"1s2.2s.2p"	"1P*"	"1"	" 0.66883821"	"0.0000003"	"  97                                               "	"L12120"
"1s2.2p2"	"3P"	"0"	" 0.9013468"	"0.0000004"	" 100                                               "	"L12120"
"1s2.2p2"	"3P"	"1"	" 0.9014242"	"0.0000003"	" 100                                               "	"L12120"
"1s2.2p2"	"3P"	"2"	" 0.9015462"	"0.0000003"	" 100                                               "	"L12120"
"1s2.2p2"	"1D"	"2"	" 0.93279820"	"0.0000003"	"  94                                               "	"L12120"
"1s2.2p2"	"1S"	"0"	" 1.1633344"	"0.0000003"	"  80                      :    15  1s2.2s.3s  1S   "	"L12120"
"1s2.2s.3s"	"3S"	"1"	" 1.1825862"	"0.0000016"	"  98                                               "	"L12120"
"1s2.2s.3s"	"1S"	"0"	" 1.2541062"	"0.0000015"	"  81                      :    11  1s2.2p2    1S   "	"L12120"
"1s2.2s.3p"	"3P*"	"0"	" 1.3121330"	"0.0000016"	"  99                                               "	"L12120"
"1s2.2s.3p"	"3P*"	"1"	" 1.3121385"	"0.0000016"	"  99                                               "	"L12120"
"1s2.2s.3p"	"3P*"	"2"	" 1.3121709"	"0.0000016"	"  99                                               "	"L12120"
"1s2.2s.3p"	"1P*"	"1"	" 1.3131626"	"0.0000006"	"  91                      :     7  1s2.2p.3s  1P*  "	"L12120"
"1s2.2s.3d"	"3D"	"3"	" 1.3728209"	"0.0000015"	"  98                                               "	"L12120"
"1s2.2s.3d"	"3D"	"2"	" 1.3728209"	"0.0000015"	"  98                                               "	"L12120"
"1s2.2s.3d"	"3D"	"1"	" 1.3728209"	"0.0000015"	"  98                                               "	"L12120"
"1s2.2s.3d"	"1D"	"2"	" 1.4096036"	"0.0000006"	"  94                                               "	"L12120"
"1s2.2s.4s"	"3S"	"1"	" 1.5158462"	"0.0000016"	"  99                                               "	"L12120"
"1s2.2s.4s"	"1S"	"0"	" 1.5303391"	"0.0000008"	"  97                                               "	"L12120"
"1s2.2s.4p"	"1P*"	"1"	" 1.5545426"	"0.0000008"	"  87                      :    10  1s2.2p.3s  1P*  "	"L12120"
"1s2.2s.4p"	"3P*"	"2"	" 1.5632418"	"0.0000015"	"  99                                               "	"L12120"
"1s2.2s.4p"	"3P*"	"1"	" 1.5632418"	"0.0000015"	"  99                                               "	"L12120"
"1s2.2s.4p"	"3P*"	"0"	" 1.5632418"	"0.0000015"	"  99                                               "	"L12120"
"1s2.2s.4d"	"3D"	"3"	" 1.5862729"	"0.0000016"	"  99                                               "	"L12120"
