configuration	term	J	energy
1s2.2s2	1S	0	0.0
1s2.2s.2p	3P*	0	0.3402265
1s2.2s.2p	3P*	1	0.34028220000000003
1s2.2s.2p	3P*	2	0.3404293
1s2.2s.2p	1P*	1	0.66883821
1s2.2p2	3P	0	0.9013468000000001
1s2.2p2	3P	1	0.9014242
1s2.2p2	3P	2	0.9015462
1s2.2p2	1D	2	0.9327982
1s2.2p2	1S	0	1.1633343999999999
1s2.2s.3s	3S	1	1.1825861999999998
1s2.2s.3s	1S	0	1.2541062
1s2.2s.3p	3P*	0	1.312133
1s2.2s.3p	3P*	1	1.3121385
1s2.2s.3p	3P*	2	1.3121709
1s2.2s.3p	1P*	1	1.3131626
1s2.2s.3d	3D	3	1.3728208999999998
1s2.2s.3d	3D	2	1.3728208999999998
1s2.2s.3d	3D	1	1.3728208999999998
1s2.2s.3d	1D	2	1.4096036
1s2.2s.4s	3S	1	1.5158462
1s2.2s.4s	1S	0	1.5303391000000002
1s2.2s.4p	1P*	1	1.5545426000000002
1s2.2s.4p	3P*	2	1.5632418
1s2.2s.4p	3P*	1	1.5632418
1s2.2s.4p	3P*	0	1.5632418
1s2.2s.4d	3D	3	1.5862729
1s2.2s.4d	3D	2	1.5862729
1s2.2s.4d	3D	1	1.5862729
1s2.2s.4f	3F*	4	1.5938364
1s2.2s.4f	3F*	3	1.5938364
1s2.2s.4f	3F*	2	1.5938364
1s2.2s.4f	1F*	3	1.5940055
1s2.2s.4d	1D	2	1.5997021
1s2.2s.5s	3S	1	1.6484558999999996
1s2.2s.5s	1S	0	1.6544238000000002
1s2.2p.3s	3P*	0	1.6552790000000002
1s2.2p.3s	3P*	1	1.6553672
1s2.2p.3s	3P*	2	1.6555605
1s2.2s.5p	1P*	1	1.6563709999999998
1s2.2s.5p	3P*	0	1.6732577000000002
1s2.2s.5p	3P*	1	1.6732577000000002
1s2.2s.5p	3P*	2	1.6732577000000002
1s2.2s.5d	3D	1	1.6825063000000002
1s2.2s.5d	3D	2	1.6825063000000002
1s2.2s.5d	3D	3	1.6825063000000002
1s2.2s.5f	3F*	2	1.6850128
1s2.2s.5f	3F*	3	1.6850128
1s2.2s.5f	3F*	4	1.6850128
1s2.2s.5f	1F*	3	1.6854630000000002
1s2.2s.5g	3G	3	1.6882302
1s2.2s.5g	1G	4	1.6882302
1s2.2s.5g	3G	4	1.6882302
1s2.2s.5g	3G	5	1.6882302
1s2.2s.5d	1D	2	1.6887891
