Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"2s2.2p"	"2P*"	"1/2"	" 0.000000000"	""	"  95         :     4  2p3            2P*  "	"L12312"
"2s2.2p"	"2P*"	"3/2"	" 0.00013931"	"0.00000003"	"  95         :     4  2p3            2P*  "	"L12312"
"2s.2p2"	"4P"	"1/2"	" 0.2610546+x"	"0.000016"	" 100                                      "	"L12312"
"2s.2p2"	"4P"	"3/2"	" 0.2610969+x"	"0.000016"	" 100                                      "	"L12312"
"2s.2p2"	"4P"	"5/2"	" 0.2611546+x"	"0.000016"	" 100                                      "	"L12312"
"2s2.3s"	"2S"	"1/2"	" 0.364868509"	"0.000000021"	"  95         :     5  2p2.(1S).3s    2S   "	"L12312"
"2s.2p2"	"2D"	"5/2"	" 0.43610333"	"0.00000004"	"  79         :     7  2s2.3d         2D   "	"L12312"
"2s.2p2"	"2D"	"3/2"	" 0.43610621"	"0.00000004"	"  79         :     7  2s2.3d         2D   "	"L12312"
"2s2.3p"	"2P*"	"1/2"	" 0.442983920"	"0.00000003"	"  91         :     7  2p2.(1S).3p    2P*  "	"L12312"
"2s2.3p"	"2P*"	"3/2"	" 0.443000162"	"0.000000022"	"  91         :     7  2p2.(1S).3p    2P*  "	"L12312"
"2s2.3d"	"2D"	"3/2"	" 0.499079953"	"0.000000018"	"  88         :     7  2s.2p2         2D   "	"L12312"
"2s2.3d"	"2D"	"5/2"	" 0.499081268"	"0.00000003"	"  88         :     7  2s.2p2         2D   "	"L12312"
"2s2.4s"	"2S"	"1/2"	" 0.501290135"	"0.000000022"	"  95         :     5  2p2.(1S).4s    2S   "	"L12312"
"2s2.4p"	"2P*"	"1/2"	" 0.526588729"	"0.00000003"	"  92         :     7  2p2.(1S).4p    2P*  "	"L12312"
"2s2.4p"	"2P*"	"3/2"	" 0.526594513"	"0.00000003"	"  92         :     7  2p2.(1S).4p    2P*  "	"L12312"
"2s2.4d"	"2D"	"3/2"	" 0.5467005"	"0.0000012"	"  93         :     5  2p2.(1S).4d    2D   "	"L12312"
"2s2.4d"	"2D"	"5/2"	" 0.5467005"	"0.0000012"	"  93         :     5  2p2.(1S).4d    2D   "	"L12312"
"2s2.4f"	"2F*"	"5/2"	" 0.547043418"	"0.00000003"	"  92         :     8  2p2.(1S).4f    2F*  "	"L12312"
"2s2.4f"	"2F*"	"7/2"	" 0.547043467"	"0.00000003"	"  92         :     8  2p2.(1S).4f    2F*  "	"L12312"
"2s2.5s"	"2S"	"1/2"	" 0.54809445"	"0.00000009"	"  86         :     5  2p2.(1S).5s    2S   "	"L12312"
"2s2.5p"	"2P*"	"1/2,3/2"	" 0.5598241"	"0.000010"	"  92         :     7  2p2.(1S).5p    2P*  "	"L12312"
"2s2.6s"	"2S"	"1/2"	" 0.56937940"	"0.0000013"	"  77         :    12  2s.2p2         2S   "	"L12312"
"2s2.5d"	"2D"	"3/2"	" 0.56940981"	"0.0000013"	"  94         :     5  2p2.(1S).5d    2D   "	"L12312"
"2s2.5d"	"2D"	"5/2"	" 0.56940981"	"0.0000013"	"  94         :     5  2p2.(1S).5d    2D   "	"L12312"
"2s2.5f"	"2F*"	"5/2"	" 0.569692805"	"0.00000003"	"  92         :     8  2p2.(1S).5f    2F*  "	"L12312"
"2s2.5f"	"2F*"	"7/2"	" 0.569692805"	"0.00000003"	"  92         :     8  2p2.(1S).5f    2F*  "	"L12312"
"2s2.6p"	"2P*"	"1/2,3/2"	" 0.5764971"	"0.000010"	"  92         :     7  2p2.(1S).6p    2P*  "	"L12312"
"2s.2p2"	"2S"	"1/2"	" 0.57920715"	"0.0000013"	"  35         :    31  2s2.7s         2S   "	"L12312"
"2s2.6d"	"2D"	"3/2"	" 0.58180139"	"0.0000013"	"  95         :     5  2p2.(1S).6d    2D   "	"L12312"
"2s2.6d"	"2D"	"5/2"	" 0.58180139"	"0.0000013"	"  95         :     5  2p2.(1S).6d    2D   "	"L12312"
"2s2.6f"	"2F*"	"5/2"	" 0.58199279"	"0.0000003"	"  92         :     8  2p2.(1S).6f    2F*  "	"L12312"
"2s2.6f"	"2F*"	"7/2"	" 0.58199279"	"0.0000003"	"  92         :     8  2p2.(1S).6f    2F*  "	"L12312"
"2s2.7s"	"2S"	"1/2"	" 0.58463264"	"0.0000014"	"  58         :    31  2s.2p2         2S   "	"L12312"
