configuration	term	J	energy
2s2.2p	2P*	1/2	0.0
2s2.2p	2P*	3/2	0.00013931
2s.2p2	4P	1/2	0.2610546
2s.2p2	4P	3/2	0.2610969
2s.2p2	4P	5/2	0.2611546
2s2.3s	2S	1/2	0.364868509
2s.2p2	2D	5/2	0.43610333
2s.2p2	2D	3/2	0.43610621
2s2.3p	2P*	1/2	0.44298392
2s2.3p	2P*	3/2	0.443000162
2s2.3d	2D	3/2	0.499079953
2s2.3d	2D	5/2	0.499081268
2s2.4s	2S	1/2	0.501290135
2s2.4p	2P*	1/2	0.526588729
2s2.4p	2P*	3/2	0.526594513
2s2.4d	2D	3/2	0.5467005
2s2.4d	2D	5/2	0.5467005
2s2.4f	2F*	5/2	0.547043418
2s2.4f	2F*	7/2	0.547043467
2s2.5s	2S	1/2	0.54809445
2s2.5p	2P*	1/2,3/2	0.5598241
2s2.6s	2S	1/2	0.5693794
2s2.5d	2D	3/2	0.56940981
2s2.5d	2D	5/2	0.56940981
2s2.5f	2F*	5/2	0.569692805
2s2.5f	2F*	7/2	0.569692805
2s2.6p	2P*	1/2,3/2	0.5764971
2s.2p2	2S	1/2	0.57920715
2s2.6d	2D	3/2	0.58180139
2s2.6d	2D	5/2	0.58180139
2s2.6f	2F*	5/2	0.58199279
2s2.6f	2F*	7/2	0.58199279
2s2.7s	2S	1/2	0.58463264
2s2.7p	2P*	1/2,3/2	0.5860212
2s2.7d	2D	3/2	0.58927406
2s2.7d	2D	5/2	0.58927406
2s2.7f	2F*	5/2	0.5894052
2s2.7f	2F*	7/2	0.5894052
2s2.8s	2S	1/2	0.590429
2s2.8p	2P*	1/2,3/2	0.591998
2s2.8d	2D	3/2	0.5941214
2s2.8d	2D	5/2	0.5941214
2s2.8f	2F*	5/2	0.5942134
2s2.8f	2F*	7/2	0.5942134
2s2.9s	2S	1/2	0.5947857
2s2.9p	2P*	1/2,3/2	0.595975
2s2.9d	2D	3/2,5/2	0.597442
2s2.9f	2F*	5/2,7/2	0.5975082
2s2.10s	2S	1/2	0.5978767
