ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1047.652"	"0.006"	"a"	"3.5e+06"	"1.2e-03"	D	"0.000000000"	"0.869818"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).4p"	"2P"	"3/2"		"u27"	"L3744"	
"1047.697"	"0.006"	"a"	"1.4e+07"	"2.3e-03"	D	"0.000000000"	"0.869781"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).4p"	"2P"	"1/2"		"u27"	"L3744"	
"1047.820"	"0.006"	"a"	"1.8e+07"	"2.9e-03"	D	"0.00013931"	"0.869818"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).4p"	"2P"	"3/2"		"u27"	"L3744"	
"1047.865"	"0.006"	"a"	"7.0e+06"	"5.8e-04"	D	"0.00013931"	"0.869781"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).4p"	"2P"	"1/2"		"u27"	"L3744"	
"1151.213"	"0.006"	"a"	"4.88e+07"	"1.94e-02"	C	"0.000000000"	"0.791571"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"		"u27"	"L3744"	
"1151.283"	"0.006"	"a"	"1.95e+08"	"3.88e-02"	C	"0.000000000"	"0.791523"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"		"u27"	"L3744"	
"1151.416"	"0.006"	"a"	"2.4e+08"	"4.8e-02"	C	"0.00013931"	"0.791571"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"		"u27"	"L3744"	
"1151.486"	"0.006"	"a"	"9.75e+07"	"9.69e-03"	C	"0.00013931"	"0.791523"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"		"u27"	"L3744"	
"1378.653"	"0.004"	"2"	"3.42e+08"	"1.95e-01"	C+	"0.000000000"	"0.6609835"	"2s2.2p"	"2P*"	"1/2"	"2s.2p2"	"2P"	"3/2"		"u27"	"L2166"	
"1378.875"	"0.004"	"3"	"1.37e+09"	"3.90e-01"	C+	"0.000000000"	"0.6608773"	"2s2.2p"	"2P*"	"1/2"	"2s.2p2"	"2P"	"1/2"		"u27"	"L2166"	
"1378.944"	"0.003"	"4"	"1.71e+09"	"4.87e-01"	C+	"0.00013931"	"0.6609835"	"2s2.2p"	"2P*"	"3/2"	"2s.2p2"	"2P"	"3/2"		"u27"	"L2166"	
"1379.166"	"0.004"	"1"	"6.84e+08"	"9.75e-02"	C+	"0.00013931"	"0.6608773"	"2s2.2p"	"2P*"	"3/2"	"2s.2p2"	"2P"	"1/2"		"u27"	"L2166"	
"1465.559"	"0.006"	"2"	"3.4e+08"	"2.2e-01"	D	"0.2610546+x"	"0.882843+x"	"2s.2p2"	"4P"	"1/2"	"2p3"	"4S*"	"3/2"		"u27"	"L3744"	
"1465.658"	"0.005"	"3"	"6.6e+08"	"2.1e-01"	D	"0.2610969+x"	"0.882843+x"	"2s.2p2"	"4P"	"3/2"	"2p3"	"4S*"	"3/2"		"u27"	"L3744"	
"1465.794"	"0.005"	"2"	"1.00e+09"	"2.1e-01"	D	"0.2611546+x"	"0.882843+x"	"2s.2p2"	"4P"	"5/2"	"2p3"	"4S*"	"3/2"		"u27"	"L3744"	
"1533.806"	"0.004"	"2"	"1.20e+07"	"8.46e-03"	C+	"0.000000000"	"0.5941214"	"2s2.2p"	"2P*"	"1/2"	"2s2.8d"	"2D"	"3/2"		"u27"	"L2166"	
"1534.166"	"0.004"	"2*"	"1.44e+07"	"7.62e-03"	C+	"0.00013931"	"0.5941214"	"2s2.2p"	"2P*"	"3/2"	"2s2.8d"	"2D"	"5/2"		"u27"	"L2166"	
"1534.166"	"0.004"	"2*"	"2.40e+06"	"8.46e-04"	C+	"0.00013931"	"0.5941214"	"2s2.2p"	"2P*"	"3/2"	"2s2.8d"	"2D"	"3/2"		"u27"	"L2166"	
"1543.398"	"0.004"	"a"	"2.81e+07"	"1.00e-02"	C	"0.000000000"	"0.5904290"	"2s2.2p"	"2P*"	"1/2"	"2s2.8s"	"2S"	"1/2"		"u27"	"L2166"	
"1543.763"	"0.004"	"a"	"5.62e+07"	"1.00e-02"	C	"0.00013931"	"0.5904290"	"2s2.2p"	"2P*"	"3/2"	"2s2.8s"	"2S"	"1/2"		"u27"	"L2166"	
"1546.423"	"0.004"	"4"	"1.78e+07"	"1.28e-02"	C+	"0.000000000"	"0.58927406"	"2s2.2p"	"2P*"	"1/2"	"2s2.7d"	"2D"	"3/2"		"u27"	"L2166"	
"1546.789"	"0.004"	"6*"	"2.14e+07"	"1.15e-02"	C+	"0.00013931"	"0.58927406"	"2s2.2p"	"2P*"	"3/2"	"2s2.7d"	"2D"	"5/2"		"u27"	"L2166"	
"1546.789"	"0.004"	"6*"	"3.56e+06"	"1.28e-03"	C+	"0.00013931"	"0.58927406"	"2s2.2p"	"2P*"	"3/2"	"2s2.7d"	"2D"	"3/2"		"u27"	"L2166"	
"1558.700"	"0.004"	"6"	"2.0e+07"	"7.4e-03"	C	"0.000000000"	"0.58463264"	"2s2.2p"	"2P*"	"1/2"	"2s2.7s"	"2S"	"1/2"		"u27"	"L2166"	
"1559.072"	"0.004"	"7"	"4.04e+07"	"7.35e-03"	C	"0.00013931"	"0.58463264"	"2s2.2p"	"2P*"	"3/2"	"2s2.7s"	"2S"	"1/2"		"u27"	"L2166"	
"1566.285"	"0.004"	"4"	"2.79e+07"	"2.06e-02"	C	"0.000000000"	"0.58180139"	"2s2.2p"	"2P*"	"1/2"	"2s2.6d"	"2D"	"3/2"		"u27"	"L2166"	
"1566.661"	"0.004"	"6*"	"3.35e+07"	"1.85e-02"	C	"0.00013931"	"0.58180139"	"2s2.2p"	"2P*"	"3/2"	"2s2.6d"	"2D"	"5/2"		"u27"	"L2166"	
"1566.661"	"0.004"	"6*"	"5.60e+06"	"2.06e-03"	C	"0.00013931"	"0.58180139"	"2s2.2p"	"2P*"	"3/2"	"2s2.6d"	"2D"	"3/2"		"u27"	"L2166"	
"1573.301"	"0.004"	"7"	"4.42e+07"	"1.64e-02"	C	"0.000000000"	"0.57920715"	"2s2.2p"	"2P*"	"1/2"	"2s.2p2"	"2S"	"1/2"		"u27"	"L2166"	
"1573.679"	"0.004"	"11"	"8.84e+07"	"1.64e-02"	C	"0.00013931"	"0.57920715"	"2s2.2p"	"2P*"	"3/2"	"2s.2p2"	"2S"	"1/2"		"u27"	"L2166"	
"1587.337"	"0.006"	"a"	"2.8e+07"	"1.1e-02"	D	"0.2610546+x"	"0.8351400+x"	"2s.2p2"	"4P"	"1/2"	"2s.2p.(3P*).3d"	"4P*"	"1/2"		"u27"	"L3744"	
"1587.381"	"0.006"	"a"	"7.0e+07"	"5.3e-02"	D	"0.2610546+x"	"0.8351239+x"	"2s.2p2"	"4P"	"1/2"	"2s.2p.(3P*).3d"	"4P*"	"3/2"		"u27"	"L3744"	
"1587.454"	"0.006"	"a"	"1.4e+08"	"2.6e-02"	D	"0.2610969+x"	"0.8351400+x"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).3d"	"4P*"	"1/2"		"u27"	"L3744"	
"1587.498"	"0.006"	"a"	"2.3e+07"	"8.6e-03"	D	"0.2610969+x"	"0.8351239+x"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).3d"	"4P*"	"3/2"		"u27"	"L3744"	
"1587.591"	"0.006"	"a"	"5.0e+07"	"2.8e-02"	D	"0.2610969+x"	"0.835091+x"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).3d"	"4P*"	"5/2"		"u27"	"L3744"	
