configuration	term	J	energy
1s2	1S		0.0
1s.2s	3S		8.71629
1s.2s	1S		8.94115
1s.2p	3P*	0	8.96109
1s.2p	3P*	1	8.96099
1s.2p	3P*	2	8.96113
1s.2p	1P*		9.08947
1s.3s	3S		10.21698
1s.3s	1S		10.2764
1s.3p	3P*		10.28183
1s.3d	3D		10.30992
1s.3d	1D		10.31064
1s.3p	1P*		10.3191
1s.4s	3S		10.71008
1s.4s	1S		10.73477
1s.4p	3P*		10.73631
1s.4d	3D		10.74795
1s.4d	1D		10.74835
1s.4f	1F*		10.74852
1s.4f	3F*		10.74853
1s.4p	1P*		10.7514
1s.5s	3S		10.93202
1s.5p	3P*		10.94486
1s.5d	3D		10.95071
1s.5f	3F*		10.95097
1s.5f	1F*		10.9511
1s.5d	1D		10.9516
1s.5p	1P*		10.9525
1s.6f	1F*		11.0611
1s.6f	3F*		11.0611
1s.6p	1P*		11.0622
1s.7f	3F*		11.1274
1s.7p	1P*		11.1278
