ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"81.891"	"0.010"	"5"	"2.8405e+09"	"8.5673e-03"	AAA	"0.00000"	"11.1278"	"1s2"	"1S"	"0"	"1s.7p"	"1P*"	"1"		"T8636c73"	"L1653"	
"82.377"	"0.010"	"10"	"4.5108e+09"	"1.3767e-02"	AAA	"0.00000"	"11.0622"	"1s2"	"1S"	"0"	"1s.6p"	"1P*"	"1"		"T8636c73"	"L1653"	
"83.202"	"0.010"	"20"	"7.7965e+09"	"2.4274e-02"	AAA	"0.00000"	"10.9525"	"1s2"	"1S"	"0"	"1s.5p"	"1P*"	"1"		"T8636c73"	"L1653"	
"83.209"	"0.010"	""	"2.9779e+05"	""	AAA	"0.00000"	"10.9516"	"1s2"	"1S"	"0"	"1s.5d"	"1D"	"2"	E2	"T7378"	""	
"83.260"	"0.010"	""	"4.82e+01"	""	A	"0.00000"	"10.94486"	"1s2"	"1S"	"0"	"1s.5p"	"3P*"	"2"	M2	"T5612"	""	
"84.758"	"0.010"	"30"	"1.5237e+10"	"4.9231e-02"	AAA	"0.00000"	"10.7514"	"1s2"	"1S"	"0"	"1s.4p"	"1P*"	"1"		"T8636c73"	"L1653"	
"84.782"	"0.010"	""	"5.2198e+05"	""	AAA	"0.00000"	"10.74835"	"1s2"	"1S"	"0"	"1s.4d"	"1D"	"2"	E2	"T7378"	""	
"84.877"	"0.010"	""	"9.27e+01"	""	A	"0.00000"	"10.73631"	"1s2"	"1S"	"0"	"1s.4p"	"3P*"	"2"	M2	"T5612"	""	
"88.309"	"0.010"	"50"	"3.6166e+10"	"1.2685e-01"	AAA	"0.00000"	"10.31910"	"1s2"	"1S"	"0"	"1s.3p"	"1P*"	"1"		"T8636c73"	"L1653"	
"88.381"	"0.010"	""	"9.2668e+05"	""	AAA	"0.00000"	"10.31064"	"1s2"	"1S"	"0"	"1s.3d"	"1D"	"2"	E2	"T7378"	""	
"88.629"	"0.010"	""	"2.15e+02"	""	A	"0.00000"	"10.28183"	"1s2"	"1S"	"0"	"1s.3p"	"3P*"	"2"	M2	"T5612"	""	
"100.255"	"0.010"	"100"	"1.2203e+11"	"5.5158e-01"	AAA	"0.00000"	"9.08947"	"1s2"	"1S"	"0"	"1s.2p"	"1P*"	"1"		"T8636c73"	"L1653"	
"101.691"	"0.010"	""	"6.17e+02"	""	A	"0.00000"	"8.96113"	"1s2"	"1S"	"0"	"1s.2p"	"3P*"	"2"	M2	"T1494"	""	
"104.548"	"0.010"	""	"5.618e-01"	""	AA	"0.00000"	"8.71629"	"1s2"	"1S"	"0"	"1s.2s"	"3S"	"1"	M1	"T1896"	""	
"408.90"	"0.10"	""	"4.1143e+08"	"1.7189e-02"	AAA	"8.71629"	"10.94486"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"2"		"T8636c73"	""	
"408.90"	"0.10"	""	"4.1143e+08"	"1.0313e-02"	AAA	"8.71629"	"10.94486"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"1"		"T8636c73"	""	
"408.90"	"0.10"	""	"4.1143e+08"	"3.4377e-03"	AAA	"8.71629"	"10.94486"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"0"		"T8636c73"	""	
"416.74"	"0.10"	""	"1.4046e+08"	"1.0971e-02"	AAA	"8.94115"	"11.1278"	"1s.2s"	"1S"	"0"	"1s.7p"	"1P*"	"1"		"T8636c73"	""	
"429.64"	"0.10"	""	"2.2171e+08"	"1.8407e-02"	AAA	"8.94115"	"11.0622"	"1s.2s"	"1S"	"0"	"1s.6p"	"1P*"	"1"		"T8636c73"	""	
"451.12"	"0.10"	""	"7.8092e+08"	"3.9709e-02"	AAA	"8.71629"	"10.73631"	"1s.2s"	"3S"	"1"	"1s.4p"	"3P*"	"2"		"T8636c73"	""	
"451.12"	"0.10"	""	"7.8090e+08"	"2.3825e-02"	AAA	"8.71629"	"10.73631"	"1s.2s"	"3S"	"1"	"1s.4p"	"3P*"	"1"		"T8636c73"	""	
"451.12"	"0.10"	""	"7.8092e+08"	"7.9418e-03"	AAA	"8.71629"	"10.73631"	"1s.2s"	"3S"	"1"	"1s.4p"	"3P*"	"0"		"T8636c73"	""	
"453.07"	"0.10"	""	"3.7883e+08"	"3.4975e-02"	AAA	"8.94115"	"10.9525"	"1s.2s"	"1S"	"0"	"1s.5p"	"1P*"	"1"		"T8636c73"	""	
"453.26"	"0.10"	""	"1.8354e+03"	""	AAA	"8.94115"	"10.9516"	"1s.2s"	"1S"	"0"	"1s.5d"	"1D"	"2"	E2	"T7378"	""	
"457.99"	"0.10"	""	"6.6443e+08"	"3.4822e-02"	AAA	"8.96099"	"10.95071"	"1s.2p"	"3P*"	"1"	"1s.5d"	"3D"	"2"		"T8636c73"	""	
"457.99"	"0.10"	""	"3.6925e+08"	"1.1611e-02"	AAA	"8.96099"	"10.95071"	"1s.2p"	"3P*"	"1"	"1s.5d"	"3D"	"1"		"T8636c73"	""	
"458.01"	"0.10"	""	"4.9233e+08"	"4.6450e-02"	AAA	"8.96109"	"10.95071"	"1s.2p"	"3P*"	"0"	"1s.5d"	"3D"	"1"		"T8636c73"	""	
"458.02"	"0.10"	""	"2.4616e+07"	"4.6450e-04"	AAA	"8.96113"	"10.95071"	"1s.2p"	"3P*"	"2"	"1s.5d"	"3D"	"1"		"T8636c73"	""	
"458.02"	"0.10"	""	"8.8617e+08"	"3.9018e-02"	AAA	"8.96113"	"10.95071"	"1s.2p"	"3P*"	"2"	"1s.5d"	"3D"	"3"		"T8636c73"	""	
"458.02"	"0.10"	""	"2.2146e+08"	"6.9649e-03"	AAA	"8.96113"	"10.95071"	"1s.2p"	"3P*"	"2"	"1s.5d"	"3D"	"2"		"T8636c73"	""	
