Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"1s2.2s"	"2S"	"1/2"	" 0.00000000"	"0.000003"	" 100                                           "	"L12158"
"1s2.2p"	"2P*"	"1/2"	" 0.29095612"	"0.000003"	" 100                                           "	"L12158"
"1s2.2p"	"2P*"	"3/2"	" 0.29101605"	"0.000003"	" 100                                           "	"L12158"
"1s2.3s"	"2S"	"1/2"	" 0.80402837"	"-"	" 100                                           "	"L12158"
"1s2.3p"	"2P*"	"1/2"	" 0.87933042"	"0.00000013"	" 100                                           "	"L12158"
"1s2.3p"	"2P*"	"3/2"	" 0.87934799"	"0.00000013"	" 100                                           "	"L12158"
"1s2.3d"	"2D"	"3/2"	" 0.8935390"	"0.0000009"	" 100                                           "	"L12158"
"1s2.3d"	"2D"	"5/2"	" 0.8935438"	"0.0000009"	" 100                                           "	"L12158"
"1s2.4s"	"2S"	"1/2"	" 1.0521894"	"0.0000006"	" 100                                           "	"L12158"
"1s2.4p"	"2P*"	"1/2"	" 1.0822254"	"0.0000008"	" 100                                           "	"L12158"
"1s2.4p"	"2P*"	"3/2"	" 1.0822328"	"0.0000008"	" 100                                           "	"L12158"
"1s2.4d"	"2D"	"3/2"	" 1.0882460"	"0.0000005"	" 100                                           "	"L12158"
"1s2.4d"	"2D"	"5/2"	" 1.0882482"	"0.0000005"	" 100                                           "	"L12158"
"1s2.4f"	"2F*"	"5/2"	" 1.0884774"	"0.0000011"	" 100                                           "	"L12158"
"1s2.4f"	"2F*"	"7/2"	" 1.0884786"	"0.0000011"	" 100                                           "	"L12158"
"1s2.5s"	"2S"	"1/2"	" 1.1603630"	"0.0000008"	" 100                                           "	"L12158"
"1s2.5p"	"2P*"	"1/2"	" 1.1752759"	"0.0000007"	" 100                                           "	"L12158"
"1s2.5p"	"2P*"	"3/2"	" 1.1752798"	"0.0000007"	" 100                                           "	"L12158"
"1s2.5d"	"2D"	"3/2"	" 1.1783606"	"0.0000008"	" 100                                           "	"L12158"
"1s2.5d"	"2D"	"5/2"	" 1.1783617"	"0.0000008"	" 100                                           "	"L12158"
"1s2.5f"	"2F*"	"5/2"	" 1.1784856"	"0.0000005"	" 100                                           "	"L12158"
"1s2.5f"	"2F*"	"7/2"	" 1.1784863"	"0.0000005"	" 100                                           "	"L12158"
"1s2.5g"	"2G"	"9/2"	" 1.1785003"	"0.0000013"	" 100                                           "	"L12158"
"1s2.5g"	"2G"	"7/2"	" 1.1785003"	"0.0000013"	" 100                                           "	"L12158"
"1s2.6s"	"2S"	"1/2"	" 1.2170558"	"0.0000009"	" 100                                           "	"L12158"
"1s2.6p"	"2P*"	"1/2"	" 1.2255209"	"0.0000011"	" 100                                           "	"L12158"
"1s2.6p"	"2P*"	"3/2"	" 1.2255231"	"0.0000011"	" 100                                           "	"L12158"
"1s2.6d"	"2D"	"5/2"	" 1.2273049"	"0.0000009"	" 100                                           "	"L12158"
"1s2.6d"	"2D"	"3/2"	" 1.2273049"	"0.0000009"	" 100                                           "	"L12158"
"1s2.6f"	"2F*"	"5/2"	" 1.2273783"	"0.0000011"	" 100                                           "	"L12158"
"1s2.6f"	"2F*"	"7/2"	" 1.2273786"	"0.0000011"	" 100                                           "	"L12158"
"1s2.6g"	"2G"	"9/2"	" 1.2273870"	"0.0000018"	" 100                                           "	"L12158"
"1s2.6g"	"2G"	"7/2"	" 1.2273870"	"0.0000018"	" 100                                           "	"L12158"
"1s2.6h"	"2H*"	"11/2"	"[1.2273897]"	"0.0000011"	" 100                                           "	"L12158"
"1s2.6h"	"2H*"	"9/2"	"[1.2273897]"	"0.0000011"	" 100                                           "	"L12158"
"1s2.7s"	"2S"	"1/2"	"[1.2504295]"	"0.0000011"	" 100                                           "	"L12158"
"1s2.7p"	"2P*"	"1/2"	"[1.2556893]"	"0.0000011"	" 100                                           "	"L12158"
"1s2.7p"	"2P*"	"3/2"	"[1.2556906]"	"0.0000011"	" 100                                           "	"L12158"
"1s2.7d"	"2D"	"5/2"	" 1.2568120"	"0.0000008"	" 100                                           "	"L12158"
"1s2.7d"	"2D"	"3/2"	" 1.2568120"	"0.0000008"	" 100                                           "	"L12158"
"1s2.7f"	"2F*"	"7/2"	" 1.2568588"	"0.0000018"	" 100                                           "	"L12158"
"1s2.7f"	"2F*"	"5/2"	" 1.2568588"	"0.0000018"	" 100                                           "	"L12158"
"1s2.7g"	"2G"	"9/2"	" 1.2568661"	"0.0000018"	" 100                                           "	"L12158"
"1s2.7g"	"2G"	"7/2"	" 1.2568661"	"0.0000018"	" 100                                           "	"L12158"
"1s2.7h"	"2H*"	"11/2"	" 1.2568663"	"0.0000018"	" 100                                           "	"L12158"
"1s2.7h"	"2H*"	"9/2"	" 1.2568663"	"0.0000018"	" 100                                           "	"L12158"
"1s2.8s"	"2S"	"1/2"	"[1.2717202]"	"0.0000011"	" 100                                           "	"L12158"
"1s2.8p"	"2P*"	"1/2"	"[1.2752096]"	"0.0000018"	" 100                                           "	"L12158"
"1s2.8p"	"2P*"	"3/2"	"[1.2752105]"	"0.0000018"	" 100                                           "	"L12158"
"1s2.8d"	"2D"	"5/2"	"[1.2759614]"	"0.0000007"	" 100                                           "	"L12158"
"1s2.8d"	"2D"	"3/2"	"[1.2759614]"	"0.0000007"	" 100                                           "	"L12158"
"1s2.8f"	"2F*"	"7/2"	"[1.2759937]"	"0.0000007"	" 100                                           "	"L12158"
"1s2.8f"	"2F*"	"5/2"	"[1.2759937]"	"0.0000007"	" 100                                           "	"L12158"
"1s2.8g"	"2G"	"9/2"	" 1.2759979"	"0.000003"	" 100                                           "	"L12158"
"1s2.8g"	"2G"	"7/2"	" 1.2759979"	"0.000003"	" 100                                           "	"L12158"
"1s2.8h"	"2H*"	"11/2"	" 1.2759990"	"0.0000018"	" 100                                           "	"L12158"
"1s2.8h"	"2H*"	"9/2"	" 1.2759990"	"0.0000018"	" 100                                           "	"L12158"
"1s2.9s"	"2S"	"1/2"	"[1.2861286]"	"0.0000011"	" 100                                           "	"L12158"
"1s2.9p"	"2P*"	"1/2"	"[1.2885611]"	"0.0000011"	" 100                                           "	"L12158"
"1s2.9p"	"2P*"	"3/2"	"[1.2885618]"	"0.0000011"	" 100                                           "	"L12158"
