Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Reference
"1s2.2s2"	"1S"	"0"	" 0.000000000"	"0.000000009"	"L9172"
"1s2.2s.2p"	"3P*"	"0"	" 0.2002811"	"0.0000007"	"L9172"
"1s2.2s.2p"	"3P*"	"1"	" 0.20028670"	"0.00000009"	"L9172"
"1s2.2s.2p"	"3P*"	"2"	" 0.2003080"	"0.0000006"	"L9172"
"1s2.2s.2p"	"1P*"	"1"	" 0.387884923"	"0.000000009"	"L20591"
"1s2.2s.3s"	"3S"	"1"	" 0.47459647"	"0.0000005"	"L9172"
"1s2.2s.3s"	"1S"	"0"	" 0.49825667"	"0.00000019"	"L9172"
"1s2.2p2"	"1D"	"2"	" 0.518351912"	"0.00000019"	"L9172"
"1s2.2s.3p"	"3P*"	"0"	" 0.53680438"	"0.0000005"	"L9172"
"1s2.2s.3p"	"3P*"	"1"	" 0.53680438"	"0.0000005"	"L9172"
"1s2.2s.3p"	"3P*"	"2"	" 0.53680773"	"0.0000005"	"L9172"
"1s2.2p2"	"3P"	"0"	" 0.5439681"	"0.0000007"	"L9172"
"1s2.2p2"	"3P"	"1"	" 0.5439808"	"0.0000005"	"L9172"
"1s2.2p2"	"3P"	"2"	" 0.5439989"	"0.0000006"	"L9172"
"1s2.2s.3p"	"1P*"	"1"	" 0.548468340"	"0.00000019"	"L9172"
"1s2.2s.3d"	"3D"	"1"	" 0.565475273"	"0.0000005"	"L9172"
"1s2.2s.3d"	"3D"	"2"	" 0.56547530"	"0.0000005"	"L9172"
"1s2.2s.3d"	"3D"	"3"	" 0.56547530"	"0.0000005"	"L9172"
"1s2.2s.3d"	"1D"	"2"	" 0.587114810"	"0.000000005"	"L21345"
"1s2.2s.4s"	"3S"	"1"	" 0.58782633"	"0.0000005"	"L9172"
"1s2.2s.4s"	"1S"	"0"	" 0.59456017"	"0.00000019"	"L9172"
"1s2.2s.4p"	"3P*"	"0"	" 0.6088347"	"0.0000013"	"L9172"
"1s2.2s.4p"	"3P*"	"1"	" 0.6088347"	"0.0000008"	"L9172"
"1s2.2s.4p"	"3P*"	"2"	" 0.6088347"	"0.0000007"	"L9172"
"1s2.2s.4p"	"1P*"	"1"	" 0.6108660"	"0.0000003"	"L9172"
"1s2.2s.4d"	"3D"	"1"	" 0.6191297"	"0.0000007"	"L9172"
"1s2.2s.4d"	"3D"	"2"	" 0.6191299"	"0.0000006"	"L9172"
"1s2.2s.4d"	"3D"	"3"	" 0.6191301"	"0.0000006"	"L9172"
"1s2.2s.4f"	"3F*"	"4"	" 0.6218581"	"0.000003"	"L9172"
"1s2.2s.4f"	"3F*"	"2"	" 0.62185812"	"0.0000005"	"L9172"
"1s2.2s.4f"	"3F*"	"3"	" 0.62185815"	"0.0000005"	"L9172"
"1s2.2s.4f"	"1F*"	"3"	" 0.6218605"	"0.0000003"	"L9172"
"1s2.2s.4d"	"1D"	"2"	" 0.6267782"	"0.0000006"	"L9172"
"1s2.2s.5s"	"3S"	"1"	" 0.6288670"	"0.0000005"	"L9172"
"1s2.2s.5s"	"1S"	"0"	" 0.6317113"	"0.0000006"	"L9172"
"1s2.2s.5p"	"3P*"	"0"	"[0.6384829]"	"0.0000009"	"L9172"
"1s2.2s.5p"	"3P*"	"1"	"[0.6384829]"	"0.0000013"	"L9172"
