configuration	term	J	energy
1s2.2s2	1S	0	0.0
1s2.2s.2p	3P*	0	0.2002811
1s2.2s.2p	3P*	1	0.2002867
1s2.2s.2p	3P*	2	0.200308
1s2.2s.2p	1P*	1	0.387884923
1s2.2s.3s	3S	1	0.47459647
1s2.2s.3s	1S	0	0.49825667
1s2.2p2	1D	2	0.518351912
1s2.2s.3p	3P*	0	0.53680438
1s2.2s.3p	3P*	1	0.53680438
1s2.2s.3p	3P*	2	0.53680773
1s2.2p2	3P	0	0.5439681
1s2.2p2	3P	1	0.5439808
1s2.2p2	3P	2	0.5439989
1s2.2s.3p	1P*	1	0.54846834
1s2.2s.3d	3D	1	0.565475273
1s2.2s.3d	3D	2	0.5654753
1s2.2s.3d	3D	3	0.5654753
1s2.2s.3d	1D	2	0.58711481
1s2.2s.4s	3S	1	0.58782633
1s2.2s.4s	1S	0	0.59456017
1s2.2s.4p	3P*	0	0.6088347
1s2.2s.4p	3P*	1	0.6088347
1s2.2s.4p	3P*	2	0.6088347
1s2.2s.4p	1P*	1	0.610866
1s2.2s.4d	3D	1	0.6191297
1s2.2s.4d	3D	2	0.6191299
1s2.2s.4d	3D	3	0.6191301
1s2.2s.4f	3F*	4	0.6218581
1s2.2s.4f	3F*	2	0.62185812
1s2.2s.4f	3F*	3	0.62185815
1s2.2s.4f	1F*	3	0.6218605
1s2.2s.4d	1D	2	0.6267782
1s2.2s.5s	3S	1	0.628867
1s2.2s.5s	1S	0	0.6317113
1s2.2s.5p	3P*	0	0.6384829
1s2.2s.5p	3P*	1	0.6384829
1s2.2s.5p	3P*	2	0.6384829
1s2.2s.5p	1P*	1	0.6389858
1s2.2s.5d	3D	3	0.6433885
1s2.2s.5d	3D	1	0.6433888
1s2.2s.5d	3D	2	0.6433888
1s2.2s.5f	3F*	4	0.644719
1s2.2s.5f	3F*	2	0.64471908
1s2.2s.5f	3F*	3	0.64471911
1s2.2s.5f	1F*	3	0.6447216
1s2.2s.5d	1D	2	0.64702153
1s2.2s.6s	3S	1	0.64846232
1s2.2s.6s	1S	0	0.6499271
1s2.2s.6p	3P*	0	0.6536577
1s2.2s.6p	3P*	1	0.6536579
1s2.2s.6p	3P*	2	0.6536579
1s2.2s.6p	1P*	1	0.6537992
1s2.2s.6d	3D	1	0.656381
1s2.2s.6d	3D	2	0.6563811
1s2.2s.6d	3D	3	0.6563812
1s2.2s.6f	3F*	2	0.657129
1s2.2s.6f	3F*	3	0.657129
1s2.2s.6f	3F*	4	0.657129
1s2.2s.6f	1F*	3	0.6571306
1s2.2s.6d	1D	2	0.6584016
1s2.2s.7s	3S	1	0.659345
1s2.2s.7s	1S	0	0.6601982
