ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1356.679"	"0.009"	"a"	"3.71e+05"	"3.07e-04"	C	"0.000000000"	"[0.671689]"	"1s2.2s2"	"1S"	"0"	"1s2.2s.9p"	"1P*"	"1"		"u28"	"L1790"	
"1364.0860"	"0.0013"	""	"5.6e+04"	"4.7e-05"	D	"0.000000000"	"0.6680422"	"1s2.2s2"	"1S"	"0"	"1s2.2s.8p"	"3P*"	"1"		"u28"	""	
"1364.076"	"0.009"	"a"	"4.28e+05"	"3.58e-04"	C	"0.000000000"	"[0.668047]"	"1s2.2s2"	"1S"	"0"	"1s2.2s.8p"	"1P*"	"1"		"u28"	"L1790"	
"1375.482"	"0.009"	"a"	"6.30e+05"	"5.37e-04"	C	"0.000000000"	"[0.662508]"	"1s2.2s2"	"1S"	"0"	"1s2.2s.7p"	"1P*"	"1"		"u28"	"L1790"	
"1393.8026"	"0.0012"	"a"	"7.76e+05"	"6.78e-04"	C	"0.000000000"	"0.6537992"	"1s2.2s2"	"1S"	"0"	"1s2.2s.6p"	"1P*"	"1"		"u28"	"L1790"	
"1426.1146"	"0.0006"	"4"	"7.57e+05"	"6.92e-04"	C	"0.000000000"	"0.6389858"	"1s2.2s2"	"1S"	"0"	"1s2.2s.5p"	"1P*"	"1"		"u28"	"L4743"	
"1491.7625"	"0.0007"	"8"	"1.2e+05"	"1.2e-04"	D	"0.000000000"	"0.6108660"	"1s2.2s2"	"1S"	"0"	"1s2.2s.4p"	"1P*"	"1"		"u28"	"L4743"	
"1661.4761"	"0.0006"	"30"	"7.23e+06"	"8.98e-03"	A	"0.000000000"	"0.548468340"	"1s2.2s2"	"1S"	"0"	"1s2.2s.3p"	"1P*"	"1"		"T7096c74"	"L4743"	
"1697.5775"	"0.0017"	""	"4.4e-01"	"5.7e-10"	D	"0.000000000"	"0.53680438"	"1s2.2s2"	"1S"	"0"	"1s2.2s.3p"	"3P*"	"1"		"T7096c74"	""	
"1929.65"	"0.09"	"7*"	"5.12e+06"	"4.76e-03"	B	"0.20028670"	"0.672531"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.9d"	"3D"	"2"		"u28"	"L7412"	
"1929.66"	"0.11"	"7*"	"3.79e+06"	"6.34e-03"	B	"0.2002811"	"0.67252"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.9d"	"3D"	"1"		"u28"	"L7412"	
"1929.67"	"0.07"	"7*"	"6.81e+06"	"5.32e-03"	B	"0.2003080"	"0.672548"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.9d"	"3D"	"3"		"u28"	"L7412"	
"1929.68"	"0.11"	"7*"	"2.85e+06"	"1.59e-03"	B	"0.20028670"	"0.67252"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.9d"	"3D"	"1"		"u28"	"L7412"	
"1929.74"	"0.09"	"7*"	"1.71e+06"	"9.54e-04"	B	"0.2003080"	"0.672531"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.9d"	"3D"	"2"		"u28"	"L7412"	
"1929.77"	"0.11"	"7*"	"1.90e+05"	"6.36e-05"	B	"0.2003080"	"0.67252"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.9d"	"3D"	"1"		"u28"	"L7412"	
"1943.592"	"0.006"	"11*"	"5.43e+06"	"9.22e-03"	B	"0.2002811"	"0.6691382"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.8d"	"3D"	"1"		"u28"	"L7412"	
"1943.616"	"0.006"	"11*"	"4.07e+06"	"2.31e-03"	B	"0.20028670"	"0.6691382"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.8d"	"3D"	"1"		"u28"	"L7412"	
"1943.616"	"0.005"	"11*"	"7.34e+06"	"6.93e-03"	B	"0.20028670"	"0.6691381"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.8d"	"3D"	"2"		"u28"	"L7412"	
"1943.704"	"0.006"	"11*"	"2.71e+05"	"9.22e-05"	B	"0.2003080"	"0.6691382"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.8d"	"3D"	"1"		"u28"	"L7412"	
"1943.704"	"0.005"	"11*"	"2.44e+06"	"1.38e-03"	B	"0.2003080"	"0.6691381"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.8d"	"3D"	"2"		"u28"	"L7412"	
"1943.707"	"0.005"	"11*"	"9.78e+06"	"7.75e-03"	B	"0.2003080"	"0.6691374"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.8d"	"3D"	"3"		"u28"	"L7412"	
"1956.56"	"0.05"	"2*"	"3.98e+05"	"6.85e-04"	C	"0.2002811"	"0.666031"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.8s"	"3S"	"1"		"u28"	"L7412"	
"1956.58"	"0.05"	"2*"	"1.19e+06"	"6.83e-04"	C	"0.20028670"	"0.666031"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.8s"	"3S"	"1"		"u28"	"L7412"	
"1956.67"	"0.05"	"2*"	"1.99e+06"	"6.86e-04"	C	"0.2003080"	"0.666031"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.8s"	"3S"	"1"		"u28"	"L7412"	
"1964.532"	"0.006"	"19*"	"8.15e+06"	"1.41e-02"	B	"0.2002811"	"0.6641408"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.7d"	"3D"	"1"		"u28"	"L7412"	
"1964.555"	"0.006"	"19*"	"6.12e+06"	"3.54e-03"	B	"0.20028670"	"0.6641408"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.7d"	"3D"	"1"		"u28"	"L7412"	
"1964.556"	"0.005"	"19*"	"1.10e+07"	"1.06e-02"	B	"0.20028670"	"0.6641406"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.7d"	"3D"	"2"		"u28"	"L7412"	
"1964.645"	"0.006"	"19*"	"4.08e+05"	"1.42e-04"	B	"0.2003080"	"0.6641408"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.7d"	"3D"	"1"		"u28"	"L7412"	
"1964.646"	"0.005"	"19*"	"3.67e+06"	"2.12e-03"	B	"0.2003080"	"0.6641406"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.7d"	"3D"	"2"		"u28"	"L7412"	
"1964.650"	"0.005"	"19*"	"1.47e+07"	"1.19e-02"	B	"0.2003080"	"0.6641398"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.7d"	"3D"	"3"		"u28"	"L7412"	
"1985.06"	"0.05"	"7*"	"6.2e+05"	"1.1e-03"	C	"0.2002811"	"0.659345"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.7s"	"3S"	"1"		"u28"	"L7412"	
"1985.08"	"0.05"	"7*"	"1.86e+06"	"1.10e-03"	C	"0.20028670"	"0.659345"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.7s"	"3S"	"1"		"u28"	"L7412"	
"1985.17"	"0.05"	"7*"	"3.12e+06"	"1.10e-03"	C	"0.2003080"	"0.659345"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.7s"	"3S"	"1"		"u28"	"L7412"	
