ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"270.324"	""	"2.36e+08"	"7.76e-03"	C+	"0.0000000"	"3.37101"	"1s2.2s2"	"1S"	"0"	"1s2.2s.8p"	"1P*"	"1"		"T5633"	""	
"274.051"	""	"3.35e+08"	"1.13e-02"	B	"0.0000000"	"3.32518"	"1s2.2s2"	"1S"	"0"	"1s2.2s.7p"	"1P*"	"1"		"T5633"	""	
"280.026"	""	"4.67e+08"	"1.65e-02"	B	"0.0000000"	"3.2542228"	"1s2.2s2"	"1S"	"0"	"1s2.2s.6p"	"1P*"	"1"		"T5633"	""	
"288.423"	""	"8.73e+07"	"3.27e-03"	C	"0.0000000"	"3.1594789"	"1s2.2s2"	"1S"	"0"	"1s2.2p.(2P*).3d"	"1P*"	"1"		"T5633"	""	
"291.326"	""	"1.18e+09"	"4.50e-02"	B	"0.0000000"	"3.1279973"	"1s2.2s2"	"1S"	"0"	"1s2.2s.5p"	"1P*"	"1"		"T5633"	""	
"310.170"	""	"6.56e+08"	"2.84e-02"	B	"0.0000000"	"2.9379632"	"1s2.2s2"	"1S"	"0"	"1s2.2s.4p"	"1P*"	"1"		"T5633"	""	
"314.335"	""	"2.31e+08"	"1.03e-02"	B	"0.4772038"	"3.37624"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.8d"	"3D"	"1"		"T5633LS"	""	
"314.358"	""	"3.11e+08"	"7.68e-03"	B	"0.4774196"	"3.37624"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.8d"	"3D"	"2"		"T5633LS"	""	
"314.358"	""	"1.73e+08"	"2.56e-03"	C+	"0.4774196"	"3.37624"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.8d"	"3D"	"1"		"T5633LS"	""	
"314.414"	""	"4.15e+08"	"8.61e-03"	B	"0.4779332"	"3.37624"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.8d"	"3D"	"3"		"T5633LS"	""	
"314.414"	""	"1.04e+08"	"1.54e-03"	C+	"0.4779332"	"3.37624"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.8d"	"3D"	"2"		"T5633LS"	""	
"314.414"	""	"1.15e+07"	"1.02e-04"	D	"0.4779332"	"3.37624"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.8d"	"3D"	"1"		"T5633LS"	""	
"319.213"	""	"3.48e+08"	"1.59e-02"	B	"0.4772038"	"3.33194"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.7d"	"3D"	"1"		"T5633LS"	""	
"319.237"	""	"4.70e+08"	"1.20e-02"	B	"0.4774196"	"3.33194"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.7d"	"3D"	"2"		"T5633LS"	""	
"319.237"	""	"2.61e+08"	"3.99e-03"	B	"0.4774196"	"3.33194"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.7d"	"3D"	"1"		"T5633LS"	""	
"319.294"	""	"6.26e+08"	"1.34e-02"	B	"0.4779332"	"3.33194"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.7d"	"3D"	"3"		"T5633LS"	""	
"319.294"	""	"1.56e+08"	"2.38e-03"	B	"0.4779332"	"3.33194"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.7d"	"3D"	"2"		"T5633LS"	""	
"319.294"	""	"1.74e+07"	"1.60e-04"	D	"0.4779332"	"3.33194"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.7d"	"3D"	"1"		"T5633LS"	""	
