configuration	term	J	energy
1s2	1S		0.0
1s.2s	3S		21.97312
1s.2s	1S		22.371838
1s.2p	3P*	0	22.373154
1s.2p	3P*	1	22.37304
1s.2p	3P*	2	22.374278
1s.2p	1P*		22.630158
1s.3s	3S		25.8761
1s.3s	1S		25.9819
1s.3p	3P*		25.98413
1s.3d	3D		26.03774
1s.3d	1D		26.039732
1s.3p	1P*		26.056484
1s.4s	3S		27.188062
1s.4s	1S		27.230903
1s.4p	3P*		27.23201
1s.4d	3D		27.25407
1s.4f	1F*		27.255296
1s.4f	3F*		27.255299
1s.4d	1D		27.255355
1s.4p	1P*		27.262034
1s.5s	3S		27.783919
1s.5s	1S		27.805313
1s.5p	3P*		27.80594
1s.5d	3D		27.81726
1s.5f	3F*		27.817824
1s.5f	1F*		27.817824
1s.5g	3G		27.817879
1s.5g	1G		27.817879
1s.5d	1D		27.81797
1s.5p	1P*		27.82138
1s.6s	3S		28.104021
1s.6p	3P*		28.11662
1s.6d	3D		28.12299
1s.6f	3F*		28.123396
1s.6f	1F*		28.123396
1s.6d	1D		28.12342
1s.6g	3G		28.123429
1s.6g	1G		28.123429
1s.6h	3H*		28.12344
1s.6h	1H*		28.12344
1s.6p	1P*		28.1257
1s.7s	3S		28.29544
1s.7p	3P*		28.30343
1s.7d	3D		28.30743
1s.7d	1D		28.30766
1s.7g	1G		28.307667
1s.7g	3G		28.307667
1s.7h	3H*		28.307674
1s.7h	1H*		28.307674
1s.7i	1I		28.307678
1s.7i	3I		28.307678
1s.7p	1P*		28.30888
1s.8s	3S		28.41909
1s.8p	3P*		28.424468
1s.8d	3D		28.427161
1s.8d	1D		28.4272
1s.8p	1P*		28.42806
