ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"438.774"	""	"2.23e+07"	"1.29e-03"	C+	"0.0000000"	"2.0768479"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).5p"	"2P"	"3/2"		"T5109LS"	""	
"438.825"	""	"8.90e+07"	"2.57e-03"	C+	"0.0000000"	"2.0766064"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).5p"	"2P"	"1/2"		"T5109LS"	""	
"438.896"	""	"1.11e+08"	"3.21e-03"	B	"0.0005779"	"2.0768479"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).5p"	"2P"	"3/2"		"T5109LS"	""	
"438.947"	""	"4.45e+07"	"6.43e-04"	C+	"0.0005779"	"2.0766064"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).5p"	"2P"	"1/2"		"T5109LS"	""	
"466.353"	""	"4.54e+07"	"2.96e-03"	C+	"0.0000000"	"1.9540295"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).4p"	"2P"	"3/2"		"T5109LS"	""	
"466.408"	""	"1.82e+08"	"5.94e-03"	B	"0.0000000"	"1.9537960"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).4p"	"2P"	"1/2"		"T5109LS"	""	
"466.491"	""	"2.27e+08"	"7.41e-03"	B	"0.0005779"	"1.9540295"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).4p"	"2P"	"3/2"		"T5109LS"	""	
"466.546"	""	"9.08e+07"	"1.48e-03"	C+	"0.0005779"	"1.9537960"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).4p"	"2P"	"1/2"		"T5109LS"	""	
"524.342"	""	"2.26e+07"	"1.40e-03"	C+	"0.392075"	"2.130002"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).6s"	"4P*"	"5/2"		"T5109LS"	""	
"524.411"	""	"3.14e+07"	"2.59e-03"	C+	"0.391875"	"2.129570"	"2s.2p2"	"4P"	"1/2"	"2s.2p.(3P*).6s"	"4P*"	"3/2"		"T5109LS"	""	
"524.419"	""	"5.28e+07"	"2.18e-03"	B	"0.392333"	"2.130002"	"2s.2p2"	"4P"	"5/2"	"2s.2p.(3P*).6s"	"4P*"	"5/2"		"T5109LS"	""	
"524.472"	""	"1.00e+07"	"4.12e-04"	C	"0.392075"	"2.129570"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).6s"	"4P*"	"3/2"		"T5109LS"	""	
"524.473"	""	"1.26e+07"	"5.20e-04"	C	"0.391875"	"2.129366"	"2s.2p2"	"4P"	"1/2"	"2s.2p.(3P*).6s"	"4P*"	"1/2"		"T5109LS"	""	
"524.533"	""	"6.28e+07"	"1.30e-03"	C+	"0.392075"	"2.129366"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).6s"	"4P*"	"1/2"		"T5109LS"	""	
