Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"2s2.2p2"	"3P"	"0"	" 0.000000000000"	"0.000000012"	""	"  98                                                "	"L20057"
"2s2.2p2"	"3P"	"1"	" 0.000149600096"	"0.000000012"	"1.5010623(50)"	"  98                                                "	"L20057,L3172"
"2s2.2p2"	"3P"	"2"	" 0.000395612526"	"0.000000012"	"1.5010469(50)"	"  98                                                "	"L20057,L3172"
"2s2.2p2"	"1D"	"2"	" 0.09288232"	"0.00000003"	""	"  98                                                "	"L20057"
"2s2.2p2"	"1S"	"0"	" 0.19727136"	"0.00000003"	""	"  94         :     4  2p4                   1S      "	"L20057"
"2s.2p3"	"5S*"	"2"	" 0.30741704"	"0.00000016"	""	" 100                                                "	"L20057"
"2s2.2p.3s"	"3P*"	"0"	" 0.549798828"	"0.000000005"	""	"  96                                                "	"L20057"
"2s2.2p.3s"	"3P*"	"1"	" 0.549973890"	"0.000000003"	""	"  96                                                "	"L20057"
"2s2.2p.3s"	"3P*"	"2"	" 0.550343053"	"0.000000004"	""	"  96                                                "	"L20057"
"2s2.2p.3s"	"1P*"	"1"	" 0.5648200134"	"0.000000004"	"0.97"	"  97                                                "	"L20057,L292"
"2s.2p3"	"3D*"	"3"	" 0.5840034378"	"0.0000000009"	""	"  96                                                "	"L20057"
"2s.2p3"	"3D*"	"1"	" 0.584030132"	"0.000000005"	""	"  96                                                "	"L20057"
"2s.2p3"	"3D*"	"2"	" 0.5840401062"	"0.000000003"	""	"  96                                                "	"L20057"
"2s2.2p.3p"	"1P"	"1"	" 0.6274652487"	"0.000000004"	""	"  97                                                "	"L20057"
"2s2.2p.3p"	"3D"	"1"	" 0.6350573959"	"0.0000000020"	""	"  98                                                "	"L20057"
"2s2.2p.3p"	"3D"	"2"	" 0.6352505239"	"0.0000000016"	""	"  98                                                "	"L20057"
"2s2.2p.3p"	"3D"	"3"	" 0.6355545668"	"0.0000000013"	""	"  98                                                "	"L20057"
"2s2.2p.3p"	"3S"	"1"	" 0.6446665096"	"0.0000000012"	""	"  99                                                "	"L20057"
"2s2.2p.3p"	"3P"	"0"	" 0.6502122181"	"0.0000000023"	""	"  98                                                "	"L20057"
"2s2.2p.3p"	"3P"	"1"	" 0.6503251471"	"0.0000000017"	""	"  98                                                "	"L20057"
"2s2.2p.3p"	"3P"	"2"	" 0.6505117195"	"0.00000"	""	"  98                                                "	"L20057"
"2s2.2p.3p"	"1D"	"2"	" 0.6616777060"	"0.0000000019"	""	"  96                                                "	"L20057"
"2s2.2p.3p"	"1S"	"0"	" 0.6741182559"	"0.000000003"	""	"  88         :     9  2s2.2p.4p             1S      "	"L20057"
"2s.2p3"	"3P*"	"1"	" 0.685764922"	"0.000000003"	""	"  79         :    15  2s2.2p.3d             3P*     "	"L20057"
"2s.2p3"	"3P*"	"2"	" 0.6857766956"	"0.0000000012"	""	"  79         :    15  2s2.2p.3d             3P*     "	"L20057"
"2s.2p3"	"3P*"	"0"	" 0.685784677"	"0.000000003"	""	"  79         :    15  2s2.2p.3d             3P*     "	"L20057"
"2s2.2p.3d"	"1D*"	"2"	" 0.7078707241"	"0.0000000017"	""	"  98                                                "	"L20057"
"2s2.2p.4s"	"3P*"	"0"	" 0.7117451351"	"0.000000003"	""	"  93         :     7  2s2.2p.3d             3P*     "	"L20057"
"2s2.2p.4s"	"3P*"	"1"	" 0.7118524166"	"0.0000000013"	""	"  92         :     7  2s2.2p.3d             3P*     "	"L20057"
"2s2.2p.4s"	"3P*"	"2"	" 0.7121379610"	"0.0000000011"	""	"  92         :     8  2s2.2p.3d             3P*     "	"L20057"
"2s2.2p.3d"	"3F*"	"2"	" 0.7126025541"	"0.0000000019"	""	"  86         :    13  2s2.2p.3d             3D*     "	"L20057"
"2s2.2p.3d"	"3F*"	"3"	" 0.7127524455"	"0.0000000015"	""	"  76         :    22  2s2.2p.3d             3D*     "	"L20057"
"2s2.2p.3d"	"3F*"	"4"	" 0.7130661642"	"0.0000000013"	""	" 100                                                "	"L20057"
"2s2.2p.3d"	"3D*"	"1"	" 0.7134629833"	"0.0000000022"	""	"  97                                                "	"L20057"
"2s2.2p.3d"	"3D*"	"2"	" 0.7135917784"	"0.0000000015"	""	"  84         :    14  2s2.2p.3d             3F*     "	"L20057"
"2s2.2p.3d"	"3D*"	"3"	" 0.7136885528"	"0.0000000008"	""	"  75         :    23  2s2.2p.3d             3F*     "	"L20057"
"2s2.2p.4s"	"1P*"	"1"	" 0.7138893214"	"0.0000000021"	""	"  80         :    18  2s2.2p.3d             1P*     "	"L20057"
"2s2.2p.3d"	"1F*"	"3"	" 0.7156147936"	"0.0000000020"	""	"  99                                                "	"L20057"
"2s2.2p.3d"	"1P*"	"1"	" 0.717452355"	"0.000000004"	""	"  81         :    18  2s2.2p.4s             1P*     "	"L20057"
"2s2.2p.3d"	"3P*"	"2"	" 0.7227338096"	"0.0000000008"	""	"  77         :    15  2s.2p3                3P*     "	"L20057"
"2s2.2p.3d"	"3P*"	"1"	" 0.722806174"	"0.000000003"	""	"  77         :    15  2s.2p3                3P*     "	"L20057"
"2s2.2p.3d"	"3P*"	"0"	" 0.722846078"	"0.000000005"	""	"  78         :    15  2s.2p3                3P*     "	"L20057"
"2s2.2p.4p"	"1P"	"1"	" 0.7341430306"	"0.0000000019"	""	"  96                                                "	"L20057"
"2s2.2p.4p"	"3D"	"1"	" 0.7361438418"	"0.0000000019"	""	"  97                                                "	"L20057"
"2s2.2p.4p"	"3D"	"2"	" 0.7363155219"	"0.0000000014"	""	"  98                                                "	"L20057"
"2s2.2p.4p"	"3D"	"3"	" 0.7366193023"	"0.0000000012"	""	"  98                                                "	"L20057"
