configuration	term	J	energy
2s2.2p2	3P	0	0.0
2s2.2p2	3P	1	0.000149600096
2s2.2p2	3P	2	0.000395612526
2s2.2p2	1D	2	0.09288232
2s2.2p2	1S	0	0.19727136
2s.2p3	5S*	2	0.30741704
2s2.2p.3s	3P*	0	0.549798828
2s2.2p.3s	3P*	1	0.54997389
2s2.2p.3s	3P*	2	0.550343053
2s2.2p.3s	1P*	1	0.5648200134
2s.2p3	3D*	3	0.5840034378
2s.2p3	3D*	1	0.584030132
2s.2p3	3D*	2	0.5840401062
2s2.2p.3p	1P	1	0.6274652487
2s2.2p.3p	3D	1	0.6350573959
2s2.2p.3p	3D	2	0.6352505239
2s2.2p.3p	3D	3	0.6355545668
2s2.2p.3p	3S	1	0.6446665096
2s2.2p.3p	3P	0	0.6502122181000001
2s2.2p.3p	3P	1	0.6503251471
2s2.2p.3p	3P	2	0.6505117195000001
2s2.2p.3p	1D	2	0.661677706
2s2.2p.3p	1S	0	0.6741182559000001
2s.2p3	3P*	1	0.685764922
2s.2p3	3P*	2	0.6857766956
2s.2p3	3P*	0	0.685784677
2s2.2p.3d	1D*	2	0.7078707241
2s2.2p.4s	3P*	0	0.7117451351
2s2.2p.4s	3P*	1	0.7118524166
2s2.2p.4s	3P*	2	0.7121379609999999
2s2.2p.3d	3F*	2	0.7126025541
2s2.2p.3d	3F*	3	0.7127524454999999
2s2.2p.3d	3F*	4	0.7130661642
2s2.2p.3d	3D*	1	0.7134629833
2s2.2p.3d	3D*	2	0.7135917784
2s2.2p.3d	3D*	3	0.7136885528
2s2.2p.4s	1P*	1	0.7138893214
2s2.2p.3d	1F*	3	0.7156147936
2s2.2p.3d	1P*	1	0.717452355
2s2.2p.3d	3P*	2	0.7227338095999999
2s2.2p.3d	3P*	1	0.722806174
2s2.2p.3d	3P*	0	0.722846078
2s2.2p.4p	1P	1	0.7341430306
2s2.2p.4p	3D	1	0.7361438418
2s2.2p.4p	3D	2	0.7363155218999999
2s2.2p.4p	3D	3	0.7366193023000001
2s2.2p.4p	3S	1	0.7390837262000001
2s2.2p.4p	3P	0	0.740960847
2s2.2p.4p	3P	1	0.7410953172
2s2.2p.4p	3P	2	0.7412615695
2s2.2p.4p	1D	2	0.7451418906999999
2s2.2p.4p	1S	0	0.7495337379000001
2s2.2p.4d	1D*	2	0.7608859975
2s2.2p.5s	3P*	0	0.7630959070000001
2s2.2p.4d	3F*	2	0.7631627579000001
2s2.2p.5s	3P*	1	0.763208379
2s2.2p.4d	3F*	3	0.7632888927
2s2.2p.5s	3P*	2	0.7635605759999999
2s2.2p.4d	3F*	4	0.7636291748
2s2.2p.4d	3D*	1	0.763825478
2s2.2p.4d	3D*	2	0.7639887329999999
2s2.2p.4d	3D*	3	0.764087125
2s2.2p.5s	1P*	1	0.76434624
