configuration	term	J	energy
3s2.3p6	1S	0	0.0
3s2.3p5.3d	3P*	0	1.8532731
3s2.3p5.3d	3P*	1	1.8576357
3s2.3p5.3d	3P*	2	1.8666634999999998
3s2.3p5.3d	3F*	4	1.934711
3s2.3p5.3d	3F*	3	1.9444561999999999
3s2.3p5.3d	3F*	2	1.9531557000000002
3s2.3p5.3d	1D*	2	2.0578799
3s2.3p5.3d	3D*	3	2.0625032
3s2.3p5.3d	3D*	2	2.072117
3s2.3p5.3d	3D*	1	2.0725139
3s2.3p5.3d	1F*	3	2.0814611000000003
3s2.3p5.4s	3P*	2	2.2102526
3s2.3p5.4s	3P*	1	2.22285773
3s2.3p5.4s	3P*	0	2.2381801
3s2.3p5.4s	1P*	1	2.2571756
3s2.3p5.4p	3S	1	2.4803659
3s2.3p5.4p	3D	3	2.5244139
3s2.3p5.4p	3D	2	2.5276804
3s2.3p5.4p	3D	1	2.5389815
3s2.3p5.3d	1P*	1	2.5456577
3s2.3p5.4p	1D	2	2.5491949000000003
3s2.3p5.4p	1P	1	2.5619321
3s2.3p5.4p	3P	2	2.5687
3s2.3p5.4p	3P	0	2.5704578999999996
3s2.3p5.4p	3P	1	2.5749803
3s2.3p5.4p	1S	0	2.6511883999999997
