ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"248.34"	"0.03"	"bl*"	"6.8e+07"	"1.9e-03"	C	"0.000000"	"[3.6695]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).10d"	"2[3/2]*"	"1"		"u33"	"L11572"	
"250.06"	"0.03"	"bl"	"8.2e+07"	"2.3e-03"	C	"0.000000"	"[3.6442]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).10s"	"2[1/2]*"	"1"		"u33"	"L11572"	
"250.22"	"0.03"	"bl"	"6.3e+07"	"1.8e-03"	C	"0.000000"	"[3.6419]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).10d"	"2[3/2]*"	"1"		"u33"	"L11572"	
"250.34"	"0.03"	""	"1.1e+06"	"3.e-05"	E	"0.000000"	"[3.6401]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).10d"	"2[1/2]*"	"1"		"u33"	""	
"251.98"	"0.03"	"bl"	"9.3e+07"	"2.6e-03"	C	"0.000000"	"[3.6165]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).10s"	"2[3/2]*"	"1"		"u33"	"L11572"	
"252.11"	"0.03"	""	"7.8e+06"	"2.2e-04"	C	"0.000000"	"[3.6146]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).9d"	"2[1/2]*"	"1"		"u33"	""	
"252.57"	"0.03"	"bl*"	"8.3e+07"	"2.4e-03"	C	"0.000000"	"[3.6080]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).8d"	"2[3/2]*"	"1"		"u33"	"L11572"	
"254.48"	"0.03"	"bl"	"9.9e+07"	"2.9e-03"	C	"0.000000"	"[3.5809]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).9s"	"2[3/2]*"	"1"		"u33"	"L11572"	
"254.71"	"0.03"	""	"6.0e+06"	"1.7e-04"	C	"0.000000"	"[3.5777]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).8d"	"2[1/2]*"	"1"		"u33"	""	
"256.32"	"0.03"	"*"	"8.e+08"	"2.4e-02"	E	"0.000000"	"[3.5551]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).7d"	"2[3/2]*"	"1"		"T6166"	"L11572"	
"262.51"	"0.03"	""	"1.4e+09"	"4.3e-02"	E	"0.000000"	"[3.4714]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).6d"	"2[3/2]*"	"1"		"T6166"	"L11572"	
"262.63"	"0.03"	""	"7.4e+08"	"2.3e-02"	C	"0.000000"	"[3.4698]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).7s"	"2[1/2]*"	"1"		"u33"	"L11572"	
"264.70"	"0.04"	""	"7.3e+08"	"2.3e-02"	C	"0.000000"	"[3.4427]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).7s"	"2[3/2]*"	"1"		"u33"	"L11572"	
"265.49"	"0.04"	""	"2.6e+07"	"8.1e-04"	C	"0.000000"	"[3.4324]"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).6d"	"2[1/2]*"	"1"		"u33"	"L11572"	
"273.6997"	"0.0011"	"42000"	"2.6e+09"	"8.8e-02"	C	"0.000000"	"3.3294407"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).5d"	"2[3/2]*"	"1"		"u33"	"L3496,L1405"	
"274.4660"	"0.0011"	"20000"	"1.08e+09"	"3.7e-02"	C	"0.000000"	"3.3201455"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).6s"	"2[1/2]*"	"1"		"u33"	"L3496,L1405"	
"296.9570"	"0.0013"	"190000"	"1.13e+10"	"4.5e-01"	C	"0.000000"	"3.0686837"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).4d"	"2[3/2]*"	"1"		"u33"	"L3496,L262"	
"301.7472"	"0.0015"	"110000"	"2.0e+09"	"8.4e-02"	C	"0.000000"	"3.0199682"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"u33"	"L3496,L262"	
"304.3376"	"0.0014"	"80000"	"1.3e+09"	"5.2e-02"	C	"0.000000"	"2.9942636"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"u33"	"L3496,L262"	
"304.9133"	"0.0014"	"80000"	"8.6e+08"	"3.6e-02"	C	"0.000000"	"2.9886106"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"		"u33"	"L3496,L262"	
"309.5941"	"0.0014"	""	"3.5e+07"	"1.5e-03"	C	"0.000000"	"2.9434250"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"		"u33"	""	
"357.9692"	"0.0021"	"18000000"	"6.8e+10"	"3.9e+00"	B	"0.000000"	"2.5456577"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.3d"	"1P*"	"1"		"T7942"	"L262"	
"403.7201"	"0.0024"	"2300000"	"7.6e+09"	"5.5e-01"	B	"0.000000"	"2.2571756"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.4s"	"1P*"	"1"		"T7942"	"L262"	
"409.953"	"0.003"	"1200000"	"1.2e+09"	"9.e-02"	C	"0.000000"	"2.22285773"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.4s"	"3P*"	"1"		"T7942"	"L262"	
"439.692"	"0.003"	"42000"	"1.9e+07"	"1.7e-03"	C	"0.000000"	"2.0725139"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.3d"	"3D*"	"1"		"u33"	"L262"	
"490.552"	"0.004"	"2900"	"1.5e+06"	"1.6e-04"	C	"0.000000"	"1.8576357"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.3d"	"3P*"	"1"		"u33"	"L262"	
"552.412"	"0.009"	"4800"	"3.0e+08"	"2.e-02"	C	"1.8666635"	"3.51628"	"3s2.3p5.3d"	"3P*"	"2"	"3s2.3p5.(2P*<1/2>).6f"	"2[5/2]"	"3"		"u33"	"L1405"	
"561.959"	"0.004"	"7000"	"3.4e+08"	"2.e-02"	C	"1.8666635"	"3.488253"	"3s2.3p5.3d"	"3P*"	"2"	"3s2.3p5.(2P*<3/2>).6f"	"2[5/2]"	"3"		"u33"	"L1405c98"	
"562.607"	"0.009"	"3600"	"2.8e+08"	"2.e-02"	C	"1.934711"	"3.55443"	"3s2.3p5.3d"	"3F*"	"4"	"3s2.3p5.(2P*<3/2>).7f"	"2[9/2]"	"5"		"u33"	"L262"	
"580.060"	"0.004"	"2400"	"1.6e+08"	"1.e-02"	C	"1.9444562"	"3.515445"	"3s2.3p5.3d"	"3F*"	"3"	"3s2.3p5.(2P*<1/2>).6f"	"2[7/2]"	"4"		"u33"	"L262"	
"583.350"	"0.006"	"2200"	"3.0e+08"	"2.e-02"	C	"1.9531557"	"3.515282"	"3s2.3p5.3d"	"3F*"	"2"	"3s2.3p5.(2P*<1/2>).6f"	"2[7/2]"	"3"		"u33"	"L262"	
"586.550"	"0.004"	"2000"	"7.4e+07"	"4.e-03"	C	"1.934711"	"3.488317"	"3s2.3p5.3d"	"3F*"	"4"	"3s2.3p5.(2P*<3/2>).6f"	"2[7/2]"	"4"		"u33"	"L262"	
"587.354"	"0.004"	"15000"	"4.8e+08"	"3.e-02"	C	"1.934711"	"3.486190"	"3s2.3p5.3d"	"3F*"	"4"	"3s2.3p5.(2P*<3/2>).6f"	"2[9/2]"	"5"		"u33"	"L262"	
"589.0150"	"0.0021"	"3600"	"3.2e+08"	"3.e-02"	C	"1.8576357"	"3.404739"	"3s2.3p5.3d"	"3P*"	"1"	"3s2.3p5.(2P*<1/2>).5f"	"2[5/2]"	"2"		"u33"	"L262"	
"590.987"	"0.003"	"3400"	"2.5e+08"	"2.e-02"	C	"1.9444562"	"3.486397"	"3s2.3p5.3d"	"3F*"	"3"	"3s2.3p5.(2P*<3/2>).6f"	"2[9/2]"	"4"		"u33"	"L262"	
"591.5839"	"0.0010"	"8000"	"8.9e+08"	"7.e-02"	C	"1.8666635"	"3.4070486"	"3s2.3p5.3d"	"3P*"	"2"	"3s2.3p5.(2P*<1/2>).5f"	"2[5/2]"	"3"		"u33"	"L262"	
"593.646"	"0.003"	"700"	"1.3e+08"	"1.0e-02"	C	"1.9531557"	"3.488191"	"3s2.3p5.3d"	"3F*"	"2"	"3s2.3p5.(2P*<3/2>).6f"	"2[7/2]"	"3"		"u33"	"L2911"	
"594.9747"	"0.0011"	"6000w"	"1.00e+09"	"1.6e-01"	C	"1.8532731"	"3.3848794"	"3s2.3p5.3d"	"3P*"	"0"	"3s2.3p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		"u33"	"L262"	
"596.6743"	"0.0011"	"5000"	"7.8e+08"	"4.e-02"	C	"1.8576357"	"3.3848794"	"3s2.3p5.3d"	"3P*"	"1"	"3s2.3p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		"u33"	"L262"	
"597.2912"	"0.0011"	"6000"	"1.00e+09"	"9.e-02"	C	"1.8576357"	"3.3833020"	"3s2.3p5.3d"	"3P*"	"1"	"3s2.3p5.(2P*<3/2>).5f"	"2[3/2]"	"2"		"u33"	"L262"	
"600.8466"	"0.0011"	"2800"	"3.6e+08"	"2.e-02"	C	"1.8666635"	"3.3833020"	"3s2.3p5.3d"	"3P*"	"2"	"3s2.3p5.(2P*<3/2>).5f"	"2[3/2]"	"2"		"u33"	"L262"	
"606.756"	"0.008"	"1400"	"1.8e+08"	"1.e-02"	C	"2.0814611"	"3.583329"	"3s2.3p5.3d"	"1F*"	"3"	"3s2.3p5.(2P*<1/2>).7f"	"2[7/2]"	"4"		"u33"	"L262"	
"610.225"	"0.008"	"1300"	"2.5e+08"	"2.e-02"	C	"2.0625032"	"3.555833"	"3s2.3p5.3d"	"3D*"	"3"	"3s2.3p5.(2P*<3/2>).7f"	"2[7/2]"	"4"		"u33"	"L262"	
"624.820"	"0.004"	"3200"	"2.7e+08"	"2.e-02"	C	"1.9444562"	"3.402904"	"3s2.3p5.3d"	"3F*"	"3"	"3s2.3p5.(2P*<1/2>).5f"	"2[7/2]"	"4"		"u33"	"L262"	
"625.268"	"0.006"	"1000"	"1.6e+08"	"1.e-02"	C	"2.0578799"	"3.515282"	"3s2.3p5.3d"	"1D*"	"2"	"3s2.3p5.(2P*<1/2>).6f"	"2[7/2]"	"3"		"u33"	"L262"	
"628.663"	"0.004"	"6000"	"5.1e+08"	"4.e-02"	C	"1.9531557"	"3.402688"	"3s2.3p5.3d"	"3F*"	"2"	"3s2.3p5.(2P*<1/2>).5f"	"2[7/2]"	"3"		"u33"	"L262"	
"631.015"	"0.003"	"1700"	"2.3e+08"	"2.e-02"	C	"2.0725139"	"3.516642"	"3s2.3p5.3d"	"3D*"	"1"	"3s2.3p5.(2P*<1/2>).6f"	"2[5/2]"	"2"		"u33"	"L262"	
"632.019"	"0.004"	"2900"	"1.2e+08"	"7.e-03"	C	"1.934711"	"3.376546"	"3s2.3p5.3d"	"3F*"	"4"	"3s2.3p5.(2P*<3/2>).5f"	"2[7/2]"	"4"		"u33"	"L262"	
"633.4629"	"0.0012"	"900"	"3.0e+07"	"2.e-03"	C	"1.934711"	"3.3732594"	"3s2.3p5.3d"	"3F*"	"4"	"3s2.3p5.(2P*<3/2>).5f"	"2[9/2]"	"4"		"u33"	"L262"	
"633.5860"	"0.0012"	"9000"	"8.5e+08"	"6.e-02"	B	"1.934711"	"3.3729800"	"3s2.3p5.3d"	"3F*"	"4"	"3s2.3p5.(2P*<3/2>).5f"	"2[9/2]"	"5"		"u33"	"L262"	
"635.479"	"0.004"	"1600"	"2.9e+08"	"2.e-02"	C	"2.0814611"	"3.515445"	"3s2.3p5.3d"	"1F*"	"3"	"3s2.3p5.(2P*<1/2>).6f"	"2[7/2]"	"4"		"u33"	"L262"	
"636.320"	"0.004"	"1600"	"8.1e+07"	"6.e-03"	C	"1.9444562"	"3.376546"	"3s2.3p5.3d"	"3F*"	"3"	"3s2.3p5.(2P*<3/2>).5f"	"2[7/2]"	"4"		"u33"	"L262"	
"636.391"	"0.004"	"800"	"1.10e+08"	"7.e-03"	C	"1.9444562"	"3.376385"	"3s2.3p5.3d"	"3F*"	"3"	"3s2.3p5.(2P*<3/2>).5f"	"2[7/2]"	"3"		"u33"	"L262"	
"636.6402"	"0.0016"	"500"	"4.9e+07"	"2.e-03"	C	"1.9444562"	"3.375825"	"3s2.3p5.3d"	"3F*"	"3"	"3s2.3p5.(2P*<1/2>).6p"	"2[3/2]"	"2"		"u33"	"L2911"	
"637.111"	"0.003"	"1500"	"2.7e+08"	"2.e-02"	C	"2.0578799"	"3.488191"	"3s2.3p5.3d"	"1D*"	"2"	"3s2.3p5.(2P*<3/2>).6f"	"2[7/2]"	"3"		"u33"	"L262"	
"637.7835"	"0.0012"	"800"	"4.4e+08"	"3.e-02"	C	"1.9444562"	"3.3732594"	"3s2.3p5.3d"	"3F*"	"3"	"3s2.3p5.(2P*<3/2>).5f"	"2[9/2]"	"4"		"u33"	"L262"	
"639.121"	"0.004"	"2600"	"3.8e+08"	"3.e-02"	C	"2.0625032"	"3.488317"	"3s2.3p5.3d"	"3D*"	"3"	"3s2.3p5.(2P*<3/2>).6f"	"2[7/2]"	"4"		"u33"	"L262"	
"640.281"	"0.004"	"4100"	"2.6e+08"	"2.e-02"	C	"1.9531557"	"3.376385"	"3s2.3p5.3d"	"3F*"	"2"	"3s2.3p5.(2P*<3/2>).5f"	"2[7/2]"	"3"		"u33"	"L262"	
"643.412"	"0.003"	"700p(Ca III)"	"1.6e+08"	"1.7e-02"	C	"2.0725139"	"3.488817"	"3s2.3p5.3d"	"3D*"	"1"	"3s2.3p5.(2P*<3/2>).6f"	"2[5/2]"	"2"		"u33"	"L2911"	
"643.488"	"0.007"	"700p(Ca III)"	"1.3e+08"	"1.e-02"	C	"2.0721170"	"3.488253"	"3s2.3p5.3d"	"3D*"	"2"	"3s2.3p5.(2P*<3/2>).6f"	"2[5/2]"	"3"		"u33"	"L2911"	
"648.618"	"0.004"	"1300"	"1.7e+08"	"1.e-02"	C	"2.0814611"	"3.486397"	"3s2.3p5.3d"	"1F*"	"3"	"3s2.3p5.(2P*<3/2>).6f"	"2[9/2]"	"4"		"u33"	"L262"	
"677.618"	"0.004"	"2600"	"2.9e+08"	"3.e-02"	C	"2.0578799"	"3.402688"	"3s2.3p5.3d"	"1D*"	"2"	"3s2.3p5.(2P*<1/2>).5f"	"2[7/2]"	"3"		"u33"	"L262"	
"680.0496"	"0.0014"	"1600"	"6.5e+07"	"8.e-03"	C	"1.8576357"	"3.1976364"	"3s2.3p5.3d"	"3P*"	"1"	"3s2.3p5.(2P*<1/2>).4f"	"2[5/2]"	"2"		"u33"	"L262"	
"682.6320"	"0.0007"	"3200"	"4.8e+08"	"5.e-02"	C	"2.0721170"	"3.4070486"	"3s2.3p5.3d"	"3D*"	"2"	"3s2.3p5.(2P*<1/2>).5f"	"2[5/2]"	"3"		"u33"	"L262"	
"684.019"	"0.003"	"2500"	"4.5e+08"	"5.e-02"	C	"2.0725139"	"3.404739"	"3s2.3p5.3d"	"3D*"	"1"	"3s2.3p5.(2P*<1/2>).5f"	"2[5/2]"	"2"		"u33"	"L262"	
"684.6623"	"0.0014"	"900"	"2.1e+07"	"1.e-03"	C	"1.8666635"	"3.1976364"	"3s2.3p5.3d"	"3P*"	"2"	"3s2.3p5.(2P*<1/2>).4f"	"2[5/2]"	"2"		"u33"	"L262"	
"685.4078"	"0.0014"	"4600"	"2.3e+08"	"2.e-02"	C	"1.8666635"	"3.1961889"	"3s2.3p5.3d"	"3P*"	"2"	"3s2.3p5.(2P*<1/2>).4f"	"2[5/2]"	"3"		"u33"	"L262"	
"689.600"	"0.004"	"3000"	"4.9e+08"	"4.e-02"	C	"2.0814611"	"3.402904"	"3s2.3p5.3d"	"1F*"	"3"	"3s2.3p5.(2P*<1/2>).5f"	"2[7/2]"	"4"		"u33"	"L262"	
"689.712"	"0.004"	"450"	"2.9e+07"	"2.e-03"	C	"2.0814611"	"3.402688"	"3s2.3p5.3d"	"1F*"	"3"	"3s2.3p5.(2P*<1/2>).5f"	"2[7/2]"	"3"		"u33"	"L262"	
"690.959"	"0.003"	"2300"	"4.0e+08"	"3.e-02"	C	"2.0625032"	"3.381348"	"3s2.3p5.3d"	"3D*"	"3"	"3s2.3p5.(2P*<3/2>).5f"	"2[5/2]"	"3"		"u33"	"L262"	
"691.137"	"0.004"	"3000"	"4.1e+08"	"4.e-02"	C	"2.0578799"	"3.376385"	"3s2.3p5.3d"	"1D*"	"2"	"3s2.3p5.(2P*<3/2>).5f"	"2[7/2]"	"3"		"u33"	"L262"	
"691.4301"	"0.0014"	"480"	"5.1e+07"	"4.e-03"	C	"2.0578799"	"3.375825"	"3s2.3p5.3d"	"1D*"	"2"	"3s2.3p5.(2P*<1/2>).6p"	"2[3/2]"	"2"		"u33"	"L2911"	
"692.146"	"0.003"	"800"	"7.1e+07"	"5.e-03"	C	"2.0578799"	"3.374463"	"3s2.3p5.3d"	"1D*"	"2"	"3s2.3p5.(2P*<3/2>).5f"	"2[5/2]"	"2"		"u33"	"L1405"	
"693.483"	"0.004"	"3600"	"6.2e+08"	"6.e-02"	B	"2.0625032"	"3.376546"	"3s2.3p5.3d"	"3D*"	"3"	"3s2.3p5.(2P*<3/2>).5f"	"2[7/2]"	"4"		"u33"	"L262"	
"694.1599"	"0.0009"	"440"	"6.5e+07"	"3.e-03"	C	"2.0721170"	"3.3848794"	"3s2.3p5.3d"	"3D*"	"2"	"3s2.3p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		"u33"	"L262"	
"694.3698"	"0.0010"	"800"	"3.4e+08"	"2.e-02"	C	"2.0725139"	"3.3848794"	"3s2.3p5.3d"	"3D*"	"1"	"3s2.3p5.(2P*<3/2>).5f"	"2[3/2]"	"1"		"u33"	"L262"	
"694.8968"	"0.0014"	"2200"	"4.8e+07"	"6.e-03"	C	"1.8576357"	"3.1690061"	"3s2.3p5.3d"	"3P*"	"1"	"3s2.3p5.(2P*<3/2>).4f"	"2[5/2]"	"2"		"u33"	"L262"	
"694.9950"	"0.0007"	"2200"	"2.9e+08"	"2.e-02"	C	"2.0721170"	"3.3833020"	"3s2.3p5.3d"	"3D*"	"2"	"3s2.3p5.(2P*<3/2>).5f"	"2[3/2]"	"2"		"u33"	"L262"	
