Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Reference
"3p6.4s"	"2S"	"1/2"	""	"0.0000000"	""	""	"L7185"
"3p6.3d"	"2D"	"3/2"	""	"0.1243897"	""	""	""
"3p6.3d"	"2D"	"5/2"	""	"0.1249427"	""	""	""
"3p6.4p"	"2P*"	"1/2"	""	"0.2295619"	""	""	""
"3p6.4p"	"2P*"	"3/2"	""	"0.2315931"	""	""	""
"3p6.5s"	"2S"	"1/2"	""	"0.4753800"	""	""	""
"3p6.4d"	"2D"	"3/2"	""	"0.5179574"	""	""	""
"3p6.4d"	"2D"	"5/2"	""	"0.5181324"	""	""	""
"3p6.5p"	"2P*"	"1/2"	""	"0.5516175"	""	""	""
"3p6.5p"	"2P*"	"3/2"	""	"0.5523306"	""	""	""
"3p6.4f"	"2F*"	"7/2"	""	"0.6201802"	""	""	""
"3p6.4f"	"2F*"	"5/2"	""	"0.6201802"	""	""	""
"3p6.6s"	"2S"	"1/2"	""	"0.6440619"	""	""	""
"3p6.5d"	"2D"	"3/2"	""	"0.6626937"	""	""	""
"3p6.5d"	"2D"	"5/2"	""	"0.6627730"	""	""	""
"3p6.6p"	"2P*"	"1/2"	""	"0.6787565"	""	""	""
"3p6.6p"	"2P*"	"3/2"	""	"0.6790922"	""	""	""
"3p6.5f"	"2F*"	"7/2"	""	"0.7111017"	""	""	""
"3p6.5f"	"2F*"	"5/2"	""	"0.7111017"	""	""	""
"3p6.5g"	"2G"	"7/2"	""	"0.7122893"	""	""	""
"3p6.5g"	"2G"	"9/2"	""	"0.7122893"	""	""	""
"3p6.7s"	"2S"	"1/2"	""	"0.7239860"	""	""	""
"3p6.6d"	"2D"	"3/2"	""	"0.7337662"	""	""	""
"3p6.6d"	"2D"	"5/2"	""	"0.7338084"	""	""	""
"3p6.6f"	"2F*"	"5/2"	""	"0.7605260"	""	""	""
"3p6.6f"	"2F*"	"7/2"	""	"0.7605260"	""	""	""
"3p6.6g"	"2G"	"7/2"	""	"0.7612725"	""	""	""
"3p6.6g"	"2G"	"9/2"	""	"0.7612725"	""	""	""
"3p6.8s"	"2S"	"1/2"	""	"0.7682062"	""	""	""
"3p6.7d"	"2D"	"3/2"	""	"0.7739724"	""	""	""
"3p6.7d"	"2D"	"5/2"	""	"0.7739975"	""	""	""
"3p6.7f"	"2F*"	"5/2"	""	"0.7903151"	""	""	""
"3p6.7f"	"2F*"	"7/2"	""	"0.7903151"	""	""	""
"3p6.7g"	"2G"	"7/2"	""	"0.7908079"	""	""	""
"3p6.7g"	"2G"	"9/2"	""	"0.7908079"	""	""	""
"3p6.9s"	"2S"	"1/2"	""	"0.7952433"	""	""	""
"3p6.8d"	"2D"	"3/2"	""	"0.7989254"	""	""	""
"3p6.8d"	"2D"	"5/2"	""	"0.7989417"	""	""	""
"3p6.8f"	"2F*"	"7/2"	""	"0.8096363"	""	""	""
"3p6.8f"	"2F*"	"5/2"	""	"0.8096363"	""	""	""
"3p6.8g"	"2G"	"9/2"	""	"0.8099755"	""	""	""
"3p6.8g"	"2G"	"7/2"	""	"0.8099755"	""	""	""
"3p6.8h"	"2H*"	"11/2"	""	"0.8100311"	""	""	""
"3p6.8h"	"2H*"	"9/2"	""	"0.8100311"	""	""	""
"3p6.10s"	"2S"	"1/2"	""	"0.8129790"	""	""	""
"3p6.9d"	"2D"	"3/2"	""	"0.8154740"	""	""	""
"3p6.9d"	"2D"	"5/2"	""	"0.8154850"	""	""	""
"3p6.9f"	"2F*"	"7/2"	""	"0.822874"	""	""	""
"3p6.9f"	"2F*"	"5/2"	""	"0.822874"	""	""	""
"3p6.9g"	"2G"	"9/2"	""	"0.8231152"	""	""	""
"3p6.9g"	"2G"	"7/2"	""	"0.8231152"	""	""	""
"3p6.10d"	"2D"	"3/2"	""	"0.8270106"	""	""	""
"3p6.10d"	"2D"	"5/2"	""	"0.8270186"	""	""	""
"3p6.10f"	"2F*"	"7/2"	""	"0.832333"	""	""	""
"3p6.10f"	"2F*"	"5/2"	""	"0.832333"	""	""	""
"3p6.10h"	"2H*"	"11/2"	""	"0.8325427"	""	""	""
"3p6.10h"	"2H*"	"9/2"	""	"0.8325427"	""	""	""
"3p6.11d"	"2D"	"5/2"	""	"0.835377"	""	""	""
"3p6.11d"	"2D"	"3/2"	""	"0.835377"	""	""	""
"3p6.12d"	"2D"	"5/2"	""	"0.841637"	""	""	""
"3p6.12d"	"2D"	"3/2"	""	"0.841637"	""	""	""
"3p6.13d"	"2D"	"3/2"	""	"0.846412"	""	""	""
"3p6.13d"	"2D"	"5/2"	""	"0.846412"	""	""	""
"3p6.14d"	"2D"	"3/2"	""	"0.850190"	""	""	""
"3p6.14d"	"2D"	"5/2"	""	"0.850190"	""	""	""
"3p6.15d"	"2D"	"5/2"	""	"0.853191"	""	""	""
"3p6.15d"	"2D"	"3/2"	""	"0.853191"	""	""	""
"3p6.16d"	"2D"	"5/2"	""	"0.855630"	""	""	""
"3p6.16d"	"2D"	"3/2"	""	"0.855630"	""	""	""
