configuration	term	J	energy
3p6.4s2	1S	0	0.0
3p6.4s.4p	3P*	0	0.13812896
3p6.4s.4p	3P*	1	0.13860429
3p6.4s.4p	3P*	2	0.13956914
3p6.3d.4s	3D	1	0.18530944
3p6.3d.4s	3D	2	0.1854361
3p6.3d.4s	3D	3	0.18563421
3p6.3d.4s	1D	2	0.19910852
3p6.4s.4p	1P*	1	0.21553565
3p6.4s.5s	3S	1	0.28740903
3p6.4s.5s	1S	0	0.30360925
3p6.3d.4p	3F*	2	0.32559985
3p6.3d.4p	3F*	3	0.32640413
3p6.3d.4p	1D*	2	0.32655631
3p6.3d.4p	3F*	4	0.32711652
3p6.4s.5p	3P*	0	0.33304704
3p6.4s.5p	3P*	1	0.33311138
3p6.4s.5p	3P*	2	0.33329701
3p6.4s.5p	1P*	1	0.3347231
3p6.4s.4d	1D	2	0.339887
3p6.4s.4d	3D	1	0.34398688
3p6.4s.4d	3D	2	0.34402032
3p6.4s.4d	3D	3	0.34407119
3p6.3d.4p	3D*	1	0.34803468
3p6.3d.4p	3D*	2	0.34827823
3p6.3d.4p	3D*	3	0.34864279
3p6.4p2	3P	0	0.35008641
3p6.4p2	3P	1	0.35051712
3p6.4p2	3P	2	0.35130765
3p6.3d.4p	3P*	0	0.35843215
3p6.3d.4p	3P*	1	0.35844983
3p6.3d.4p	3P*	2	0.35849319
3p6.4s.6s	3S	1	0.36882842
3p6.3d.4p	1F*	3	0.36940846
3p6.4s.6s	1S	0	0.37079853
3p6.4p2	1D	2	0.37106655
3p6.4s.6p	1P*	1	0.37980707
3p6.4p2	1S	0	0.38078456
3p6.4s.4f	3F*	2	0.38428327
3p6.4s.4f	3F*	3	0.3842864
3p6.4s.4f	3F*	4	0.38429066
3p6.4s.4f	1F*	3	0.38586316
3p6.4s.6p	3P*	0	0.38742377
3p6.4s.6p	3P*	1	0.38745898
3p6.4s.6p	3P*	2	0.38753081
3p6.4s.5d	3D	1	0.38950289
3p6.4s.5d	3D	2	0.38951851
3p6.4s.5d	3D	3	0.38954285
3p6.4s.5d	1D	2	0.39110719
3p6.3d2	3F	2	0.39617177
3p6.3d2	3F	3	0.39630201
3p6.3d2	3F	4	0.39647487
