ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2151.472"	"2"	"6.1e+06"	"1.3e-02"	C	"0.00000000"	"0.42355522"	"3p6.4s2"	"1S"	"0"	"3p6.4s.8p"	"1P*"	"1"		"T793n"	"L6097"	
"2201.414"	"5"	"1.53e+07"	"3.33e-02"	C	"0.00000000"	"0.41394632"	"3p6.4s2"	"1S"	"0"	"3p6.4s.7p"	"1P*"	"1"		"T793n"	"L6097"	
"2276.169"	"6"	"3.01e+07"	"7.01e-02"	C+	"0.00000000"	"0.40035130"	"3p6.4s2"	"1S"	"0"	"3p6.4s.np"	"w 1P*"	"1"		"T134n,T654n"	"L6097"	
"2399.289"	"8"	"1.67e+07"	"4.32e-02"	C+	"0.00000000"	"0.37980707"	"3p6.4s2"	"1S"	"0"	"3p6.4s.6p"	"1P*"	"1"		"T134n,T654n"	"L6097"	
"2542.244"	""	"1.7e+04"	"4.9e-05"	D	"0.00000000"	"0.35844983"	"3p6.4s2"	"1S"	"0"	"3p6.3d.4p"	"3P*"	"1"		"T654"	""	
"2618.323"	""	"1.6e+04"	"4.9e-05"	D	"0.00000000"	"0.34803468"	"3p6.4s2"	"1S"	"0"	"3p6.3d.4p"	"3D*"	"1"		"T654"	""	
"2722.450"	"7"	"2.7e+05"	"9.0e-04"	D	"0.00000000"	"0.33472310"	"3p6.4s2"	"1S"	"0"	"3p6.4s.5p"	"1P*"	"1"		"T134n"	"L6097"	
"2995.831"	"9"	"3.67e+07"	"1.48e-01"	C	"0.13812896"	"0.44230737"	"3p6.4s.4p"	"3P*"	"0"	"3p6.3d2"	"3P"	"1"		"T539n,LS"	"L6097"	
"2998.190"	"8"	"2.41e+07"	"5.41e-02"	C	"0.13860429"	"0.44254337"	"3p6.4s.4p"	"3P*"	"1"	"3p6.3d2"	"3P"	"2"		"T539n,LS"	"L6097"	
"3000.520"	"8"	"2.79e+07"	"3.77e-02"	C	"0.13860429"	"0.44230737"	"3p6.4s.4p"	"3P*"	"1"	"3p6.3d2"	"3P"	"1"		"T539n,LS"	"L6097"	
"3001.738"	"9"	"1.58e+08"	"7.11e-02"	C	"0.13860429"	"0.44218407"	"3p6.4s.4p"	"3P*"	"1"	"3p6.3d2"	"3P"	"0"		"T539n,LS"	"L6097"	
"3007.738"	"10"	"7.5e+07"	"1.0e-01"	C	"0.13956914"	"0.44254337"	"3p6.4s.4p"	"3P*"	"2"	"3p6.3d2"	"3P"	"2"		"T539n,LS"	"L6097"	
"3010.083"	"9"	"4.30e+07"	"3.50e-02"	C	"0.13956914"	"0.44230737"	"3p6.4s.4p"	"3P*"	"2"	"3p6.3d2"	"3P"	"1"		"T539n,LS"	"L6097"	
"3103.263"	""	"6.2e+05"	"2.7e-03"	D	"0.13812896"	"0.43177699"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.10s"	"3S"	"1"		"T539n"	""	
"3108.294"	""	"1.0e+06"	"1.4e-03"	D	"0.13860429"	"0.43177699"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.10s"	"3S"	"1"		"T539n"	""	
"3118.558"	""	"1.7e+06"	"1.5e-03"	D	"0.13956914"	"0.43177699"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.10s"	"3S"	"1"		"T539n"	""	
"3136.928"	"5"	"4.1e+06"	"1.8e-02"	D	"0.13812896"	"0.42862562"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.8d"	"3D"	"1"		"T539n"	"L6097"	
"3141.696"	"6"	"4.9e+06"	"1.2e-02"	D	"0.13860429"	"0.42866008"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.8d"	"3D"	"2"		"T539n"	"L6097"	
"3142.069"	""	"3.0e+06"	"4.4e-03"	D	"0.13860429"	"0.42862562"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.8d"	"3D"	"1"		"T539n"	""	
"3151.661"	"7"	"8.6e+06"	"1.8e-02"	D	"0.13956914"	"0.42870778"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.8d"	"3D"	"3"		"T539n"	"L6097"	
"3152.181"	""	"1.8e+06"	"2.7e-03"	D	"0.13956914"	"0.42866008"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.8d"	"3D"	"2"		"T539n"	""	
"3152.557"	""	"2.2e+05"	"2.0e-04"	E	"0.13956914"	"0.42862562"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.8d"	"3D"	"1"		"T539n,LS"	""	
