Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"3s2.3p3"	"4S*"	"3/2"	" 0.0000000"	""	" 100                                       "	"L495"
"3s2.3p3"	"2D*"	"3/2"	" 0.1645061"	""	" 100                                       "	""
"3s2.3p3"	"2D*"	"5/2"	" 0.1651073"	""	" 100                                       "	""
"3s2.3p3"	"2P*"	"1/2"	" 0.2716844"	""	"  99                                       "	""
"3s2.3p3"	"2P*"	"3/2"	" 0.2725276"	""	"  99                                       "	""
"3s.3p4.(3P)"	"4P"	"5/2"	" 0.8977834"	""	"  87         :    13  3s2.3p2.(3P).3d 4P   "	""
"3s.3p4.(3P)"	"4P"	"3/2"	" 0.9033518"	""	"  87         :    13  3s2.3p2.(3P).3d 4P   "	""
"3s.3p4.(3P)"	"4P"	"1/2"	" 0.9064849"	""	"  86         :    13  3s2.3p2.(3P).3d 4P   "	""
"3s.3p4.(1D)"	"2D"	"3/2"	" 1.1129456"	""	"  71         :    25  3s2.3p2.(1D).3d 2D   "	""
"3s.3p4.(1D)"	"2D"	"5/2"	" 1.1133843"	""	"  71         :    25  3s2.3p2.(1D).3d 2D   "	""
"3s2.3p2.(3P).3d"	"4F"	"3/2"	" 1.3352042"	""	" 100                                       "	""
"3s2.3p2.(3P).3d"	"4F"	"5/2"	" 1.3372570"	""	" 100                                       "	""
"3s2.3p2.(3P).3d"	"4F"	"7/2"	" 1.3401965"	""	" 100                                       "	""
"3s2.3p2.(3P).3d"	"4F"	"9/2"	" 1.3440691"	""	" 100                                       "	""
"3s2.3p2.(3P).3d"	"4D"	"5/2"	" 1.3837262"	""	"  98                                       "	""
"3s2.3p2.(3P).3d"	"4D"	"3/2"	" 1.3840147"	""	" 100                                       "	""
"3s2.3p2.(3P).3d"	"4D"	"1/2"	" 1.3846206"	""	" 100                                       "	""
"3s2.3p2.(3P).3d"	"4D"	"7/2"	" 1.3846852"	""	"  95         :     3  3s2.3p2.(1D).3d 2F   "	""
"3s2.3p2.(3P).4s"	"4P"	"1/2"	" 1.5831924"	""	"                                           "	""
"3s2.3p2.(3P).4s"	"4P"	"3/2"	" 1.5864523"	""	"                                           "	""
"3s2.3p2.(3P).4s"	"4P"	"5/2"	" 1.5911794"	""	"                                           "	""
"3s2.3p2.(3P).4s"	"2P"	"1/2"	" 1.6254192"	""	"                                           "	""
"3s2.3p2.(3P).4s"	"2P"	"3/2"	" 1.6318533"	""	"                                           "	""
"3s2.3p2.(3P).3d"	"4P"	"5/2"	" 1.6356693"	""	"  86         :    13  3s.3p4.(3P)     4P   "	""
"3s2.3p2.(3P).3d"	"4P"	"3/2"	" 1.6372020"	""	"  86         :    13  3s.3p4.(3P)     4P   "	""
"3s2.3p2.(3P).3d"	"4P"	"1/2"	" 1.6382836"	""	"  86         :    13  3s.3p4.(3P)     4P   "	""
"3s2.3p2.(3P).3d"	"2D"	"3/2"	" 1.6591962"	""	"  53         :    44  3s2.3p2.(1S).3d 2D   "	""
"3s2.3p2.(3P).3d"	"2D"	"5/2"	" 1.6680006"	""	"  53         :    44  3s2.3p2.(1S).3d 2D   "	""
"3s2.3p2.(1D).3d"	"2P"	"3/2"	" 1.6934775"	""	"  73         :    26  3s.3p4.(3P)     2P   "	""
"3s2.3p2.(1D).3d"	"2P"	"1/2"	" 1.6969585"	""	"  76         :    24  3s.3p4.(3P)     2P   "	""
"3s2.3p2.(1D).4s"	"2D"	"5/2"	" 1.7167317"	""	"                                           "	""
"3s2.3p2.(1D).4s"	"2D"	"3/2"	" 1.7172602"	""	"                                           "	""
