ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"973.22"	"500"	"1.3e+09"	"5.5e-01"	E	"0.000000"	"0.93635"	"3s2.3p2"	"3P"	"0"	"3s.3p3"	"3D*"	"1"		"T668LS"	"L480"	
"977.56"	"600"	"1.7e+09"	"4.1e-01"	E	"0.004483"	"0.93666"	"3s2.3p2"	"3P"	"1"	"3s.3p3"	"3D*"	"2"		"T668LS"	"L480"	
"977.90"	"400"	"9.4e+08"	"1.3e-01"	E	"0.004483"	"0.93635"	"3s2.3p2"	"3P"	"1"	"3s.3p3"	"3D*"	"1"		"T668LS"	"L480"	
"984.96"	"700"	"2.3e+09"	"4.7e-01"	E	"0.012228"	"0.93741"	"3s2.3p2"	"3P"	"2"	"3s.3p3"	"3D*"	"3"		"T668LS"	"L480"	
"985.75"	"400"	"5.5e+08"	"8.0e-02"	E	"0.012228"	"0.93666"	"3s2.3p2"	"3P"	"2"	"3s.3p3"	"3D*"	"2"		"T668LS"	"L480"	
"986.10"	""	"6.3e+07"	"5.5e-03"	E	"0.012228"	"0.93635"	"3s2.3p2"	"3P"	"2"	"3s.3p3"	"3D*"	"1"		"T668LS"	""	
"1500.38"	""	"8.0e+06"	"4.5e-03"	E	"2.256073"	"2.86343"	"3s2.3p(2P*)4p"	"3D"	"1"	"3s2.3p(2P*)5s"	"3P*"	"2"		"T1619CA,LS"	""	
"1510.60"	""	"1.2e+08"	"4.1e-02"	D	"2.260181"	"2.86343"	"3s2.3p(2P*)4p"	"3D"	"2"	"3s2.3p(2P*)5s"	"3P*"	"2"		"T1619CA,LS"	""	
"1528.69"	""	"1.9e+08"	"6.7e-02"	D	"2.256073"	"2.85218"	"3s2.3p(2P*)4p"	"3D"	"1"	"3s2.3p(2P*)5s"	"3P*"	"1"		"T1619CA,LS"	""	
"1532.24"	""	"6.3e+08"	"1.6e-01"	D	"2.268701"	"2.86343"	"3s2.3p(2P*)4p"	"3D"	"3"	"3s2.3p(2P*)5s"	"3P*"	"2"		"T1619CA,LS"	""	
