configuration	term	J	energy
2p6.3s2	1S	0	0.0
3s.3p	3P*	0	0.89361
3s.3p	3P*	1	0.8987
3s.3p	3P*	2	0.90928
3s.3p	1P*	1	1.3573
3p2	1D	2	2.0888
3p2	3P	0	2.14044
3p2	3P	1	2.1462
3p2	3P	2	2.15716
3p2	1S	0	2.51499
3s.3d	3D	1	2.54934
3s.3d	3D	2	2.54948
3s.3d	3D	3	2.54976
3s.3d	1D	2	2.92448
3p.3d	3F*	2	3.49587
3p.3d	3F*	3	3.5018
3p.3d	3F*	4	3.50943
3p.3d	1D*	2	3.54906
3s.4s	3S	1	3.7118
3p.3d	3P*	2	3.72712
3p.3d	3P*	1	3.7321
3p.3d	3P*	0	3.73573
3p.3d	3D*	1	3.75207
3p.3d	3D*	2	3.75443
3p.3d	3D*	3	3.7559
3s.4s	1S	0	3.8022
3p.3d	1F*	3	3.993
3p.3d	1P*	1	4.0489
3s.4p	3P*	0	4.12592
3s.4p	3P*	1	4.12753
3s.4p	3P*	2	4.13115
3s.4p	1P*	1	4.17165
3s.4d	3D	1	4.64545
3s.4d	3D	2	4.64578
3s.4d	3D	3	4.64622
3s.4d	1D	2	4.65689
3s.4f	3F*	2	4.82787
3s.4f	3F*	3	4.82788
3s.4f	3F*	4	4.82797
3p.4s	3P*	0	4.87084
3p.4s	3P*	1	4.87518
3p.4s	3P*	2	4.8872
3s.4f	1F*	3	4.88841
3p.4s	1P*	1	4.92716
3d2	3F	3	5.14651
3d2	3F	4	5.14697
3d2	1G	4	5.21134
3p.4p	3D	1	5.22767
3p.4p	3D	2	5.23254
3d2	1D	2	5.24133
3p.4p	3D	3	5.24406
3d2	3P	1	5.26729
3d2	3P	2	5.27155
3s.5g	1G	4	5.6587
3p.4f	1F	3	5.91551
3p.4f	3G	3	5.93539
3p.4f	3G	4	5.93816
3p.4f	3F	2	5.94329
3p.4f	3F	3	5.94718
3p.4f	3G	5	5.94755
3p.4f	3F	4	5.95028
3p.4f	3D	3	5.9915
3p.4f	3D	2	5.99587
3p.4f	3D	1	5.99919
3p.4f	1G	4	6.03346
3p.4f	1D	2	6.04374
