configuration	term	J	energy
3s2.3p4	3P	2	0.0
3s2.3p4	3P	1	0.0063424
3s2.3p4	3P	0	0.0090805
3s2.3p4	1D	2	0.1061952
3s2.3p4	1S	0	0.2540432
3s.3p5	3P*	2	0.8508278
3s.3p5	3P*	1	0.8565898999999999
3s.3p5	3P*	0	0.8596332
3s2.3p3.(4S*).4s	5S*	2	0.9830718
3s2.3p3.(4S*).3d	5D*	4	1.0050988
3s2.3p3.(4S*).3d	5D*	3	1.0051068
3s2.3p3.(4S*).3d	5D*	2	1.0051326999999999
3s2.3p3.(4S*).3d	5D*	1	1.005156
3s2.3p3.(4S*).3d	5D*	0	1.0051687
3s2.3p3.(4S*).4s	3S*	1	1.0261719999999999
3s2.3p3.(2D*).3d	1P*	1	1.0539511000000001
3s2.3p3.(4S*).3d	3D*	2	1.0917008
3s2.3p3.(4S*).3d	3D*	3	1.0918002
3s2.3p3.(4S*).3d	3D*	1	1.0920926000000002
3s2.3p3.(2D*).3d	1S*	0	1.1413245
3s2.3p3.(2D*).3d	3F*	2	1.1485021
3s2.3p3.(2D*).3d	3F*	3	1.150208
3s2.3p3.(2D*).3d	3F*	4	1.1523709999999998
3s2.3p3.(2D*).4s	3D*	1	1.1548187
3s2.3p3.(2D*).4s	3D*	2	1.1549851
3s2.3p3.(2D*).4s	3D*	3	1.1553441999999998
3s2.3p3.(4S*).4p	5P	1	1.1720989
3s2.3p3.(4S*).4p	5P	2	1.1724687
3s2.3p3.(4S*).4p	5P	3	1.1730815
3s2.3p3.(2D*).4s	1D*	2	1.1761447
3s2.3p3.(4S*).4p	3P	1	1.2006501
3s2.3p3.(4S*).4p	3P	2	1.2007643999999997
3s2.3p3.(4S*).4p	3P	0	1.2007712
3s2.3p3.(2D*).3d	3G*	3	1.2043681999999998
3s2.3p3.(2D*).3d	3G*	4	1.2044682
3s2.3p3.(2D*).3d	3G*	5	1.2046323
3s2.3p3.(2D*).3d	1G*	4	1.2246816
3s2.3p3.(2P*).4s	3P*	0	1.2554687
3s2.3p3.(2P*).4s	3P*	1	1.255782
3s2.3p3.(2P*).4s	3P*	2	1.2564493
3s2.3p3.(2P*).3d	1D*	2	1.2632415000000001
3s2.3p3.(2P*).4s	1P*	1	1.278149
3s2.3p3.(2D*).3d	3D*	1	1.2825336
3s2.3p3.(2D*).3d	3D*	2	1.2849921
3s2.3p3.(2D*).3d	3D*	3	1.2880863999999999
3s2.3p3.(2P*).3d	3F*	4	1.3122071000000002
3s2.3p3.(2P*).3d	3F*	3	1.3138322
3s2.3p3.(2P*).3d	3F*	2	1.3153735
3s2.3p3.(2P*).3d	3P*	0	1.3229360000000001
3s2.3p3.(2P*).3d	3P*	1	1.3251758
3s2.3p3.(2D*).4p	1P	1	1.3256216
3s2.3p3.(2P*).3d	3P*	2	1.3305843000000002
3s2.3p3.(2D*).4p	3D	1	1.3334731000000002
3s2.3p3.(2D*).4p	3D	2	1.3335077
3s2.3p3.(2D*).4p	3D	3	1.3347387
3s2.3p3.(2D*).4p	3F	2	1.3400693000000001
3s2.3p3.(2D*).4p	3F	3	1.3407251
3s2.3p3.(2D*).4p	3F	4	1.3413873
3s2.3p3.(2D*).4p	1F	3	1.3450973
3s2.3p3.(2D*).4p	3P	2	1.3650791000000002
3s2.3p3.(2D*).4p	3P	1	1.366483
3s2.3p3.(2D*).4p	3P	0	1.367091
