Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"3d7"	"a 4F"	"9/2"	" 0.0000000"	"0.0000015"	"  99                                                "	"L19543"
"3d7"	"a 4F"	"7/2"	" 0.0076670"	"0.0000015"	"  99                                                "	"L19543"
"3d7"	"a 4F"	"5/2"	" 0.0132255"	"0.0000015"	"  99                                                "	"L19543"
"3d7"	"a 4F"	"3/2"	" 0.0170179"	"0.0000017"	"  99                                                "	"L19543"
"3d7"	"a 4P"	"5/2"	" 0.1385359"	"0.0000015"	"  98                                                "	"L19543"
"3d7"	"a 4P"	"3/2"	" 0.1405955"	"0.0000014"	"  95                                                "	"L19543"
"3d7"	"a 4P"	"1/2"	" 0.1440929"	"0.0000021"	"  97                                                "	"L19543"
"3d7"	"a 2G"	"9/2"	" 0.1547291"	"0.0000011"	"  97                                                "	"L19543"
"3d7"	"a 2G"	"7/2"	" 0.1619219"	"0.0000012"	"  99                                                "	"L19543"
"3d7"	"a 2P"	"3/2"	" 0.1840518"	"0.0000014"	"  83                         :    10  3d7           "	"L19543"
"3d7"	"a 2P"	"1/2"	" 0.1906489"	"0.0000021"	"  97                                                "	"L19543"
"3d7"	"a 2H"	"11/2"	" 0.2070528"	"0.0000022"	"  99                                                "	"L19543"
"3d7"	"a 2D2"	"5/2"	" 0.2101468"	"0.0000012"	"  76                         :    23  3d7           "	"L19543"
"3d7"	"a 2H"	"9/2"	" 0.2135639"	"0.0000014"	"  97                                                "	"L19543"
"3d7"	"a 2D2"	"3/2"	" 0.2208803"	"0.0000015"	"  68                         :    18  3d7           "	"L19543"
"3d7"	"a 2F"	"5/2"	" 0.3373731"	"0.0000018"	"  98                                                "	"L19543"
"3d7"	"a 2F"	"7/2"	" 0.3400653"	"0.0000014"	"  98                                                "	"L19543"
"3d6.(5D).4s"	"a 6D"	"9/2"	" 0.42318224"	"0.00000005"	"  99                                                "	"L19543"
"3d6.(5D).4s"	"a 6D"	"7/2"	" 0.42832945"	"0.00000004"	"  99                                                "	"L19543"
"3d6.(5D).4s"	"a 6D"	"5/2"	" 0.43208653"	"0.00000004"	"  99                                                "	"L19543"
"3d6.(5D).4s"	"a 6D"	"3/2"	" 0.43466765"	"0.00000005"	"  99                                                "	"L19543"
"3d6.(5D).4s"	"a 6D"	"1/2"	" 0.43618122"	"0.00000005"	"  99                                                "	"L19543"
"3d6.(5D).4s"	"a 4D"	"7/2"	" 0.50784423"	"0.00000004"	"  99                                                "	"L19543"
"3d6.(5D).4s"	"a 4D"	"5/2"	" 0.51371718"	"0.00000006"	"  99                                                "	"L19543"
"3d6.(5D).4s"	"a 4D"	"3/2"	" 0.51755358"	"0.00000006"	"  99                                                "	"L19543"
"3d6.(5D).4s"	"a 4D"	"1/2"	" 0.51976024"	"0.00000007"	"  99                                                "	"L19543"
"3d7"	"b 2D1"	"3/2"	" 0.521478"	"0.000003"	"  77                         :    21  3d7           "	"L19543"
"3d7"	"b 2D1"	"5/2"	" 0.525792"	"0.000003"	"  75                         :    23  3d7           "	"L19543"
"3d6.(3P2).4s"	"b 4P"	"5/2"	" 0.64640950"	"0.00000006"	"  62                         :    37  3d6.(3P1).4s  "	"L19543"
"3d6.(3H).4s"	"a 4H"	"13/2"	" 0.65268858"	"0.00000005"	"  99                                                "	"L19543"
"3d6.(3H).4s"	"a 4H"	"11/2"	" 0.654974031"	"0.000000019"	"  98                                                "	"L19543"
"3d6.(3H).4s"	"a 4H"	"9/2"	" 0.65688361"	"0.00000003"	"  96                                                "	"L19543"
"3d6.(3H).4s"	"a 4H"	"7/2"	" 0.65858976"	"0.00000005"	"  97                                                "	"L19543"
"3d6.(3P2).4s"	"b 4P"	"3/2"	" 0.65923852"	"0.00000004"	"  61                         :    36  3d6.(3P1).4s  "	"L19543"
"3d6.(3P2).4s"	"b 4P"	"1/2"	" 0.66719379"	"0.00000008"	"  62                         :    36  3d6.(3P1).4s  "	"L19543"
"3d6.(3F2).4s"	"b 4F"	"9/2"	" 0.66784249"	"0.00000005"	"  73                         :    21  3d6.(3F1).4s  "	"L19543"
"3d6.(3F2).4s"	"b 4F"	"7/2"	" 0.67016019"	"0.00000004"	"  75                         :    20  3d6.(3F1).4s  "	"L19543"
"3d6.(3F2).4s"	"b 4F"	"5/2"	" 0.67185855"	"0.00000005"	"  77                         :    20  3d6.(3F1).4s  "	"L19543"
"3d6.(3F2).4s"	"b 4F"	"3/2"	" 0.67308944"	"0.00000008"	"  80                         :    19  3d6.(3F1).4s  "	"L19543"
"3d6.(3G).4s"	"a 4G"	"11/2"	" 0.69730527"	"0.00000004"	"  76                         :    22  3d6.(3H).4s   "	"L19543"
"3d6.(3P2).4s"	"b 2P"	"3/2"	" 0.69978570"	"0.00000004"	"  60                         :    36  3d6.(3P1).4s  "	"L19543"
"3d6.(3G).4s"	"a 4G"	"9/2"	" 0.70279211"	"0.00000003"	"  84                         :    11  3d6.(3H).4s   "	"L19543"
"3d6.(3G).4s"	"a 4G"	"7/2"	" 0.705177580"	"0.000000022"	"  91                                                "	"L19543"
"3d6.(3H).4s"	"b 2H"	"11/2"	" 0.70543874"	"0.00000003"	"  77                         :    22  3d6.(3G).4s   "	"L19543"
"3d6.(3G).4s"	"a 4G"	"5/2"	" 0.70599080"	"0.00000011"	"  92                                                "	"L19543"
"3d6.(3H).4s"	"b 2H"	"9/2"	" 0.70736449"	"0.00000005"	"  86                         :    10  3d6.(3G).4s   "	"L19543"
"3d6.(3P2).4s"	"b 2P"	"1/2"	" 0.71475797"	"0.00000008"	"  61                         :    36  3d6.(3P1).4s  "	"L19543"
"3d6.(3F2).4s"	"b 2F"	"7/2"	" 0.71925296"	"0.00000003"	"  71                         :    20  3d6.(3F1).4s  "	"L19543"
"3d6.(3F2).4s"	"b 2F"	"5/2"	" 0.72378810"	"0.00000004"	"  75                         :    19  3d6.(3F1).4s  "	"L19543"
"3d6.(3G).4s"	"b 2G"	"9/2"	" 0.75056147"	"0.00000003"	"  97                                                "	"L19543"
"3d6.(3G).4s"	"b 2G"	"7/2"	" 0.75563947"	"0.00000006"	"  96                                                "	"L19543"
"3d6.(3D).4s"	"b 4D"	"3/2"	" 0.76341813"	"0.00000013"	"  98                                                "	"L19543"
"3d6.(3D).4s"	"b 4D"	"1/2"	" 0.7635629"	"0.0000003"	"  99                                                "	"L19543"
"3d6.(3D).4s"	"b 4D"	"5/2"	" 0.76365382"	"0.00000012"	"  98                                                "	"L19543"
"3d6.(3D).4s"	"b 4D"	"7/2"	" 0.76492006"	"0.00000015"	"  99                                                "	"L19543"
"3d6.(1I).4s"	"a 2I"	"13/2"	" 0.77891090"	"0.00000011"	"  99                                                "	"L19543"
"3d6.(1I).4s"	"a 2I"	"11/2"	" 0.77930420"	"0.00000006"	"  99                                                "	"L19543"
