configuration	term	J	energy
3d8	a 3F	4	0.0
3d8	a 3F	3	0.008659989
3d8	a 3F	2	0.01455473
3d7.(4F).4s	a 5F	5	0.030531948
3d7.(4F).4s	a 5F	4	0.03671484
3d7.(4F).4s	a 5F	3	0.041560967
3d7.(4F).4s	a 5F	2	0.045108284
3d7.(4F).4s	a 5F	1	0.047428698
3d7.(4F).4s	b 3F	4	0.08942136
3d7.(4F).4s	b 3F	3	0.097581492
3d7.(4F).4s	b 3F	2	0.10317238
3d8	a 1D	2	0.106174248
3d8	a 3P	2	0.12084028
3d8	a 3P	1	0.122149161
3d8	a 3P	0	0.12387115
3d7.(4P).4s	a 5P	3	0.161945888
3d7.(4P).4s	a 5P	2	0.164314453
3d7.(4P).4s	a 5P	1	0.167113984
3d8	a 1G	4	0.172901322
3d7.(2G).4s	a 3G	5	0.197057199
3d7.(2G).4s	a 3G	4	0.2005639
3d7.(2G).4s	a 3G	3	0.204255324
3d7.(4P).4s	b 3P	2	0.219382257
3d7.(4P).4s	b 3P	1	0.221140656
3d7.(4P).4s	b 3P	0	0.222453765
3d7.(2P).4s	c 3P	2	0.226781563
3d7.(2G).4s	b 1G	4	0.229158448
3d7.(2P).4s	c 3P	1	0.23071019
3d7.(2P).4s	c 3P	0	0.235665706
3d7.(2H).4s	a 3H	6	0.247005714
3d7.(2H).4s	a 3H	5	0.250315837
3d7.(2D2).4s	a 3D	3	0.250456035
3d7.(2P).4s	a 1P	1	0.251374273
3d7.(2H).4s	a 3H	4	0.2542632
3d7.(2D2).4s	a 3D	2	0.256174227
3d7.(2D2).4s	a 3D	1	0.266716721
3d7.(2H).4s	a 1H	5	0.278548576
3d7.(2D2).4s	b 1D	2	0.284309962
3d6.4s2	a 5D	4	0.37084038
3d7.(2F).4s	c 3F	2	0.3715334
3d7.(2F).4s	c 3F	3	0.37252202
3d7.(2F).4s	c 3F	4	0.37405051
3d6.4s2	a 5D	3	0.37648224
3d6.4s2	a 5D	2	0.380346
3d6.4s2	a 5D	1	0.3828108
3d6.4s2	a 5D	0	0.384
