ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1020.74462"	"0.00003"	"2500"	"2.8e+07"	"3.4e-03"	D	"0.000000000"	"0.89274734"	"3d8"	"a 3F"	"4"	"3d7.(4F).5p"	"3F*"	"3"		"T6999"	"L4687c119"	
"1031.54325"	"0.00004"	"540D"	"4.e+06"	"7.e-04"	E	"0.000000000"	"0.883401689"	"3d8"	"a 3F"	"4"	"3d7.(4F).5p"	"5G*"	"5"		"T6999"	"L4687c119"	
"1032.18018"	"0.00007"	"540"	"1.3e+06"	"2.1e-04"	E	"0.000000000"	"0.882856569"	"3d8"	"a 3F"	"4"	"3d7.(4F).5p"	"5G*"	"4"		"T6999"	"L4687c119"	
"1034.22838"	"0.00003"	"1600"	"4.6e+07"	"7.e-03"	D	"0.014554730"	"0.89566288"	"3d8"	"a 3F"	"2"	"3d7.(4F).5p"	"3F*"	"2"		"T6999"	"L4687c119"	
"1034.32546"	"0.00005"	"380"	"1.5e+06"	"3.e-04"	E	"0.014554730"	"0.89558018"	"3d8"	"a 3F"	"2"	"3d7.(4F).5p"	"3G*"	"3"		"T6999"	"L4687c119"	
"1035.77458"	"0.00006"	"1700"	"2.1e+07"	"3.4e-03"	D	"0.008659989"	"0.88845282"	"3d8"	"a 3F"	"3"	"3d7.(4F).5p"	"3D*"	"3"		"T6999"	"L4687c119"	
"1040.44718"	"0.00003"	"570"	"4.e+06"	"9.e-04"	E	"0.008659989"	"0.884501716"	"3d8"	"a 3F"	"3"	"3d7.(4F).5p"	"3F*"	"4"		"T6999"	"L4687c119"	
"1041.92086"	"0.00005"	"580"	"5.e+06"	"9.e-04"	E	"0.000000000"	"0.87460294"	"3d8"	"a 3F"	"4"	"3d7.(4F).5p"	"5F*"	"4"		"T6999"	"L4687c119"	
"1071.48402"	"0.00006"	"690"	"3.1e+06"	"7.e-04"	E	"0.045108284"	"0.89558018"	"3d7.(4F).4s"	"a 5F"	"2"	"3d7.(4F).5p"	"3G*"	"3"		"T6999"	"L4687c119"	
"1076.27401"	"0.00005"	"3500"	"8.e+06"	"1.7e-03"	D	"0.036714840"	"0.883401689"	"3d7.(4F).4s"	"a 5F"	"4"	"3d7.(4F).5p"	"5G*"	"5"		"T6999"	"L4687c119"	
"1079.00040"	"0.00005"	"500"	"2.3e+06"	"4.e-04"	E	"0.045108284"	"0.88965575"	"3d7.(4F).4s"	"a 5F"	"2"	"3d7.(4F).5p"	"5G*"	"2"		"T6999"	"L4687c119"	
"1079.35131"	"0.00012"	"7200"	"1.2e+07"	"2.5e-03"	D	"0.030531948"	"0.874804841"	"3d7.(4F).4s"	"a 5F"	"5"	"3d7.(4F).5p"	"5G*"	"6"		"T6999"	"L4687c119"	
"1081.97314"	"0.00005"	"3600"	"1.6e+07"	"4.8e-03"	D	"0.047428698"	"0.88965575"	"3d7.(4F).4s"	"a 5F"	"1"	"3d7.(4F).5p"	"5G*"	"2"		"T6999"	"L4687c119"	
"1082.41950"	"0.00004"	"3600"	"1.3e+07"	"3.2e-03"	D	"0.045108284"	"0.88698803"	"3d7.(4F).4s"	"a 5F"	"2"	"3d7.(4F).5p"	"5G*"	"3"		"T6999"	"L4687c119"	
"1083.17106"	"0.00005"	"3700"	"9.e+06"	"2.0e-03"	D	"0.041560967"	"0.882856569"	"3d7.(4F).4s"	"a 5F"	"3"	"3d7.(4F).5p"	"5G*"	"4"		"T6999"	"L4687c119"	
"1084.50923"	"0.00006"	"3700"	"5.e+06"	"1.2e-03"	E	"0.036714840"	"0.876972372"	"3d7.(4F).4s"	"a 5F"	"4"	"3d7.(4F).5p"	"3G*"	"5"		"T6999"	"L4687c119"	
"1087.57607"	"0.00005"	"3700"	"1.2e+07"	"2.1e-03"	D	"0.036714840"	"0.87460294"	"3d7.(4F).4s"	"a 5F"	"4"	"3d7.(4F).5p"	"5F*"	"4"		"T6999"	"L4687c119"	
