configuration	term	J	energy
3p6.3d7.4s2	a 4F	9/2	0.0
3p6.3d7.4s2	a 4F	7/2	0.0074359
3p6.3d7.4s2	a 4F	5/2	0.0128201
3p6.3d7.4s2	a 4F	3/2	0.016487799999999997
3p6.3d8.(3F).4s	b 4F	9/2	0.0317378
3p6.3d8.(3F).4s	b 4F	7/2	0.0377507
3p6.3d8.(3F).4s	b 4F	5/2	0.0427401
3p6.3d8.(3F).4s	b 4F	3/2	0.0462544
3p6.3d8.(3F).4s	a 2F	7/2	0.0678202
3p6.3d8.(3F).4s	a 2F	5/2	0.0771006
3p6.3d7.4s2	a 4P	5/2	0.12571400000000002
3p6.3d7.4s2	a 4P	3/2	0.127908
3p6.3d7.4s2	a 4P	1/2	0.1312159
3p6.3d8.(3P).4s	b 4P	5/2	0.1383672
3p6.3d8.(3P).4s	b 4P	3/2	0.14374360000000003
3p6.3d8.(3P).4s	b 4P	1/2	0.1475859
3p6.3d7.4s2	a 2G	9/2	0.1500665
3p6.3d8.(1D).4s	a 2D	3/2	0.1500912
3p6.3d8.(1D).4s	a 2D	5/2	0.1528938
3p6.3d7.4s2	a 2G	7/2	0.15704479999999998
3p6.3d8.(3P).4s	a 2P	3/2	0.1675781
3p6.3d8.(3P).4s	a 2P	1/2	0.1710905
3p6.3d7.4s2	b 2P	3/2	0.18681620000000002
3p6.3d7.4s2	b 2P	1/2	0.1933335
3p6.3d7.4s2	a 2H	11/2	0.19847820000000002
3p6.3d7.4s2	b 2D	5/2	0.1997506
3p6.3d7.4s2	a 2H	9/2	0.2048106
3p6.3d7.4s2	b 2D	3/2	0.2109817
3p6.3d8.(1G).4s	b 2G	9/2	0.21127020000000002
3p6.3d8.(1G).4s	b 2G	7/2	0.21148470000000003
3p6.3d7.(4F).4s.4p.(3P*)	z 6F*	11/2	0.21516639999999998
3p6.3d7.(4F).4s.4p.(3P*)	z 6F*	9/2	0.2173884
3p6.3d7.(4F).4s.4p.(3P*)	z 6F*	7/2	0.22167579999999998
3p6.3d7.(4F).4s.4p.(3P*)	z 6D*	9/2	0.22442489999999998
3p6.3d7.(4F).4s.4p.(3P*)	z 6F*	5/2	0.2253862
3p6.3d7.(4F).4s.4p.(3P*)	z 6F*	3/2	0.22819179999999997
3p6.3d7.(4F).4s.4p.(3P*)	z 6G*	13/2	0.2290823
3p6.3d7.(4F).4s.4p.(3P*)	z 6F*	1/2	0.22993809999999998
3p6.3d7.(4F).4s.4p.(3P*)	z 6D*	7/2	0.2302703
3p6.3d7.(4F).4s.4p.(3P*)	z 6G*	11/2	0.23299899999999998
3p6.3d7.(4F).4s.4p.(3P*)	z 6D*	5/2	0.23455949999999998
3p6.3d7.(4F).4s.4p.(3P*)	z 6G*	9/2	0.2363607
3p6.3d7.(4F).4s.4p.(3P*)	z 6D*	3/2	0.2375045
3p6.3d7.(4F).4s.4p.(3P*)	z 6G*	7/2	0.239044
3p6.3d7.(4F).4s.4p.(3P*)	z 6D*	1/2	0.2392121
3p6.3d7.(4F).4s.4p.(3P*)	z 6G*	5/2	0.24103029999999998
3p6.3d7.(4F).4s.4p.(3P*)	z 6G*	3/2	0.24237550000000002
