ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2288.513"	""	"8.6e+07"	"6.8e-02"	D	"0.0377507"	"0.4359424"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	""	"6*"	"7/2"		"T4223"	""	
"2295.936"	""	"2.2e+07"	"1.4e-02"	C	"0.0000000"	"0.3969044"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d8.(1D).4p"	"x 2F*"	"7/2"		"T4223"	""	
"2309.718"	"2600"	"5.6e+07"	"4.5e-02"	C+	"0.0000000"	"0.3945360"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"w 4F*"	"9/2"		"T4223"	"L3475"	
"2323.853"	"2400"	"5.0e+07"	"4.0e-02"	C	"0.0074359"	"0.3995722"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"*"	"7/2"		"T4223"	"L3475"	
"2326.251"	""	"1.1e+07"	"1.2e-02"	D	"0.0128201"	"0.4045522"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"w 4G*"	"7/2"		"T4223"	""	
"2336.717"	"1400"	"5.1e+07"	"4.2e-02"	C	"0.0128201"	"0.4027975"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"*"	"5/2"		"T4223"	"L3475"	
"2339.379"	"1600"	"7.7e+07"	"6.3e-02"	D	"0.0164878"	"0.4060215"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"w 4F*"	"3/2"		"T4223"	"L3475"	
"2354.087"	"2000"	"1.5e+07"	"1.6e-02"	D	"0.0074359"	"0.3945360"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"w 4F*"	"9/2"		"T4223"	"L3475"	
"2356.204"	""	"1.3e+07"	"1.4e-02"	D	"0.0128201"	"0.3995722"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"*"	"7/2"		"T4223"	""	
"2358.903"	""	"1.4e+07"	"1.8e-02"	D	"0.0164878"	"0.4027975"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"*"	"5/2"		"T4223"	""	
"2365.782"	""	"1.3e+07"	"1.1e-02"	C	"0.0000000"	"0.3851864"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4G*"	"9/2"		"T4223"	""	
"2372.570"	""	"7.3e+06"	"8.2e-03"	D	"0.0128201"	"0.3969044"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d8.(1D).4p"	"x 2F*"	"7/2"		"T4223"	""	
"2385.587"	"1400"	"2.4e+07"	"1.6e-02"	C	"0.0000000"	"0.3819887"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4F*"	"7/2"		"T4223"	"L3475"	
"2392.756"	""	"4.0e+07"	"3.4e-02"	D	"0.0128201"	"0.3936642"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4G*"	"5/2"		"T4223"	""	
"2402.793"	"1100bl"	"5.1e+07"	"3.3e-02"	C	"0.0074359"	"0.3866892"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4F*"	"5/2"		"T4223"	"L3475"	
"2407.983"	"5300"	"3.6e+08"	"3.8e-01"	C	"0.0000000"	"0.3784358"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4G*"	"11/2"		"T4223"	"L3475"	
"2413.499"	"1600"	"6.5e+07"	"8.5e-02"	C	"0.0164878"	"0.3940588"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d7.(4P).4s.4p.(3P*)"	"w 4D*"	"5/2"		"T4223"	"L3475"	
"2415.191"	"4800"	"3.4e+08"	"4.0e-01"	C	"0.0128201"	"0.3901265"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4G*"	"7/2"		"T4223"	"L3475"	
"2416.024"	"4800"	"3.6e+08"	"4.7e-01"	C+	"0.0164878"	"0.3936642"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4G*"	"5/2"		"T4223"	"L3475"	
"2425.668"	"4100"	"3.2e+08"	"2.8e-01"	C	"0.0000000"	"0.3756768"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4F*"	"9/2"		"T4223"	"L3475"	
"2429.963"	""	"4.7e+06"	"3.1e-03"	D	"0.0074359"	"0.3824487"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d8.(3P).4p"	"z 4P*"	"5/2"		"T4223"	""	
"2432.947"	"3300"	"2.6e+08"	"2.3e-01"	D	"0.0074359"	"0.3819887"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4F*"	"7/2"		"T4223"	"L3475"	
"2436.562"	""	"1.9e+06"	"1.4e-03"	D	"0.0000000"	"0.3739970"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4P).4s.4p.(3P*)"	"6P*"	"7/2"		"T4223"	""	
