ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"582.418"	""	"1.1e+01"	""	E	"0.000000"	"1.564628"	"3p6.3d2"	"3F"	"2"	"3p6.3d.4s"	"1D"	"2"	E2	"T1610"	""	
"584.147"	""	"8.8e+01"	""	E	"0.004631"	"1.564628"	"3p6.3d2"	"3F"	"3"	"3p6.3d.4s"	"1D"	"2"	E2	"T1610"	""	
"586.316"	""	"1.6e+01"	""	E	"0.010404"	"1.564628"	"3p6.3d2"	"3F"	"4"	"3p6.3d.4s"	"1D"	"2"	E2	"T1610"	""	
"594.921"	""	"2.7e+02"	""	E	"0.000000"	"1.531744"	"3p6.3d2"	"3F"	"2"	"3p6.3d.4s"	"3D"	"3"	E2	"T1610"	""	
"596.725"	""	"2.9e+03"	""	E	"0.004631"	"1.531744"	"3p6.3d2"	"3F"	"3"	"3p6.3d.4s"	"3D"	"3"	E2	"T1610"	""	
"597.047"	""	"3.8e+03"	""	E	"0.000000"	"1.526290"	"3p6.3d2"	"3F"	"2"	"3p6.3d.4s"	"3D"	"2"	E2	"T1610"	""	
"598.171"	""	"8.8e+03"	""	E	"0.000000"	"1.523423"	"3p6.3d2"	"3F"	"2"	"3p6.3d.4s"	"3D"	"1"	E2	"T1610"	""	
"598.864"	""	"6.5e+03"	""	E	"0.004631"	"1.526290"	"3p6.3d2"	"3F"	"3"	"3p6.3d.4s"	"3D"	"2"	E2	"T1610"	""	
"598.990"	""	"1.0e+04"	""	E	"0.010404"	"1.531744"	"3p6.3d2"	"3F"	"4"	"3p6.3d.4s"	"3D"	"3"	E2	"T1610"	""	
"599.994"	""	"4.3e+03"	""	E	"0.004631"	"1.523423"	"3p6.3d2"	"3F"	"3"	"3p6.3d.4s"	"3D"	"1"	E2	"T1610"	""	
"601.145"	""	"2.7e+03"	""	E	"0.010404"	"1.526290"	"3p6.3d2"	"3F"	"4"	"3p6.3d.4s"	"3D"	"2"	E2	"T1610"	""	
"630.875"	""	"6.8e+03"	""	E	"0.120178"	"1.564628"	"3p6.3d2"	"1D"	"2"	"3p6.3d.4s"	"1D"	"2"	E2	"T1610"	""	
"640.179"	""	"1.0e+01"	""	E	"0.141172"	"1.564628"	"3p6.3d2"	"3P"	"0"	"3p6.3d.4s"	"1D"	"2"	E2	"T1610"	""	
"640.937"	""	"4.0e+00"	""	E	"0.142856"	"1.564628"	"3p6.3d2"	"3P"	"1"	"3p6.3d.4s"	"1D"	"2"	E2	"T1610"	""	
