configuration	term	J	energy
3s2.3p3	4S*	3/2	0.0
3s2.3p3	2D*	3/2	0.33811
3s2.3p3	2D*	5/2	0.3595
3s2.3p3	2P*	1/2	0.58262
3s2.3p3	2P*	3/2	0.61198
3s.3p4	4P	5/2	2.1314
3s.3p4	4P	3/2	2.18692
3s.3p4	4P	1/2	2.21367
3s.3p4	2D	3/2	2.63937
3s.3p4	2D	5/2	2.6482
3s.3p4	2P	3/2	3.03827
3s.3p4	2P	1/2	3.0743
3s.3p4	2S	1/2	3.1781
3s2.3p2.(3P).3d	2P	3/2	3.9442
3s2.3p2.(3P).3d	2P	1/2	4.0175
3s2.3p2.(3P).3d	4P	5/2	4.0279
3s2.3p2.(3P).3d	4P	3/2	4.0548
3s2.3p2.(3P).3d	4P	1/2	4.0707
3s2.3p2.(1D).3d	2D	5/2	4.3438
3s2.3p2.(1D).3d	2D	3/2	4.3451
3s2.3p2.(1D).3d	2P	1/2	4.4802
3s2.3p2.(1D).3d	2P	3/2	4.5238
3s2.3p2.(3P).3d	2F	7/2	4.5644
3s2.3p2.(3P).3d	2D	5/2	4.732
3s2.3p2.(3P).3d	2D	3/2	4.7461
3s2.3p2.(3P).4s	4P	1/2	8.461
3s2.3p2.(3P).4s	4P	3/2	8.506
3s2.3p2.(3P).4s	4P	5/2	8.558
3s2.3p2.(3P).4s	2P	1/2	8.596
3s2.3p2.(3P).4s	2P	3/2	8.655
3s2.3p2.(1D).4s	2D	5/2	8.81
3s2.3p2.(1D).4s	2D	3/2	8.819
