Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d5"	"a 6S"	"5/2"	" 0.000000000"	"0.000000006"	""	"                                         "	"L18847"
"3d4.(5D).4s"	"a 6D"	"1/2"	" 0.109003454"	"0.000000005"	"3.323"	"                                         "	"L18847,L7185"
"3d4.(5D).4s"	"a 6D"	"3/2"	" 0.109648615"	"0.000000005"	"1.867"	"                                         "	"L18847,L7185"
"3d4.(5D).4s"	"a 6D"	"5/2"	" 0.110698637"	"0.000000005"	"1.669"	"                                         "	"L18847,L7185"
"3d4.(5D).4s"	"a 6D"	"7/2"	" 0.112120658"	"0.000000005"	"1.578"	"                                         "	"L18847,L7185"
"3d4.(5D).4s"	"a 6D"	"9/2"	" 0.113876091"	"0.000000005"	"1.554"	"                                         "	"L18847,L7185"
"3d4.(5D).4s"	"a 4D"	"1/2"	" 0.177954319"	"0.000000005"	"0.000"	"                                         "	"L18847,L7185"
"3d4.(5D).4s"	"a 4D"	"3/2"	" 0.178892710"	"0.000000005"	"1.192"	"                                         "	"L18847,L7185"
"3d4.(5D).4s"	"a 4D"	"5/2"	" 0.180411369"	"0.000000005"	"1.370"	"                                         "	"L18847,L7185"
"3d4.(5D).4s"	"a 4D"	"7/2"	" 0.182472221"	"0.000000005"	"1.427"	"                                         "	"L18847,L7185"
"3d5"	"a 4G"	"5/2"	" 0.186919672"	"0.000000005"	"0.599"	"                                         "	"L18847,L7185"
"3d5"	"a 4G"	"11/2"	" 0.186919971"	"0.000000006"	"1.278"	"                                         "	"L18847,L7185"
"3d5"	"a 4G"	"7/2"	" 0.186971878"	"0.000000005"	"0.994"	"                                         "	"L18847,L7185"
"3d5"	"a 4G"	"9/2"	" 0.186985341"	"0.000000005"	"1.161"	"                                         "	"L18847,L7185"
"3d5"	"a 4P"	"5/2"	" 0.198861290"	"0.000000005"	"1.590"	"                                         "	"L18847,L7185"
"3d5"	"a 4P"	"1/2"	" 0.198872370"	"0.000000005"	"2.693"	"                                         "	"L18847,L7185"
"3d5"	"a 4P"	"3/2"	" 0.198876202"	"0.000000005"	"1.717"	"                                         "	"L18847,L7185"
"3d5"	"b 4D"	"7/2"	" 0.228123567"	"0.000000005"	"1.432"	"                                         "	"L18847,L7185"
"3d5"	"b 4D"	"1/2"	" 0.228138838"	"0.000000007"	"-0.045"	"                                         "	"L18847,L7185"
"3d5"	"b 4D"	"3/2"	" 0.228206416"	"0.000000005"	"1.207"	"                                         "	"L18847,L7185"
"3d5"	"b 4D"	"5/2"	" 0.228242456"	"0.000000005"	"1.381"	"                                         "	"L18847,L7185"
"3d4.(a 3P).4s"	"b 4P"	"1/2"	" 0.272941032"	"0.000000009"	"2.685"	"                                         "	"L18847,L7185"
"3d5"	"a 2I"	"11/2"	" 0.274685477"	"0.000000008"	""	"                                         "	"L18847"
"3d5"	"a 2I"	"13/2"	" 0.274745874"	"0.000000009"	""	"                                         "	"L18847"
"3d4.(3H).4s"	"a 4H"	"7/2"	" 0.274808380"	"0.000000006"	"0.667"	"                                         "	"L18847,L7185"
"3d4.(3H).4s"	"a 4H"	"9/2"	" 0.275373773"	"0.000000005"	"0.978"	"                                         "	"L18847,L7185"
"3d4.(3H).4s"	"a 4H"	"11/2"	" 0.276099955"	"0.000000006"	"1.162"	"                                         "	"L18847,L7185"
"3d4.(a 3P).4s"	"b 4P"	"3/2"	" 0.276181051"	"0.000000005"	"1.756"	"                                         "	"L18847,L7185"
"3d4.(3H).4s"	"a 4H"	"13/2"	" 0.276950743"	"0.000000005"	"1.234"	"                                         "	"L18847,L7185"
"3d4.(a 3P).4s"	"b 4P"	"5/2"	" 0.281257406"	"0.000000005"	"1.572"	"                                         "	"L18847,L7185"
"3d4.(a 3F).4s"	"a 4F"	"3/2"	" 0.283248082"	"0.000000006"	"0.418"	"                                         "	"L18847,L7185"
"3d4.(a 3F).4s"	"a 4F"	"5/2"	" 0.283561933"	"0.000000005"	"1.032"	"                                         "	"L18847,L7185"
"3d4.(a 3F).4s"	"a 4F"	"7/2"	" 0.284028959"	"0.000000005"	"1.246"	"                                         "	"L18847,L7185"
"3d4.(a 3F).4s"	"a 4F"	"9/2"	" 0.284491488"	"0.000000005"	"1.340"	"                                         "	"L18847,L7185"
