configuration	term	J	energy
3d5	a 6S	5/2	0.0
3d4.(5D).4s	a 6D	1/2	0.109003454
3d4.(5D).4s	a 6D	3/2	0.109648615
3d4.(5D).4s	a 6D	5/2	0.11069863699999999
3d4.(5D).4s	a 6D	7/2	0.11212065800000001
3d4.(5D).4s	a 6D	9/2	0.113876091
3d4.(5D).4s	a 4D	1/2	0.17795431899999997
3d4.(5D).4s	a 4D	3/2	0.17889271
3d4.(5D).4s	a 4D	5/2	0.180411369
3d4.(5D).4s	a 4D	7/2	0.18247222100000002
3d5	a 4G	5/2	0.18691967199999998
3d5	a 4G	11/2	0.18691997100000002
3d5	a 4G	7/2	0.186971878
3d5	a 4G	9/2	0.18698534100000003
3d5	a 4P	5/2	0.19886129
3d5	a 4P	1/2	0.19887237
3d5	a 4P	3/2	0.198876202
3d5	b 4D	7/2	0.228123567
3d5	b 4D	1/2	0.228138838
3d5	b 4D	3/2	0.22820641600000002
3d5	b 4D	5/2	0.228242456
3d4.(a 3P).4s	b 4P	1/2	0.272941032
3d5	a 2I	11/2	0.274685477
3d5	a 2I	13/2	0.274745874
3d4.(3H).4s	a 4H	7/2	0.27480838
3d4.(3H).4s	a 4H	9/2	0.275373773
3d4.(3H).4s	a 4H	11/2	0.276099955
3d4.(a 3P).4s	b 4P	3/2	0.276181051
3d4.(3H).4s	a 4H	13/2	0.276950743
3d4.(a 3P).4s	b 4P	5/2	0.281257406
3d4.(a 3F).4s	a 4F	3/2	0.283248082
3d4.(a 3F).4s	a 4F	5/2	0.283561933
3d4.(a 3F).4s	a 4F	7/2	0.28402895899999997
3d4.(a 3F).4s	a 4F	9/2	0.284491488
