ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2011.81901"	"0.00004"	"16"	"8.33e+05"	"5.06e-04"		"0.000000000"	"0.452956776"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 4P*"	"5/2"		"T7574"	"L18847"	
"2014.26885"	"0.00004"	"6"	"1.57e+05"	"1.27e-04"		"0.000000000"	"0.452405870"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6D*"	"7/2"		"T7574"	"L18847"	
"2017.57291"	"0.00004"	"3"	"2.82e+05"	"1.15e-04"		"0.000000000"	"0.451664992"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6D*"	"3/2"		"T7574"	"L18847"	
"2026.27127"	"0.00004"	"57"	"2.11e+06"	"1.30e-03"		"0.000000000"	"0.449726087"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6D*"	"5/2"		"T7574"	"L18847"	
"2040.57283"	"0.00004"	"81"	"3.52e+06"	"1.47e-03"		"0.000000000"	"0.446574137"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 4P*"	"3/2"		"T7574"	"L18847"	
"2056.25676"	"0.00004"	"3200"	"1.22e+08"	"1.03e-01"	B+	"0.000000000"	"0.443167930"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6P*"	"7/2"		"T7574"	"L18847"	
"2062.23593"	"0.00004"	"2500"	"1.19e+08"	"7.59e-02"	B+	"0.000000000"	"0.441883024"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6P*"	"5/2"		"T7574"	"L18847"	
"2066.16385"	"0.00004"	"1700"	"1.20e+08"	"5.12e-02"	B+	"0.000000000"	"0.441042974"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 6P*"	"3/2"		"T7574"	"L18847"	
"2654.37049"	"0.00006"	"840"	"3.5e+07"	"5.5e-02"	D	"0.109648615"	"0.452956776"	"3d4.(5D).4s"	"a 6D"	"3/2"	"3d4.(5D).4p"	"z 4P*"	"5/2"		"T3683"	"L18847"	
"2659.37944"	"0.00006"	"950"	"5.8e+07"	"1.2e-01"	D	"0.109003454"	"0.451664992"	"3d4.(5D).4s"	"a 6D"	"1/2"	"3d4.(5D).4p"	"z 6D*"	"3/2"		"T3683"	"L18847"	
"2666.80644"	"0.00006"	"2500"	"5.9e+07"	"8.4e-02"	D	"0.110698637"	"0.452405870"	"3d4.(5D).4s"	"a 6D"	"5/2"	"3d4.(5D).4p"	"z 6D*"	"7/2"		"T3683"	"L18847"	
"2669.50229"	"0.00006"	"1100"	"1.4e+08"	"7.5e-02"	D	"0.109648615"	"0.451010769"	"3d4.(5D).4s"	"a 6D"	"3/2"	"3d4.(5D).4p"	"z 6D*"	"1/2"		"T3683"	"L18847"	
"2672.60109"	"0.00006"	"1700"	"1.0e+08"	"7.1e-02"	D	"0.110698637"	"0.451664992"	"3d4.(5D).4s"	"a 6D"	"5/2"	"3d4.(5D).4p"	"z 6D*"	"3/2"		"T3683"	"L18847"	
"2673.62231"	"0.00006"	"1200"	"5.5e+07"	"4.4e-02"	D	"0.112120658"	"0.452956776"	"3d4.(5D).4s"	"a 6D"	"7/2"	"3d4.(5D).4p"	"z 4P*"	"5/2"		"T3683"	"L18847"	
"2740.90592"	"0.00007"	"120"	"1.1e+07"	"1.7e-02"	D	"0.110698637"	"0.443167930"	"3d4.(5D).4s"	"a 6D"	"5/2"	"3d4.(5D).4p"	"z 6P*"	"7/2"		"T3683"	"L18847"	
