configuration	term	J	energy
3d5.(6S).4s	a 7S	3	0.0
3d5.(6S).4s	a 5S	2	0.06919385900000001
3d4.4s2	a 5D	0	0.070629999
3d4.4s2	a 5D	1	0.07117706
3d4.4s2	a 5D	2	0.072240158
3d4.4s2	a 5D	3	0.073768746
3d4.4s2	a 5D	4	0.075704196
3d5.(4G).4s	a 5G	2	0.186968508
3d5.(4G).4s	a 5G	6	0.186987912
3d5.(4G).4s	a 5G	3	0.187000227
3d5.(4G).4s	a 5G	4	0.187025069
3d5.(4G).4s	a 5G	5	0.187027537
3d5.(4P).4s	a 5P	3	0.199028101
3d5.(4P).4s	a 5P	2	0.199092121
3d5.(4P).4s	a 5P	1	0.19917499
3d4.4s2	a 3P	0	0.211078796
3d5.(6S).4p	z 7P*	2	0.21237081
3d5.(6S).4p	z 7P*	3	0.213112028
3d5.(6S).4p	z 7P*	4	0.21413696399999999
3d4.4s2	a 3P	1	0.21425687100000002
3d4.4s2	a 3H	4	0.218101345
3d4.4s2	a 3H	5	0.21921477
3d4.4s2	a 3P	2	0.21955264800000002
3d4.4s2	a 3H	6	0.22052843100000002
3d5.(4D).4s	b 5D	0	0.22122879899999998
3d5.(4D).4s	b 5D	4	0.22127704199999998
3d5.(4D).4s	b 5D	1	0.22131525300000002
3d5.(4D).4s	b 5D	2	0.221436453
3d5.(4D).4s	b 5D	3	0.221473455
3d5.(4G).4s	a 3G	3	0.226302198
3d5.(4G).4s	a 3G	4	0.22688238100000002
3d4.4s2	a 3F	2	0.227275415
3d4.(5D).4s.4p.(3P*)	z 7F*	0	0.22755333
3d4.(5D).4s.4p.(3P*)	z 7F*	1	0.227913719
3d5.(4G).4s	a 3G	5	0.228167583
3d4.(5D).4s.4p.(3P*)	z 7F*	2	0.22863006600000002
3d4.4s2	a 3F	3	0.228785397
3d4.4s2	a 3F	4	0.22943293
3d4.(5D).4s.4p.(3P*)	z 7F*	3	0.229693955
3d4.(5D).4s.4p.(3P*)	z 7F*	4	0.23109380699999998
3d4.(5D).4s.4p.(3P*)	z 7F*	5	0.23281605800000002
3d4.(5D).4s.4p.(3P*)	z 7F*	6	0.23484643
3d5.(6S).4p	z 5P*	3	0.244105333
3d5.(6S).4p	z 5P*	2	0.24418557100000002
3d5.(6S).4p	z 5P*	1	0.24423689199999998
3d5.(4P).4s	b 3P	0	0.247528428
3d5.(4P).4s	b 3P	1	0.24764691100000003
3d5.(4P).4s	b 3P	2	0.248073698
