ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2000.6016"	"0.0020"	"35"	"1.4e+08"	"8.4e-02"	D	"0.075704196"	"0.5312007"	"3d4.4s2"	"a 5D"	"4"	"3d4.4s.5p"	"r 5D*"	"4"		"T3196"	"L808"	
"2095.593"	"0.007"	"12h"	"1.2e+06"	"1.0e-03"	C	"0.000000000"	"0.4348492"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).6p"	"w 7P*"	"4"		"T3196"	"L808"	
"2096.069"	"0.006"	"10h"	"1.1e+06"	"7.2e-04"	C	"0.000000000"	"0.4347505"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).6p"	"w 7P*"	"3"		"T3196"	"L808"	
"2096.50"	"0.09"	"8h"	"1.1e+06"	"5.2e-04"	C	"0.000000000"	"0.434662"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).6p"	"w 7P*"	"2"		"T3196"	"L808"	
"2355.02987"	"0.00008"	"15"	"8.1e+06"	"8.7e-03"	D	"0.073768746"	"0.460713754"	"3d4.4s2"	"a 5D"	"3"	"3d5.(4D).4p"	"u 5D*"	"4"		"T3196"	"L808"	
"2365.454"	"0.013"	"150r"	"5.3e+06"	"5.7e-03"	C	"0.000000000"	"0.3852399"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).5p"	"x 7P*"	"4"		"T3196"	"L808"	
"2366.6417"	"0.0004"	"8"	"5.5e+06"	"4.6e-03"	C	"0.000000000"	"0.38504647"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).5p"	"x 7P*"	"3"		"T3196"	"L14866"	
"2367.5388"	"0.0004"	"8"	"6.9e+06"	"4.1e-03"	C	"0.000000000"	"0.38490058"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).5p"	"x 7P*"	"2"		"T3196"	"L14866"	
"2375.78279"	"0.00017"	"5"	"1.7e+07"	"8.6e-03"	E	"0.072240158"	"0.45580513"	"3d4.4s2"	"a 5D"	"2"	"3d5.(4D).4p"	"s 5F*"	"1"		"T3196"	"L808"	
"2384.03348"	"0.00014"	"4"	"4.1e+07"	"4.3e-02"	D	"0.075704196"	"0.45794172"	"3d4.4s2"	"a 5D"	"4"	"3d5.(4D).4p"	"s 5F*"	"5"		"T3196"	"L14866"	
"2386.457"	"0.009"	"7wh"	"1.7e+07"	"1.5e-02"	D	"0.075704196"	"0.4575536"	"3d4.4s2"	"a 5D"	"4"	"3d5.(4D).4p"	"s 5F*"	"4"		"T3196"	"L808"	
"2389.94638"	"0.00009"	"3w"	"2.3e+07"	"3.3e-02"	D	"0.071177060"	"0.452468899"	"3d4.4s2"	"a 5D"	"1"	"3d5.(4D).4p"	"x 3F*"	"2"		"T3196"	"L808"	
"2409.35671"	"0.00015"	"8"	"6.7e+07"	"4.5e-02"	D	"0.075704196"	"0.45392426"	"3d4.4s2"	"a 5D"	"4"	"3d5.(4D).4p"	"t 5P*"	"3"		"T3196"	"L14866"	
