Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"3d6"	"5D"	"4"	""	"0.000000"	""	""	" 100                                        "	"L10559"
"3d6"	"5D"	"3"	""	"0.010897"	""	""	" 100                                        "	""
"3d6"	"5D"	"2"	""	"0.018105"	""	""	" 100                                        "	""
"3d6"	"5D"	"1"	""	"0.022687"	""	""	"  99                                        "	""
"3d6"	"5D"	"0"	""	"0.024909"	""	""	"  99                                        "	""
"3d6"	"3P2"	"2"	""	"0.266865"	""	""	"  62             :    37  3d6          3P1  "	""
"3d6"	"3H"	"6"	""	"0.277186"	""	""	"  99             :     1  3d6          1I   "	""
"3d6"	"3H"	"5"	""	"0.282577"	""	""	"  96             :     4  3d6          3G   "	""
"3d6"	"3H"	"4"	""	"0.285114"	""	""	"  81             :     8  3d6          3F2  "	""
"3d6"	"3P2"	"1"	""	"0.297847"	""	""	"  63             :    36  3d6          3P1  "	""
"3d6"	"3F2"	"4"	""	"0.298495"	""	""	"  63             :    18  3d6          3F1  "	""
"3d6"	"3F2"	"3"	""	"0.303414"	""	""	"  74             :    20  3d6          3F1  "	""
"3d6"	"3F2"	"2"	""	"0.307458"	""	""	"  80             :    19  3d6          3F1  "	""
"3d6"	"3P2"	"0"	""	"0.308626"	""	""	"  62             :    35  3d6          3P1  "	""
"3d6"	"3G"	"5"	""	"0.340614"	""	""	"  96             :     4  3d6          3H   "	""
"3d6"	"3G"	"4"	""	"0.350554"	""	""	"  91             :     5  3d6          3F2  "	""
"3d6"	"3G"	"3"	""	"0.354550"	""	""	"  94             :     5  3d6          3F2  "	""
"3d6"	"1I"	"6"	""	"0.422881"	""	""	"  99             :     1  3d6          3H   "	""
"3d6"	"3D"	"2"	""	"0.425691"	""	""	"  96             :     2  3d6          1D2  "	""
"3d6"	"3D"	"1"	""	"0.426913"	""	""	" 100                                        "	""
"3d6"	"3D"	"3"	""	"0.429381"	""	""	"  99                                        "	""
"3d6"	"1G2"	"4"	""	"0.433869"	""	""	"  65             :    32  3d6          1G1  "	""
"3d6"	"1S2"	"0"	""	"0.490140"	""	""	"  75             :    22  3d6          1S1  "	""
"3d6"	"1D2"	"2"	""	"0.498892"	""	""	"  75             :    21  3d6          1D1  "	""
"3d6"	"1F"	"3"	""	"0.592028"	""	""	"  98             :     1  3d6          3F1  "	""
"3d6"	"3P1"	"0"	""	"0.680826"	""	""	"  64             :    35  3d6          3P2  "	""
"3d6"	"3P1"	"1"	""	"0.690504"	""	""	"  63             :    37  3d6          3P2  "	""
"3d6"	"3F1"	"2"	""	"0.702997"	""	""	"  80             :    19  3d6          3F2  "	""
"3d6"	"3F1"	"4"	""	"0.703715"	""	""	"  77             :    22  3d6          3F2  "	""
"3d6"	"3F1"	"3"	""	"0.705939"	""	""	"  78             :    20  3d6          3F2  "	""
"3d6"	"3P1"	"2"	""	"0.709957"	""	""	"  62             :    38  3d6          3P2  "	""
"3d6"	"1G1"	"4"	""	"0.797412"	""	""	"  66             :    33  3d6          3G   "	""
"3d6"	"1D1"	"2"	""	"1.066951"	""	""	"  78             :    22  3d6          1D2  "	""
"3d5.(6S).4s"	"7S"	"3"	""	"2.286156"	""	""	" 100                                        "	""
"3d5.(6S).4s"	"5S"	"2"	""	"2.420682"	""	""	" 100                                        "	""
"3d5.(4G).4s"	"5G"	"6"	""	"2.725992"	""	""	" 100                                        "	""
"3d5.(4G).4s"	"5G"	"2"	""	"2.726972"	""	""	"  99                                        "	""
"3d5.(4G).4s"	"5G"	"5"	""	"2.727021"	""	""	" 100                                        "	""
"3d5.(4G).4s"	"5G"	"3"	""	"2.727259"	""	""	"  99                                        "	""
"3d5.(4G).4s"	"5G"	"4"	""	"2.727358"	""	""	" 100                                        "	""
"3d5.(4G).4s"	"3G"	"5"	""	"2.815792"	""	""	" 100                                        "	""
"3d5.(4G).4s"	"3G"	"3"	""	"2.816235"	""	""	"  84             :    14  3d5.(4D).4s  5D   "	""
"3d5.(4G).4s"	"3G"	"4"	""	"2.816825"	""	""	"  98                                        "	""
"3d5.(2I).4s"	"3I"	"5"	""	"2.941496"	""	""	"  98                                        "	""
"3d5.(2I).4s"	"3I"	"6"	""	"2.941613"	""	""	"  99                                        "	""
"3d5.(2I).4s"	"3I"	"7"	""	"2.942274"	""	""	" 100                                        "	""
"3d5.(6S).4p"	"7P*"	"2"	""	"3.118585"	""	""	"  98                                        "	""
"3d5.(6S).4p"	"7P*"	"3"	""	"3.128167"	""	""	"  97                                        "	""
"3d5.(6S).4p"	"7P*"	"4"	""	"3.145121"	""	""	" 100                                        "	""
"3d5.(6S).4p"	"5P*"	"3"	""	"3.237360"	""	""	"  95                                        "	""
"3d5.(6S).4p"	"5P*"	"2"	""	"3.245361"	""	""	"  96                                        "	""
"3d5.(6S).4p"	"5P*"	"1"	""	"3.250253"	""	""	"  97                                        "	""
"3d5.(4G).4p"	"5G*"	"2"	""	"3.537463"	""	""	"  89             :     5  3d5.(4G).4p  3F*  "	""
