Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d10"	"1S"	"0"	" 0.00000000"	"0.00000015"	""	"  97                                    :     2  3d9.4d               1S       "	"L19804"
"3d9.4s"	"3D"	"3"	" 0.199829315"	"0.000000013"	"1.32"	"  98                                                                           "	"L19804,L10559"
"3d9.4s"	"3D"	"2"	" 0.208198255"	"0.000000005"	"1.16"	"  89                                    :     9  3d9.4s               1D       "	"L19804,L10559"
"3d9.4s"	"3D"	"1"	" 0.218689255"	"0.000000008"	"0.48"	"  98                                                                           "	"L19804,L10559"
"3d9.4s"	"1D"	"2"	" 0.239340192"	"0.000000011"	"1.00"	"  89                                    :     9  3d9.4s               3D       "	"L19804,L10559"
"3d9.4p"	"3P*"	"2"	" 0.605251591"	"0.000000013"	"1.49"	"  96                                    :     2  3d9.4p               3D*      "	"L19804,L10559"
"3d9.4p"	"3P*"	"1"	" 0.618901208"	"0.000000010"	"1.49"	"  95                                    :     2  3d9.4p               1P*      "	"L19804,L10559"
"3d9.4p"	"3F*"	"3"	" 0.623741655"	"0.000000012"	"1.06"	"  62                                    :    34  3d9.4p               1F*      "	"L19804,L10559"
"3d9.4p"	"3F*"	"4"	" 0.626321932"	"0.000000015"	"1.23"	"  98                                                                           "	"L19804,L10559"
"3d9.4p"	"3P*"	"0"	" 0.627409759"	"0.000000013"	""	"  98                                                                           "	"L19804"
"3d8.4s2"	"3F"	"4"	" 0.635195977"	"0.000000017"	""	"  95                                    :     4  3d8.(3F).4p2.(1S)    3F       "	"L19804"
"3d9.4p"	"3F*"	"2"	" 0.636683925"	"0.000000010"	"0.67"	"  88                                    :     6  3d9.4p               3D*      "	"L19804,L10559"
"3d9.4p"	"1F*"	"3"	" 0.645554946"	"0.000000013"	""	"  49                                    :    31  3d9.4p               3D*      "	"L19804"
"3d9.4p"	"1D*"	"2"	" 0.651499942"	"0.000000006"	"1.08"	"  54                                    :    35  3d9.4p               3D*      "	"L19804,L10559"
"3d8.4s2"	"3F"	"3"	" 0.65184337"	"0.00000003"	""	"  95                                    :     4  3d8.(3F).4p2.(1S)    3F       "	"L19804"
"3d9.4p"	"3D*"	"3"	" 0.655384139"	"0.000000007"	""	"  64                                    :    19  3d9.4p               3F*      "	"L19804"
