configuration	term	J	energy
3d10	1S	0	0.0
3d9.4s	3D	3	0.199829315
3d9.4s	3D	2	0.208198255
3d9.4s	3D	1	0.218689255
3d9.4s	1D	2	0.23934019199999998
3d9.4p	3P*	2	0.605251591
3d9.4p	3P*	1	0.6189012079999999
3d9.4p	3F*	3	0.623741655
3d9.4p	3F*	4	0.6263219320000001
3d9.4p	3P*	0	0.627409759
3d8.4s2	3F	4	0.6351959770000001
3d9.4p	3F*	2	0.636683925
3d9.4p	1F*	3	0.645554946
3d9.4p	1D*	2	0.651499942
3d8.4s2	3F	3	0.65184337
3d9.4p	3D*	3	0.655384139
3d8.4s2	3F	2	0.66270818
3d9.4p	3D*	1	0.6661548110000001
3d9.4p	3D*	2	0.668444414
3d9.4p	1P*	1	0.670654406
3d8.4s2	1D	2	0.77811974
3d8.4s2	3P	2	0.8052138
3d8.4s2	3P	1	0.80742904
3d8.4s2	3P	0	0.81035336
3d8.4s2	1G	4	0.870858
3d8.(3F).4s.4p.(3P*)	5D*	4	0.98364712
3d9.(2D<5/2>).5s	2[5/2]	3	0.9843036209999999
3d9.(2D<5/2>).5s	2[5/2]	2	0.987226698
3d8.(3F).4s.4p.(3P*)	5D*	3	0.99579632
3d9.(2D<3/2>).5s	2[3/2]	1	1.003163569
3d8.(3F).4s.4p.(3P*)	5D*	2	1.00570826
3d9.(2D<3/2>).5s	2[3/2]	2	1.005730398
3d8.(3F).4s.4p.(3P*)	5G*	5	1.00814564
3d8.(3F).4s.4p.(3P*)	5D*	1	1.01264
3d8.(3F).4s.4p.(3P*)	5G*	4	1.01349941
3d8.(3F).4s.4p.(3P*)	5G*	3	1.01949288
3d8.(3F).4s.4p.(3P*)	5F*	5	1.02427904
3d8.(3F).4s.4p.(3P*)	5G*	2	1.02448906
3d8.(3F).4s.4p.(3P*)	5F*	4	1.03249129
3d8.(3F).4s.4p.(3P*)	5F*	3	1.03884856
3d8.(3F).4s.4p.(3P*)	5F*	2	1.04323377
3d9.(2D<5/2>).4d	2[1/2]	1	1.043503187
3d8.(3F).4s.4p.(3P*)	5F*	1	1.04573319
3d8.(3F).4s.4p.(3P*)	3G*	4	1.0512334
3d8.(3F).4s.4p.(3P*)	3G*	5	1.05293367
