configuration	term	J	energy
3d10.4s	2S	1/2	0.0
3d9.4s2	2D	5/2	0.10208577
3d9.4s2	2D	3/2	0.12070136
3d10.4p	2P*	1/2	0.27825835
3d10.4p	2P*	3/2	0.28052169
3d9.(2D).4s.4p.(3P*)	4P*	5/2	0.3555645
3d9.(2D).4s.4p.(3P*)	4P*	3/2	0.36554580000000003
3d9.(2D).4s.4p.(3P*)	4F*	9/2	0.3727917
3d9.(2D).4s.4p.(3P*)	4P*	1/2	0.3731072
3d9.(2D).4s.4p.(3P*)	4F*	7/2	0.37501799999999996
3d9.(2D).4s.4p.(3P*)	4F*	5/2	0.3787493
3d9.(2D).4s.4p.(3P*)	4F*	3/2	0.3854895
3d10.5s	2S	1/2	0.39309535
3d9.(2D).4s.4p.(3P*)	4D*	7/2	0.3965288
3d9.(2D).4s.4p.(3P*)	2F*	5/2	0.39846279999999995
3d9.(2D).4s.4p.(3P*)	4D*	5/2	0.4046602
3d9.(2D).4s.4p.(3P*)	4D*	3/2	0.4059163
3d9.(2D).4s.4p.(3P*)	4D*	1/2	0.4093018
3d9.(2D).4s.4p.(3P*)	2F*	7/2	0.4097354
3d9.(2D).4s.4p.(3P*)	2P*	1/2	0.41755109999999995
3d9.(2D).4s.4p.(3P*)	2P*	3/2	0.41808310000000004
3d9.(2D).4s.4p.(3P*)	*	3/2	0.4207583
3d9.(2D).4s.4p.(3P*)	2D*	5/2	0.42463540000000005
3d10.5p	2P*	3/2	0.45001051
3d10.5p	2P*	1/2	0.45001341
3d10.4d	2D	3/2	0.45504298
3d10.4d	2D	5/2	0.45510546
3d10.6s	2S	1/2	0.48159325
3d10.6p	2P*	3/2	0.49922913
3d10.6p	2P*	1/2	0.50144986
3d10.5d	2D	3/2	0.50472956
3d10.5d	2D	5/2	0.50476264
3d10.4f	2F*	7/2	0.505082104
3d10.4f	2F*	5/2	0.5051091289999999
3d9.(2D).4s.4p.(1P*)	2F*	7/2	0.5105819
3d9.(2D).4s.4p.(1P*)	2P*	3/2	0.5134407999999999
3d9.(2D).4s.4p.(1P*)	2D*	5/2	0.5162456
3d10.7s	2S	1/2	0.51642759
3d10.7p	2P*	1/2	0.5232426
3d10.6d	2D	3/2	0.52755979
3d10.6d	2D	5/2	0.52757828
3d10.5f	2F*	5/2	0.52767025
3d10.5f	2F*	7/2	0.52773619
3d10.5g	2G	9/2	0.5278435
3d10.5g	2G	7/2	0.5278435
3d10.7p	2P*	3/2	0.52806621
