ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2024.9775"	"0.0021"	"3000a,bl"	"9.8e+06"	"6.0e-03"	B	"0.00000000"	"0.45001341"	"3d10.4s"	"2S"	"1/2"	"3d10.5p"	"2P*"	"1/2"		"T7574"	"L4958"	
"2024.9906"	"0.0007"	"7000a"	"9.8e+06"	"1.20e-02"	B	"0.00000000"	"0.45001051"	"3d10.4s"	"2S"	"1/2"	"3d10.5p"	"2P*"	"3/2"		"T7574"	"L4958"	
"2165.7730"	"0.0014"	"1300r"	"5.5e+07"	"7.7e-02"	C+	"0.00000000"	"0.4207583"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"*"	"3/2"		"T7574"	"L772"	
"2179.6313"	"0.0043"	"1600r"	"9.1e+07"	"1.30e-01"	C+	"0.00000000"	"0.4180831"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"2P*"	"3/2"		"T7574"	"L772"	
"2182.4083"	"0.0076"	"1700r"	"9.9e+07"	"7.1e-02"	C+	"0.00000000"	"0.4175511"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"2P*"	"1/2"		"T7574"	"L772"	
"2226.3940"	"0.0064"	"2100r"	"4.4e+07"	"3.3e-02"	C+	"0.00000000"	"0.4093018"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"4D*"	"1/2"		"T7574"	"L772"	
"2244.9632"	"0.0025"	"2300r"	"1.85e+06"	"2.8e-03"	C+	"0.00000000"	"0.4059163"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"4D*"	"3/2"		"T7574"	"L772"	
"2363.9220"	"0.0017"	"15a"	"7.e+04"	"1.1e-04"	E	"0.00000000"	"0.3854895"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"4F*"	"3/2"		"T7574"	"L4958"	
"2442.3734"	"0.0042"	"45a"	"2.01e+06"	"1.80e-03"	B	"0.00000000"	"0.3731072"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"4P*"	"1/2"		"T7574"	"L4958"	
"2492.8946"	"0.0019"	"2000r"	"2.79e+06"	"5.2e-03"	B	"0.00000000"	"0.3655458"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"4P*"	"3/2"		"T7574"	"L772"	
"2619.1499"	"0.0055"	"2500r"	"3.07e+07"	"2.10e-02"	C	"0.10208577"	"0.45001051"	"3d9.4s2"	"2D"	"5/2"	"3d10.5p"	"2P*"	"3/2"		"T1343"	"L772"	
"2767.2084"	"0.0230"	"2500r*"	"9.6e+06"	"1.1e-02"	C+	"0.12070136"	"0.45001051"	"3d9.4s2"	"2D"	"3/2"	"3d10.5p"	"2P*"	"3/2"		"T1343"	"L772"	
