configuration	term	J	energy
2s2.2p	2P*	1/2	0.0
2s2.2p	2P*	3/2	0.006784
2s.2p2	4P	1/2	0.781778
2s.2p2	4P	3/2	0.784086
2s.2p2	4P	5/2	0.787399
2s.2p2	2D	5/2	1.393096
2s.2p2	2D	3/2	1.393315
2s.2p2	2S	1/2	1.800358
2s.2p2	2P	1/2	1.958134
2s.2p2	2P	3/2	1.962396
2p3	4S*	3/2	2.518868
2p3	2D*	5/2	2.799661
2p3	2D*	3/2	2.800097
2p3	2P*	1/2	3.165929
2p3	2P*	3/2	3.166129
2s2.3s	2S	1/2	4.78188
2s2.3p	2P*	1/2	5.152
2s2.3p	2P*	3/2	5.15362
2s2.3d	2D	3/2	5.49017
2s2.3d	2D	5/2	5.49053
2s.2p.(3P*).3s	4P*	1/2	5.658007
2s.2p.(3P*).3s	4P*	3/2	5.660344
2s.2p.(3P*).3s	4P*	5/2	5.664609
2s.2p.(3P*).3s	2P*	1/2	5.82168
2s.2p.(3P*).3s	2P*	3/2	5.82632
2s.2p.(3P*).3p	2P	1/2	5.97981
2s.2p.(3P*).3p	2P	3/2	5.98188
2s.2p.(3P*).3p	4D	1/2	5.993812
2s.2p.(3P*).3p	4D	3/2	5.995135
2s.2p.(3P*).3p	4D	5/2	5.997465
2s.2p.(3P*).3p	4D	7/2	6.001122
2s.2p.(3P*).3p	4S	3/2	6.069004
2s.2p.(3P*).3p	2D	3/2	6.15955
2s.2p.(3P*).3p	2D	5/2	6.16401
2s.2p.(3P*).3p	2S	1/2	6.26775
2s.2p.(3P*).3d	4D*	1/2	6.35675
2s.2p.(3P*).3d	4D*	3/2	6.356773
2s.2p.(3P*).3d	4D*	5/2	6.357682
2s.2p.(3P*).3d	4D*	7/2	6.358922
2s.2p.(3P*).3d	2D*	3/2	6.37243
2s.2p.(3P*).3d	2D*	5/2	6.3733
2s.2p.(3P*).3d	4P*	5/2	6.403146
2s.2p.(3P*).3d	4P*	3/2	6.404986
2s.2p.(3P*).3d	4P*	1/2	6.40639
2s.2p.(1P*).3s	2P*	1/2	6.4951
2s.2p.(1P*).3s	2P*	3/2	6.4951
2s.2p.(3P*).3d	2F*	5/2	6.49588
2s2.4s	2S	1/2	6.49675
2s.2p.(3P*).3d	2F*	7/2	6.50012
2s.2p.(3P*).3d	2P*	3/2	6.5472
2s.2p.(3P*).3d	2P*	1/2	6.54919
2s2.4d	2D	3/2	6.77992
2s2.4d	2D	5/2	6.78015
2s2.4f	2F*	5/2	6.80284
2s2.4f	2F*	7/2	6.80284
2s.2p.(1P*).3p	2D	3/2	6.84732
2s.2p.(1P*).3p	2D	5/2	6.84773
2s.2p.(1P*).3p	2P	1/2	6.86666
2s.2p.(1P*).3p	2P	3/2	6.86782
2s.2p.(1P*).3p	2S	1/2	6.92875
2s.2p.(1P*).3d	2F*	5/2	7.14114
2s.2p.(1P*).3d	2F*	7/2	7.14114
2p2.(3P).3s	4P	1/2	7.14524
2p2.(3P).3s	4P	3/2	7.14764
2p2.(3P).3s	4P	5/2	7.151339
2s.2p.(1P*).3d	2D*	3/2	7.17828
2s.2p.(1P*).3d	2D*	5/2	7.17863
2s2.5s	2S	1/2	7.21268
2s.2p.(1P*).3d	2P*	1/2	7.22915
2s.2p.(1P*).3d	2P*	3/2	7.22915
2p2.(3P).3s	2P	1/2	7.26334
2p2.(3P).3s	2P	3/2	7.26753
2s2.5d	2D	3/2	7.36908
2s2.5d	2D	5/2	7.36921
2s.2p.(3P*).4s	4P*	1/2	7.375244
2s.2p.(3P*).4s	4P*	3/2	7.378557
2s.2p.(3P*).4s	4P*	5/2	7.382129
2p2.(1D).3s	2D	3/2	7.39106
2p2.(1D).3s	2D	5/2	7.39106
2p2.(3P).3p	4D*	3/2	7.438436
2p2.(3P).3p	4D*	5/2	7.441088
2p2.(3P).3p	4D*	7/2	7.443749
2p2.(3P).3p	4P*	1/2	7.50057
2p2.(3P).3p	4P*	3/2	7.50092
2p2.(3P).3p	4P*	5/2	7.5032
2s.2p.(3P*).4p	2P	1/2	7.55838
2s.2p.(3P*).4p	2P	3/2	7.56085
2s.2p.(3P*).4p	2D	3/2	7.59542
2s.2p.(3P*).4p	2D	5/2	7.59924
2p2.(3P).3p	4S*	3/2	7.605062
2s.2p.(3P*).4p	2S	1/2	7.63675
2s.2p.(3P*).4d	4D*	1/2	7.661706
2s.2p.(3P*).4d	4D*	3/2	7.66187
2s.2p.(3P*).4d	4D*	5/2	7.662403
2s.2p.(3P*).4f	2F	5/2	7.66326
2s.2p.(3P*).4f	2F	7/2	7.66326
2s.2p.(3P*).4d	4D*	7/2	7.664312
2s.2p.(3P*).4d	2D*	3/2	7.66921
2s.2p.(3P*).4d	2D*	5/2	7.67009
2s.2p.(3P*).4d	4P*	1/2	7.67086
2s.2p.(3P*).4d	4P*	3/2	7.67178
2s.2p.(3P*).4d	4P*	5/2	7.674764
2s.2p.(3P*).4f	4D	5/2	7.68186
2s.2p.(3P*).4f	4D	7/2	7.68186
2s2.6d	2D	5/2	7.68651
2s2.6d	2D	3/2	7.68651
2p2.(1D).3p	2F*	5/2	7.69211
2p2.(1D).3p	2F*	7/2	7.69352
2s.2p.(3P*).4d	2F*	5/2	7.72304
2s.2p.(3P*).4f	2G	7/2	7.72338
2s.2p.(3P*).4f	2G	9/2	7.72338
2s.2p.(3P*).4d	2F*	7/2	7.72588
2s.2p.(3P*).4f	4G	5/2	7.74094
2s.2p.(3P*).4f	4G	7/2	7.74094
2s.2p.(3P*).4f	4G	9/2	7.74094
2s.2p.(3P*).4f	4G	11/2	7.74094
2p2.(3P).3d	2P	3/2	7.77343
2p2.(3P).3d	2P	1/2	7.77714
2p2.(1D).3p	2D*	5/2	7.79107
2p2.(1D).3p	2D*	3/2	7.79107
2p2.(3P).3d	4P	5/2	7.838517
2p2.(3P).3d	4P	3/2	7.840412
2p2.(3P).3d	4P	1/2	7.841251
