ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"13.334"	""	"1.904e+11"	"1.523e-02"	AA	"0.00000"	"68.34166"	"1s2"	"1S"	"0"	"1s.6p"	"1P*"	"1"		"T5997"	""	
"13.488"	""	"3.31e+11"	"2.71e-02"	AA	"0.00000"	"67.56134"	"1s2"	"1S"	"0"	"1s.5p"	"1P*"	"1"		"T5997"	""	
"13.781"	""	"6.51e+11"	"5.56e-02"	AA	"0.00000"	"66.12491"	"1s2"	"1S"	"0"	"1s.4p"	"1P*"	"1"		"T5997"	""	
"14.458"	""	"1.573e+12"	"1.479e-01"	AA	"0.00000"	"63.02861"	"1s2"	"1S"	"0"	"1s.3p"	"1P*"	"1"		"T5997"	""	
"16.807"	""	"5.59e+12"	"7.10e-01"	AA	"0.00000"	"54.21948"	"1s2"	"1S"	"0"	"1s.2p"	"1P*"	"1"		"T5997"	""	
"59.979"	""	"1.222e+10"	"1.098e-02"	AA	"53.12723"	"68.32042"	"1s.2s"	"3S"	"1"	"1s.6p"	"3P*"	"2"		"T5997LS"	""	
"59.979"	""	"1.222e+10"	"6.59e-03"	AA	"53.12723"	"68.32042"	"1s.2s"	"3S"	"1"	"1s.6p"	"3P*"	"1"		"T5997LS"	""	
"62.532"	""	"1.716e+10"	"1.677e-02"	AA	"53.77159"	"68.34448"	"1s.2p"	"3P*"	"1"	"1s.6d"	"3D"	"2"		"T5997LS"	""	
"62.5688"	""	"2.284e+10"	"1.877e-02"	AA	"53.78025+r"	"68.34448+r"	"1s.2p"	"3P*"	"2"	"1s.6d"	"3D"	"3"		"T5997LS"	""	
"62.5688"	""	"5.71e+09"	"3.35e-03"	AA	"53.78025+r"	"68.34448"	"1s.2p"	"3P*"	"2"	"1s.6d"	"3D"	"2"		"T5997LS"	""	
"62.636"	""	"1.159e+10"	"2.044e-02"	AA	"53.79301"	"68.34166"	"1s.2s"	"1S"	"0"	"1s.6p"	"1P*"	"1"		"T5997"	""	
