ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"11.560326641"	"0.000000020"	""	"1.2947e+11"	"5.1881e-03"	AA	"0.00000000"	"(78.827102283)"	"1s"	"2S"	"1/2"	"6p"	"2P*"	"3/2"		"T7771"	""	
"11.560445812"	"0.000000020"	""	"1.2929e+11"	"2.5905e-03"	AA	"0.00000000"	"(78.826289697)"	"1s"	"2S"	"1/2"	"6p"	"2P*"	"1/2"		"T7771"	""	
"11.707412454"	"0.000000021"	""	"2.2560e+11"	"9.2714e-03"	AA	"0.00000000"	"(77.836759761)"	"1s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"		"T7771"	""	
"11.707623673"	"0.000000021"	""	"2.2534e+11"	"4.6305e-03"	AA	"0.00000000"	"(77.83535549)"	"1s"	"2S"	"1/2"	"5p"	"2P*"	"1/2"		"T7771"	""	
"11.988212874"	"0.000000022"	""	"4.4750e+11"	"1.9284e-02"	AA	"0.00000000"	"(76.01358603)"	"1s"	"2S"	"1/2"	"4p"	"2P*"	"3/2"		"T7771"	""	
"11.988645490"	"0.000000024"	""	"4.4712e+11"	"9.6344e-03"	AA	"0.00000000"	"(76.01084304)"	"1s"	"2S"	"1/2"	"4p"	"2P*"	"1/2"		"T7771"	""	
"12.64337379"	"0.00000003"	""	"1.0976e+12"	"5.2607e-02"	AA	"0.00000000"	"(72.07467453)"	"1s"	"2S"	"1/2"	"3p"	"2P*"	"3/2"		"T7771"	""	
"12.64451456"	"0.00000004"	""	"1.0974e+12"	"2.6303e-02"	AA	"0.00000000"	"(72.06817204)"	"1s"	"2S"	"1/2"	"3p"	"2P*"	"1/2"		"T7771"	""	
"14.98232850"	"0.00000005"	""	"4.1088e+12"	"2.7654e-01"	AA	"0.00000000"	"(60.822792025)"	"1s"	"2S"	"1/2"	"2p"	"2P*"	"3/2"		"T7771"	""	
"14.98773602"	"0.00000005"	""	"4.1150e+12"	"1.3858e-01"	AA	"0.00000000"	"(60.800847380)"	"1s"	"2S"	"1/2"	"2p"	"2P*"	"1/2"		"T7771"	""	
"50.5522155"	"0.0000004"	""	"2.8253e+10"	"2.1649e-02"	AA	"(60.800847380)"	"(78.827100871)"	"2p"	"2P*"	"1/2"	"6d"	"2D"	"3/2"		"T7771"	""	
"50.5543835"	"0.0000004"	""	"1.6130e+09"	"6.1802e-04"	AA	"(60.800847380)"	"(78.82632781)"	"2p"	"2P*"	"1/2"	"6s"	"2S"	"1/2"		"T7771"	""	
"50.5550609"	"0.0000004"	""	"1.8774e+10"	"1.4387e-02"	AA	"(60.80186337)"	"(78.827102283)"	"2s"	"2S"	"1/2"	"6p"	"2P*"	"3/2"		"T7771"	""	
"50.5573400"	"0.0000004"	""	"1.8803e+10"	"7.2052e-03"	AA	"(60.80186337)"	"(78.826289697)"	"2s"	"2S"	"1/2"	"6p"	"2P*"	"1/2"		"T7771"	""	
"50.6130711"	"0.0000004"	""	"3.3788e+10"	"1.9464e-02"	AA	"(60.822792025)"	"(78.827371298)"	"2p"	"2P*"	"3/2"	"6d"	"2D"	"5/2"		"T7771"	""	
"50.6138313"	"0.0000004"	""	"5.6241e+09"	"2.1600e-03"	AA	"(60.822792025)"	"(78.827100871)"	"2p"	"2P*"	"3/2"	"6d"	"2D"	"3/2"		"T7771"	""	
"50.6160046"	"0.0000004"	""	"3.2523e+09"	"6.2459e-04"	AA	"(60.822792025)"	"(78.82632781)"	"2p"	"2P*"	"3/2"	"6s"	"2S"	"1/2"		"T7771"	""	
"53.4909525"	"0.0000004"	""	"5.1752e+10"	"4.4399e-02"	AA	"(60.800847380)"	"(77.836757337)"	"2p"	"2P*"	"1/2"	"5d"	"2D"	"3/2"		"T7771"	""	
"53.4941352"	"0.0000004"	""	"3.2496e+10"	"2.7883e-02"	AA	"(60.80186337)"	"(77.836759761)"	"2s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"		"T7771"	""	
"53.4951479"	"0.0000005"	""	"2.8282e+09"	"1.2134e-03"	AA	"(60.800847380)"	"(77.83542129)"	"2p"	"2P*"	"1/2"	"5s"	"2S"	"1/2"		"T7771"	""	
"53.4985453"	"0.0000004"	""	"3.2557e+10"	"1.3970e-02"	AA	"(60.80186337)"	"(77.83535549)"	"2s"	"2S"	"1/2"	"5p"	"2P*"	"1/2"		"T7771"	""	
"53.5584742"	"0.0000004"	""	"6.1900e+10"	"3.9930e-02"	AA	"(60.822792025)"	"(77.837224644)"	"2p"	"2P*"	"3/2"	"5d"	"2D"	"5/2"		"T7771"	""	
"53.5599453"	"0.0000004"	""	"1.0305e+10"	"4.4317e-03"	AA	"(60.822792025)"	"(77.836757337)"	"2p"	"2P*"	"3/2"	"5d"	"2D"	"3/2"		"T7771"	""	
"53.5641515"	"0.0000005"	""	"5.7030e+09"	"1.2265e-03"	AA	"(60.822792025)"	"(77.83542129)"	"2p"	"2P*"	"3/2"	"5s"	"2S"	"1/2"		"T7771"	""	
"59.9015965"	"0.0000006"	""	"1.1320e+11"	"1.2179e-01"	AA	"(60.800847380)"	"(76.01358133)"	"2p"	"2P*"	"1/2"	"4d"	"2D"	"3/2"		"T7771"	""	
"59.9055788"	"0.0000006"	""	"6.3474e+10"	"6.8300e-02"	AA	"(60.80186337)"	"(76.01358603)"	"2s"	"2S"	"1/2"	"4p"	"2P*"	"3/2"		"T7771"	""	
"59.9118753"	"0.0000006"	""	"5.6589e+09"	"3.0452e-03"	AA	"(60.800847380)"	"(76.01097134)"	"2p"	"2P*"	"1/2"	"4s"	"2S"	"1/2"		"T7771"	""	
"59.9163830"	"0.0000006"	""	"6.3631e+10"	"3.4247e-02"	AA	"(60.80186337)"	"(76.01084304)"	"2s"	"2S"	"1/2"	"4p"	"2P*"	"1/2"		"T7771"	""	
"59.9845264"	"0.0000006"	""	"1.3545e+11"	"1.0960e-01"	AA	"(60.822792025)"	"(76.01449403)"	"2p"	"2P*"	"3/2"	"4d"	"2D"	"5/2"		"T7771"	""	
"59.9881304"	"0.0000006"	""	"2.2556e+10"	"1.2169e-02"	AA	"(60.822792025)"	"(76.01358133)"	"2p"	"2P*"	"3/2"	"4d"	"2D"	"3/2"		"T7771"	""	
"59.9984390"	"0.0000006"	""	"1.1413e+10"	"3.0798e-03"	AA	"(60.822792025)"	"(76.01097134)"	"2p"	"2P*"	"3/2"	"4s"	"2S"	"1/2"		"T7771"	""	
"80.8303981"	"0.0000010"	""	"3.5447e+11"	"6.9440e-01"	AA	"(60.800847380)"	"(72.074663562)"	"2p"	"2P*"	"1/2"	"3d"	"2D"	"3/2"		"T7771"	""	
