ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"605.669"	"90"	"4.3e+09"	"1.4e-01"	E	"0.000000"	"1.5045626"	"2s2.2p4"	"3P"	"2"	"2s.2p5"	"3P*"	"1"		"T668LS"	"L369"	
"606.288"	"80"	"1.00e+10"	"1.84e-01"	E	"0.003107"	"1.5061348"	"2s2.2p4"	"3P"	"1"	"2s.2p5"	"3P*"	"0"		"T668LS"	"L369"	
"606.804"	"100"	"7.8e+09"	"4.3e-01"	E	"0.000000"	"1.5017488"	"2s2.2p4"	"3P"	"2"	"2s.2p5"	"3P*"	"2"		"T668LS"	"L369"	
"606.923"	"70"	"2.6e+09"	"1.4e-01"	E	"0.003107"	"1.5045626"	"2s2.2p4"	"3P"	"1"	"2s.2p5"	"3P*"	"1"		"T668LS"	"L369"	
"607.472"	"80"	"3.3e+09"	"5.5e-01"	E	"0.004464"	"1.5045626"	"2s2.2p4"	"3P"	"0"	"2s.2p5"	"3P*"	"1"		"T668LS"	"L369"	
"608.062"	"90"	"2.5e+09"	"2.3e-01"	E	"0.003107"	"1.5017488"	"2s2.2p4"	"3P"	"1"	"2s.2p5"	"3P*"	"2"		"T668LS"	"L369"	
"2226.27"	""	"1.6e-03"	""	D	"0.000000"	"0.409324"	"2s2.2p4"	"3P"	"2"	"2s2.2p4"	"1S"	"0"	E2	"T333"	""	
"2243.30"	""	"4.90e-01"	""	C	"0.003107"	"0.409324"	"2s2.2p4"	"3P"	"1"	"2s2.2p4"	"1S"	"0"	M1	"T333"	""	
"3203.687"	"170"	"1.4e+08"	"2.2e-01"	D	"1.9598583"	"2.2443016"	"2s2.2p3.(2D*).3s"	"1D*"	"2"	"2s2.2p3.(2D*).3p"	"1D"	"2"		"T1115CA"	"L369"	
"3502.391"	"190"	"2.86e+08"	"1.75e-01"	C	"1.8448542"	"2.1050385"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).3d"	"5D*"	"0"		"T1115CA,LS"	"L369"	
"3502.450"	"200"	"2.15e+08"	"3.95e-01"	C	"1.8448542"	"2.1050341"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).3d"	"5D*"	"1"		"T1115CA,LS"	"L369"	
"3502.574"	"200"	"1.00e+08"	"3.07e-01"	C	"1.8448542"	"2.1050249"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).3d"	"5D*"	"2"		"T1115CA,LS"	"L369"	
