configuration	term	J	energy
3d5	6S	5/2	0.0
3d5	4G	11/2	0.293843
3d5	4G	9/2	0.294274
3d5	4G	5/2	0.29435
3d5	4G	7/2	0.294391
3d5	4P	5/2	0.321256
3d5	4P	3/2	0.321981
3d5	4P	1/2	0.322649
3d5	4D	7/2	0.353384
3d5	4D	1/2	0.354453
3d5	4D	5/2	0.354803
3d5	4D	3/2	0.354831
3d5	2I	11/2	0.429012
3d5	2I	13/2	0.42912
3d5	2D3	5/2	0.451455
3d5	2D3	3/2	0.456102
3d5	2F2	7/2	0.468338
3d5	2F2	5/2	0.475378
3d5	4F	9/2	0.479515
3d5	4F	7/2	0.480196
3d5	4F	3/2	0.481487
3d5	4F	5/2	0.481495
3d5	2H	9/2	0.510841
3d5	2H	11/2	0.51367
3d5	2G2	7/2	0.52314
3d5	2G2	9/2	0.525994
3d5	2F1	5/2	0.557299
3d5	2F1	7/2	0.558191
3d5	2S	1/2	0.607998
3d5	2D2	3/2	0.675218
3d5	2D2	5/2	0.675551
3d5	2G1	9/2	0.755394
3d5	2G1	7/2	0.755416
3d5	2P	3/2	0.912342
3d5	2P	1/2	0.912415
3d5	2D1	5/2	0.986375
3d5	2D1	3/2	0.986522
3d4.(5D).4s	6D	1/2	1.1642908
3d4.(5D).4s	6D	3/2	1.1657759
3d4.(5D).4s	6D	5/2	1.1681673
3d4.(5D).4s	6D	7/2	1.1713595
3d4.(5D).4s	6D	9/2	1.1752399
3d4.(5D).4s	4D	1/2	1.2548221
3d4.(5D).4s	4D	3/2	1.2570864
3d4.(5D).4s	4D	5/2	1.2606362
3d4.(5D).4s	4D	7/2	1.2652399
3d4.(3P2).4s	4P	1/2	1.4001777
3d4.(3H).4s	4H	7/2	1.4050448
3d4.(3H).4s	4H	9/2	1.4063216
3d4.(3P2).4s	4P	3/2	1.4076784
3d4.(3H).4s	4H	11/2	1.4080231
3d4.(3H).4s	4H	13/2	1.4100153
3d4.(3P2).4s	4P	5/2	1.4192517
