ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2568.17"	""	"3.8e-02"	""	D	"0.000000"	"0.354831"	"3d5"	"6S"	"5/2"	"3d5"	"4D"	"3/2"	M1	"T492"	""	
"2568.38"	""	"5.1e-02"	""	D	"0.000000"	"0.354803"	"3d5"	"6S"	"5/2"	"3d5"	"4D"	"5/2"	M1	"T492"	""	
"2791.84"	""	"4.2e+00"	""	E	"0.429012"	"0.755416"	"3d5"	"2I"	"11/2"	"3d5"	"2G1"	"7/2"	E2	"T492"	""	
"2792.02"	""	"1.2e-01"	""	E	"0.429012"	"0.755394"	"3d5"	"2I"	"11/2"	"3d5"	"2G1"	"9/2"	E2	"T492"	""	
"2792.95"	""	"4.1e+00"	""	E	"0.429120"	"0.755394"	"3d5"	"2I"	"13/2"	"3d5"	"2G1"	"9/2"	E2	"T492"	""	
"2828.56"	""	"7.2e-01"	""	D	"0.353384"	"0.675551"	"3d5"	"4D"	"7/2"	"3d5"	"2D2"	"5/2"	M1	"T492"	""	
"2830.19"	""	"8.8e-01"	""	D	"0.000000"	"0.321981"	"3d5"	"6S"	"5/2"	"3d5"	"4P"	"3/2"	M1	"T492"	""	
"2836.57"	""	"1.4e+00"	""	D	"0.000000"	"0.321256"	"3d5"	"6S"	"5/2"	"3d5"	"4P"	"5/2"	M1	"T492"	""	
"2840.92"	""	"6.3e-01"	""	D	"0.354453"	"0.675218"	"3d5"	"4D"	"1/2"	"3d5"	"2D2"	"3/2"	M1	"T492"	""	
"2841.07"	""	"1.6e-01"	""	D	"0.354803"	"0.675551"	"3d5"	"4D"	"5/2"	"3d5"	"2D2"	"5/2"	M1	"T492"	""	
"2841.32"	""	"2.7e-02"	""	D	"0.354831"	"0.675551"	"3d5"	"4D"	"3/2"	"3d5"	"2D2"	"5/2"	M1	"T492"	""	
"2844.02"	""	"9.0e-02"	""	D	"0.354803"	"0.675218"	"3d5"	"4D"	"5/2"	"3d5"	"2D2"	"3/2"	M1	"T492"	""	
"2844.27"	""	"2.2e-01"	""	D	"0.354831"	"0.675218"	"3d5"	"4D"	"3/2"	"3d5"	"2D2"	"3/2"	M1	"T492"	""	
"3186.05"	""	"7.3e-01"	""	D	"0.321981"	"0.607998"	"3d5"	"4P"	"3/2"	"3d5"	"2S"	"1/2"	M1	"T492"	""	
"3193.51"	""	"1.1e-01"	""	D	"0.322649"	"0.607998"	"3d5"	"4P"	"1/2"	"3d5"	"2S"	"1/2"	M1	"T492"	""	
"3594.10"	""	"7.8e-02"	""	D	"0.354453"	"0.607998"	"3d5"	"4D"	"1/2"	"3d5"	"2S"	"1/2"	M1	"T492"	""	
"3599.47"	""	"1.0e-02"	""	D	"0.354831"	"0.607998"	"3d5"	"4D"	"3/2"	"3d5"	"2S"	"1/2"	M1	"T492"	""	
"3923.21"	""	"4.0e-01"	""	E	"0.523140"	"0.755416"	"3d5"	"2G2"	"7/2"	"3d5"	"2G1"	"7/2"	E2	"T492"	""	
"3923.58"	""	"2.9e-02"	""	D	"0.523140"	"0.755394"	"3d5"	"2G2"	"7/2"	"3d5"	"2G1"	"9/2"	M1	"T492"	""	
"3923.58"	""	"3.3e-02"	""	E	"0.523140"	"0.755394"	"3d5"	"2G2"	"7/2"	"3d5"	"2G1"	"9/2"	E2	"T492"	""	
"3934.61"	""	"6.4e-02"	""	D	"0.294391"	"0.525994"	"3d5"	"4G"	"7/2"	"3d5"	"2G2"	"9/2"	M1	"T492"	""	
"3972.02"	""	"2.8e-02"	""	E	"0.525994"	"0.755416"	"3d5"	"2G2"	"9/2"	"3d5"	"2G1"	"7/2"	E2	"T492"	""	
"3972.40"	""	"2.9e-01"	""	E	"0.525994"	"0.755394"	"3d5"	"2G2"	"9/2"	"3d5"	"2G1"	"9/2"	E2	"T492"	""	
"3972.40"	""	"1.7e-02"	""	D	"0.525994"	"0.755394"	"3d5"	"2G2"	"9/2"	"3d5"	"2G1"	"9/2"	M1	"T492"	""	
"3981.65"	""	"7.7e-02"	""	D	"0.294274"	"0.523140"	"3d5"	"4G"	"9/2"	"3d5"	"2G2"	"7/2"	M1	"T492"	""	
"4145.37"	""	"4.7e-01"	""	D	"0.293843"	"0.513670"	"3d5"	"4G"	"11/2"	"3d5"	"2H"	"11/2"	M1	"T492"	""	
"4153.51"	""	"6.1e-01"	""	D	"0.294274"	"0.513670"	"3d5"	"4G"	"9/2"	"3d5"	"2H"	"11/2"	M1	"T492"	""	
"4199.42"	""	"5.6e-01"	""	D	"0.293843"	"0.510841"	"3d5"	"4G"	"11/2"	"3d5"	"2H"	"9/2"	M1	"T492"	""	
"4207.78"	""	"4.2e-02"	""	D	"0.294274"	"0.510841"	"3d5"	"4G"	"9/2"	"3d5"	"2H"	"9/2"	M1	"T492"	""	
"4210.07"	""	"1.3e-01"	""	D	"0.294391"	"0.510841"	"3d5"	"4G"	"7/2"	"3d5"	"2H"	"9/2"	M1	"T492"	""	
"4599.65"	""	"9.1e-02"	""	D	"0.557299"	"0.755416"	"3d5"	"2F1"	"5/2"	"3d5"	"2G1"	"7/2"	M1	"T492"	""	
"4599.65"	""	"5.5e-02"	""	E	"0.557299"	"0.755416"	"3d5"	"2F1"	"5/2"	"3d5"	"2G1"	"7/2"	E2	"T492"	""	
"4620.45"	""	"2.2e-01"	""	D	"0.558191"	"0.755416"	"3d5"	"2F1"	"7/2"	"3d5"	"2G1"	"7/2"	M1	"T492"	""	
"4620.97"	""	"5.8e-02"	""	E	"0.558191"	"0.755394"	"3d5"	"2F1"	"7/2"	"3d5"	"2G1"	"9/2"	E2	"T492"	""	
"4620.97"	""	"1.0e-01"	""	D	"0.558191"	"0.755394"	"3d5"	"2F1"	"7/2"	"3d5"	"2G1"	"9/2"	M1	"T492"	""	
"4867.32"	""	"6.1e-02"	""	E	"0.294274"	"0.481495"	"3d5"	"4G"	"9/2"	"3d5"	"4F"	"5/2"	E2	"T492"	""	
"4869.31"	""	"1.9e-01"	""	D	"0.294350"	"0.481495"	"3d5"	"4G"	"5/2"	"3d5"	"4F"	"5/2"	M1	"T492"	""	
"4869.31"	""	"6.4e-02"	""	E	"0.294350"	"0.481495"	"3d5"	"4G"	"5/2"	"3d5"	"4F"	"5/2"	E2	"T492"	""	
"4869.52"	""	"1.4e-01"	""	D	"0.294350"	"0.481487"	"3d5"	"4G"	"5/2"	"3d5"	"4F"	"3/2"	M1	"T492"	""	
"4869.52"	""	"1.8e-01"	""	E	"0.294350"	"0.481487"	"3d5"	"4G"	"5/2"	"3d5"	"4F"	"3/2"	E2	"T492"	""	
"4870.37"	""	"1.1e-01"	""	E	"0.294391"	"0.481495"	"3d5"	"4G"	"7/2"	"3d5"	"4F"	"5/2"	E2	"T492"	""	
"4870.59"	""	"7.1e-02"	""	E	"0.294391"	"0.481487"	"3d5"	"4G"	"7/2"	"3d5"	"4F"	"3/2"	E2	"T492"	""	
"4890.00"	""	"4.0e-02"	""	E	"0.293843"	"0.480196"	"3d5"	"4G"	"11/2"	"3d5"	"4F"	"7/2"	E2	"T492"	""	
"4901.34"	""	"3.9e-02"	""	D	"0.294274"	"0.480196"	"3d5"	"4G"	"9/2"	"3d5"	"4F"	"7/2"	M1	"T492"	""	
"4901.34"	""	"1.5e-01"	""	E	"0.294274"	"0.480196"	"3d5"	"4G"	"9/2"	"3d5"	"4F"	"7/2"	E2	"T492"	""	
"4904.44"	""	"6.7e-02"	""	E	"0.294391"	"0.480196"	"3d5"	"4G"	"7/2"	"3d5"	"4F"	"7/2"	E2	"T492"	""	
"4904.44"	""	"1.3e-01"	""	D	"0.294391"	"0.480196"	"3d5"	"4G"	"7/2"	"3d5"	"4F"	"7/2"	M1	"T492"	""	
"4907.93"	""	"1.1e-01"	""	D	"0.293843"	"0.479515"	"3d5"	"4G"	"11/2"	"3d5"	"4F"	"9/2"	M1	"T492"	""	
"4907.93"	""	"2.1e-01"	""	E	"0.293843"	"0.479515"	"3d5"	"4G"	"11/2"	"3d5"	"4F"	"9/2"	E2	"T492"	""	
