configuration	term	J	energy
3d6.(5D).4s	a 6D	9/2	0.0
3d6.(5D).4s	a 6D	7/2	0.003506439
3d6.(5D).4s	a 6D	5/2	0.006084374
3d6.(5D).4s	a 6D	3/2	0.007860697
3d6.(5D).4s	a 6D	1/2	0.008903533
3d7	a 4F	9/2	0.017064385
3d7	a 4F	7/2	0.022145037000000003
3d7	a 4F	5/2	0.025861582999999997
3d7	a 4F	3/2	0.028408637999999996
3d6.(5D).4s	a 4D	7/2	0.072494197
3d6.(5D).4s	a 4D	5/2	0.076473124
3d6.(5D).4s	a 4D	3/2	0.079102268
3d6.(5D).4s	a 4D	1/2	0.080617825
3d7	a 4P	5/2	0.122788199
3d7	a 4P	3/2	0.124599407
3d7	a 4P	1/2	0.126710411
3d7	a 2G	9/2	0.14438706099999998
3d7	a 2G	7/2	0.149169038
3d7	a 2P	3/2	0.167314462
3d7	a 2P	1/2	0.172108939
3d7	a 2H	11/2	0.185353961
3d7	a 2D2	5/2	0.186964236
3d7	a 2H	9/2	0.189596065
3d6.(3P2).4s	b 4P	5/2	0.18982197
3d6.(3H).4s	a 4H	13/2	0.193658676
3d7	a 2D2	3/2	0.194172774
3d6.(3H).4s	a 4H	11/2	0.195287777
3d6.(3H).4s	a 4H	9/2	0.19666614699999999
3d6.(3H).4s	a 4H	7/2	0.19785335699999998
3d6.(3P2).4s	b 4P	3/2	0.198765983
3d6.(3P2).4s	b 4P	1/2	0.20421328600000002
3d6.(3F2).4s	b 4F	9/2	0.20628529899999998
3d6.(3F2).4s	b 4F	7/2	0.20786316600000002
3d6.(3F2).4s	b 4F	5/2	0.209038749
3d6.(3F2).4s	b 4F	3/2	0.209876492
3d5.4s2	a 6S	5/2	0.21248592600000002
3d6.(3G).4s	a 4G	11/2	0.231724178
3d6.(3P2).4s	b 2P	3/2	0.23499373399999998
3d6.(3G).4s	a 4G	9/2	0.235155442
3d6.(3G).4s	a 4G	7/2	0.23676217100000002
3d6.(3G).4s	a 4G	5/2	0.237434384
3d6.(3H).4s	b 2H	11/2	0.23848023699999998
3d6.(3H).4s	b 2H	9/2	0.240144083
3d6.(3P2).4s	b 2P	1/2	0.24542913800000002
3d6.(3F2).4s	a 2F	7/2	0.24891185
3d6.(3F2).4s	a 2F	5/2	0.251695635
3d6.(3G).4s	b 2G	9/2	0.276920799
3d6.(3G).4s	b 2G	7/2	0.280346512
3d6.(3D).4s	b 4D	3/2	0.285813948
3d6.(3D).4s	b 4D	1/2	0.285850376
3d6.(3D).4s	b 4D	5/2	0.286028309
3d6.(3D).4s	b 4D	7/2	0.286896009
3d7	b 2F	5/2	0.28989058
3d7	b 2F	7/2	0.29159679
3d6.(1I).4s	a 2I	13/2	0.299584883
3d6.(1I).4s	a 2I	11/2	0.29989692
3d6.(1G2).4s	c 2G	9/2	0.30496913600000003
3d6.(1G2).4s	c 2G	7/2	0.305286269
3d6.(3D).4s	b 2D	3/2	0.329208089
3d6.(3D).4s	b 2D	5/2	0.330361015
3d6.(1S2).4s	a 2S	1/2	0.33923991
3d6.(1D2).4s	c 2D	5/2	0.34777796
3d6.(1D2).4s	c 2D	3/2	0.34823617
3d6.(5D).4p	z 6D*	9/2	0.350464135
3d6.(5D).4p	z 6D*	7/2	0.352296331
3d6.(5D).4p	z 6D*	5/2	0.354108986
3d6.(5D).4p	z 6D*	3/2	0.355514583
3d6.(5D).4p	z 6D*	1/2	0.356390311
3d6.(5D).4p	z 6F*	11/2	0.38244119200000004
3d6.(5D).4p	z 6F*	9/2	0.383778642
3d6.(5D).4p	z 6F*	7/2	0.384892388
3d6.(5D).4p	z 6F*	5/2	0.38578348799999995
3d6.(5D).4p	z 6F*	3/2	0.386389256
3d6.(5D).4p	z 6F*	1/2	0.38674037899999997
3d6.(5D).4p	z 6P*	7/2	0.388730526
3d6.(5D).4p	z 6P*	5/2	0.394019175
3d6.(5D).4p	z 6P*	3/2	0.39750365600000004
3d6.(5D).4p	z 4F*	9/2	0.403076561
3d6.(5D).4p	z 4D*	7/2	0.40503000100000003
3d6.(5D).4p	z 4F*	7/2	0.407826796
3d6.(5D).4p	z 4D*	5/2	0.40810899799999995
3d6.(1F).4s	c 2F	7/2	0.409296115
3d6.(1F).4s	c 2F	5/2	0.40942802100000003
3d6.(5D).4p	z 4D*	3/2	0.41047287600000004
3d6.(5D).4p	z 4F*	5/2	0.410798292
3d6.(5D).4p	z 4D*	1/2	0.41195166899999996
3d6.(5D).4p	z 4F*	3/2	0.412711251
3d6.(5D).4p	z 4P*	5/2	0.427999125
3d6.(5D).4p	z 4P*	3/2	0.431847715
3d6.(5D).4p	z 4P*	1/2	0.43400104799999994
3d7	d 2D1	3/2	0.43444409
3d7	d 2D1	5/2	0.437764572
3d6.(3P1).4s	c 4P	1/2	0.44744083
3d6.(3P1).4s	c 4P	3/2	0.45114027
3d6.(3F1).4s	c 4F	3/2	0.45632537
3d6.(3F1).4s	c 4F	5/2	0.45693491
3d6.(3F1).4s	c 4F	9/2	0.457068543
3d6.(3F1).4s	c 4F	7/2	0.457345085
3d6.(3P1).4s	c 4P	5/2	0.45757303
3d5.(6S).4s.4p.(3P*)	z 8P*	5/2	0.47659094
3d5.(6S).4s.4p.(3P*)	z 8P*	7/2	0.47917019
3d5.(6S).4s.4p.(3P*)	z 8P*	9/2	0.48266328
3d6.(3P1).4s	c 2P	1/2	0.49266157
3d5.4s2	b 4G	11/2	0.49420017899999996
3d5.4s2	b 4G	9/2	0.494577944
3d5.4s2	b 4G	5/2	0.49459610600000004
3d5.4s2	b 4G	7/2	0.494665244
3d6.(3F1).4s	d 2F	5/2	0.50001716
3d6.(3P1).4s	c 2P	3/2	0.50030644
3d6.(3F1).4s	d 2F	7/2	0.50032426
3d5.4s2	d 4P	5/2	0.52316831
3d5.4s2	d 4P	3/2	0.5239178
3d5.4s2	d 4P	1/2	0.52469381
3d6.(1G1).4s	d 2G	9/2	0.53429066
3d6.(1G1).4s	d 2G	7/2	0.53460574
3d6.(3P2).4p	z 4S*	3/2	0.54369327
3d5.4s2	c 4D	7/2	0.54922385
3d5.4s2	c 4D	1/2	0.55026285
3d6.(3P2).4p	y 4P*	5/2	0.55042656
3d5.4s2	c 4D	3/2	0.5507793
3d5.4s2	c 4D	5/2	0.55081791
3d6.(3H).4p	z 4G*	11/2	0.55245971
3d6.(3H).4p	z 4G*	9/2	0.55411633
3d6.(3H).4p	z 4H*	13/2	0.55439264
3d6.(3H).4p	z 4H*	11/2	0.55484869
3d6.(3H).4p	z 4G*	7/2	0.55547906
3d6.(3H).4p	z 4H*	9/2	0.55577671
3d6.(3P2).4p	y 4P*	1/2	0.55619444
3d6.(3H).4p	z 4G*	5/2	0.55625321
3d6.(3P2).4p	z 2D*	5/2	0.55672408
3d6.(3H).4p	z 4H*	7/2	0.55730201
3d6.(3P2).4p	y 4P*	3/2	0.55890517
3d6.(3H).4p	z 4I*	15/2	0.55904016
3d6.(3H).4p	z 4I*	9/2	0.56054433
3d6.(3H).4p	z 4I*	13/2	0.56068084
3d6.(3H).4p	z 4I*	11/2	0.56122391
3d6.(3P2).4p	y 4D*	7/2	0.56248933
3d5.(6S).4s.4p.(3P*)	y 6P*	3/2	0.56475713
3d5.(6S).4s.4p.(3P*)	y 6P*	5/2	0.56543247
3d6.(3F2).4p	y 4F*	7/2	0.56558271
3d6.(3H).4p	z 2G*	9/2	0.565743
3d6.(3P2).4p	z 2D*	3/2	0.56613016
3d6.(3F2).4p	y 4F*	5/2	0.56636663
3d6.(3F2).4p	y 4F*	9/2	0.56642652
3d5.(6S).4s.4p.(3P*)	y 6P*	7/2	0.56654952
3d6.(3F2).4p	y 4F*	3/2	0.56721376
3d6.(3H).4p	z 2I*	13/2	0.5676572
3d6.(3H).4p	z 2G*	7/2	0.56792391
3d6.(3H).4p	z 2I*	11/2	0.57102046
3d6.(3P2).4p	y 4D*	5/2	0.57127217
3d6.(3P2).4p	y 4D*	1/2	0.57254062
3d6.(3F2).4p	x 4D*	7/2	0.57359746
3d6.(3P2).4p	y 4D*	3/2	0.57375392
