configuration	term	J	energy
3d6.4s2	a 5D	4	0.0
3d6.4s2	a 5D	3	0.00379026
3d6.4s2	a 5D	2	0.0064153840000000005
3d6.4s2	a 5D	1	0.008093254
3d6.4s2	a 5D	0	0.008912866
3d7.(4F).4s	a 5F	5	0.063135023
3d7.(4F).4s	a 5F	4	0.06722202
3d7.(4F).4s	a 5F	3	0.070423264
3d7.(4F).4s	a 5F	2	0.072771827
3d7.(4F).4s	a 5F	1	0.074311222
3d7.(4F).4s	a 3F	4	0.10913552
3d7.(4F).4s	a 3F	3	0.11446365300000001
3d7.(4F).4s	a 3F	2	0.11817816
3d7.(4P).4s	a 5P	3	0.15992901699999998
3d7.(4P).4s	a 5P	2	0.161540201
3d7.(4P).4s	a 5P	1	0.163366325
3d6.4s2	a 3P2	2	0.167474354
3d6.4s2	a 3P2	1	0.17817529
3d6.4s2	a 3P2	0	0.182598015
